Freq(Hz),M-Value,
20,0.0842966643113163,
18,0.10674051989416772,
16.5,0.1295442224939169,
15,0.17430771668143302,
13.5,0.20356047646380956,
9,0.6509777182075425,
12,0.2772240540568652,
10.5,0.400626301328216,
7.5,1.2031341216861546,
6,4.119533237792442,
4.5,2.5634781852966553,
3,1.4090639299008951,
1.5,1.0996605893432876,
0.5,0.9707030425740338,
