Var1,Var2,Var3,Var4
5.10084788224027,0.181505911054015,0.159019313061527,0.134919587954924
5.11175761067131,0.206637126721038,0.185159441781118,0.128866109639519
5.12254273082845,0.230877358428468,0.210459757852923,0.122505603453272
5.13320567870958,0.254183396949109,0.234872215892946,0.115867086336979
5.14368860048452,0.276392161762847,0.258222248969379,0.109019476760807
5.15401555377617,0.29752848789745,0.280531677243022,0.10198086392657
5.16421537225802,0.317626332213214,0.301832661611532,0.0947620236100961
5.17430297044164,0.336690882148506,0.322127515475794,0.0873802000362698
5.18428984703393,0.354721658092959,0.341412806446085,0.0798531098812437
5.19418680686376,0.371717834781412,0.359684940483357,0.0721973657883302
5.20400335301779,0.387677027744848,0.376938830516294,0.0644291833713274
5.21374776429303,0.402595533301904,0.39316810461336,0.0565645721312641
5.22342739255233,0.416468930978922,0.408365713867778,0.0486193026668665
5.23304884568077,0.429292446879638,0.422524294205789,0.040608916043093
5.24261811284995,0.441061202405582,0.435636411229005,0.0325487470594674
5.25214066807367,0.451770413461201,0.447694756645568,0.0244539408938003
5.26162155533298,0.461415548352353,0.458692304026759,0.0163394659535647
5.27106545818386,0.46999245219482,0.46862243138917,0.00822012483390278
5.28047675752485,0.477497445806875,0.477479018540524,0.000110563598105573
5.28985958023652,0.483927404829376,0.485256524893885,-0.00797472038705482
5.29921784066608,0.489279823231554,0.491950051860057,-0.0160213717710211
5.30855527648234,0.4935528643309,0.497555392903814,-0.02401517143748
5.3178754801051,0.496745401698233,0.502069073597739,-0.031942031397034
5.32718192666825,0.498857051744876,0.505488383436711,-0.039787990151013
5.33647799929824,0.499888199353562,0.50781140074382,-0.0475392083415449
5.34576701235713,0.499840017576286,0.509037011662371,-0.0551819645165129
5.35505223320477,0.498714482153857,0.509164923961931,-0.0627026508484458
5.36433690296712,0.496514381391976,0.508195676167145,-0.070087768651014
5.37362425675455,0.493243321741861,0.506130642331364,-0.0773239235370162
5.38291754375037,0.488905729266851,0.502972032609327,-0.0843978200548583
5.39222004758395,0.483506847019779,0.49872288962414,-0.0912962556261633
5.40153510741592,0.477052728198964,0.493387080462982,-0.0980061135841088
5.41086614019453,0.469550224783363,0.486969283963135,-0.104514355078636
5.4202166645943,0.461006971159589,0.479474972754205,-0.110808009567698
5.42959032722673,0.45143136203103,0.470910389289642,-0.116874163551674
5.43899093182337,0.440832523624323,0.461282514812144,-0.122699947126929
5.44842247224166,0.429220276861665,0.450599029832704,-0.128272517826236
5.4578891703514,0.416605090712071,0.438868264224411,-0.133579041074038
5.46739552013938,0.402998023332175,0.426099134398478,-0.138606666397816
5.47694633975639,0.38841064778577,0.412301064167288,-0.143342498289111
5.48654683376306,0.372854958001129,0.397483884712925,-0.14777356027078
5.49620266857921,0.356343249032875,0.381657707410447,-0.151886750265433
5.50592006520131,0.338887963426639,0.364832760878496,-0.155668784711145
5.51570591479507,0.320501492160238,0.347019180152097,-0.159106127951158
5.52556792503029,0.301195913718095,0.328226730731114,-0.162184902078109
5.535514808458,0.280982647328891,0.30846444239887,-0.16489077041987
5.54555652952165,0.259871984678332,0.287740115478833,-0.167208784803004
5.55570463524076,0.237872445545771,0.266059642536298,-0.169123181943162
5.56597270852527,0.214989871445339,0.24342605587,-0.170617106547964
5.57637700690812,0.191226117189444,0.219838154795042,-0.171672225633587
5.58693739220778,0.166577102370003,0.195288464955888,-0.172268175515309
5.59767873745146,0.141029798015874,0.169760088038818,-0.172381740137661
5.60863316064862,0.114557343540836,0.143221605980751,-0.171985574639491
5.61984379265065,0.0871106501434138,0.115618334496487,-0.171046106118439
5.63137165528529,0.0586027941165303,0.0868560959434512,-0.169519810961525
5.64330964847433,0.0288767429307004,0.0567677244348858,-0.167345889025113
5.65581584267198,-0.00237265662121424,0.0250322530236756,-0.164429457869339
5.66921578497042,-0.0358417544476227,-0.00907642280908272,-0.16059198983124
5.68453194112942,-0.0738912731787628,-0.0480035463834719,-0.155326360771745
5.69631560737832,-0.10288190482558,-0.0777731919836986,-0.15065227705129
5.70809927362722,-0.131515498641604,-0.107272908400989,-0.145455541443694
5.72022810597586,-0.16051016735047,-0.137246793121084,-0.139580245376316
5.73161401666552,-0.187193775112847,-0.164927828734509,-0.133595678270027
5.74252866987245,-0.21220467232681,-0.190962667068828,-0.127452031547889
5.75329399694453,-0.236254783185305,-0.216084608346214,-0.121021049034549
5.76390945651622,-0.259300281548058,-0.240244230303689,-0.11433630746621
5.77435363297039,-0.281261519615388,-0.263354019874961,-0.10744499844256
5.78465085638214,-0.30216330041706,-0.285436001811253,-0.100363791634844
5.79482429742552,-0.322027611956791,-0.306509869986603,-0.0931064518211278
5.80488805158604,-0.340858295012573,-0.326576571978539,-0.0856903382042021
5.81485368579518,-0.358655243793607,-0.345633121619183,-0.078132733046544
5.82473168692089,-0.375417224847835,-0.363675533097099,-0.0704501505044142
5.83453123592925,-0.391141465504409,-0.38069833654324,-0.0626587737670143
5.84426038429658,-0.405824064188445,-0.39669497142715,-0.0547745565677685
5.85392630427519,-0.419460497173537,-0.411658294825536,-0.046813214088005
5.86353545353997,-0.432045946716522,-0.425580906910338,-0.0387902388371081
5.87309369630753,-0.443575539596816,-0.438455386046113,-0.0307209213042183
5.88260640254168,-0.454044536337266,-0.45027447542563,-0.0226203654698157
5.89207852911854,-0.463448480588954,-0.46103123037652,-0.014503501274601
5.90151468646766,-0.471783317159921,-0.470719134629298,-0.00638509518374042
5.91091919407882,-0.479045486012872,-0.479332192829845,0.00172024090184042
5.92029612736999,-0.485231997533225,-0.486865004552316,0.00979804211454216
5.92964935777771,-0.490340492967847,-0.493312823665608,0.0178339841865676
5.93898258751627,-0.49436929297372,-0.498671605951122,0.0258138778644095
5.94829938014666,-0.497317436502498,-0.502938047160715,0.0337236639493047
5.95760318786948,-0.49918471170896,-0.506109613169277,0.0415494087618993
5.96689737629039,-0.49997168016147,-0.508184563469572,0.0492772998486156
5.9761852472826,-0.499679695311414,-0.509161968937984,0.0568936417594227
5.98547006048361,-0.498310915923128,-0.509041724546025,0.0643848517373843
5.99475505390144,-0.495868314954468,-0.507824557481855,0.0717374551643268
6.00404346406741,-0.492355684196999,-0.505512030964769,0.078938080606617
6.01333854615236,-0.487777634821428,-0.502106543870849,0.0859734542965211
6.02264359446288,-0.482139593817652,-0.497611326129256,0.0928303938696246
