Freq(Hz),M-Value
20,1.0060966248173737,
18,1.0065497076023393,
16.5,1.0003483483483484,
15,1.007742255266419,
13.5,1.0002350780532598,
9,1.0122015182884747,
12,1.0094763215995635,
10.5,0.999985815602837,
7.5,0.9991442786069652,
6,1.014072572605835,
4.5,1.0033170731707317,
3,1.0023815513626835,
1.5,1.0042222222222221,
0.5,1.0118222222222222,
