today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:27:12 2019,4419585,336.935,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4808,0,24,20,62,66,0.105345,0.0814029,-9.70609,0.0106422,-0.00319267,-0.00532112,-18.9053,59.0209,8.30566,-90.6219,6.01698,
Thu Sep 19 06:27:12 2019,4429586,336.935,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,66,64,0.0909797,0.0622492,-9.66779,0.0117065,-0.0042569,-0.00744957,-18.9053,59.0209,8.30566,-90.5392,6.30376,
Thu Sep 19 06:27:12 2019,4439587,336.935,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,24,20,66,64,0.153229,-0.0143652,-9.88805,0.00532112,-0.00638535,-0.00638535,-18.9053,59.0209,8.30566,-90.8879,6.59085,
Thu Sep 19 06:27:12 2019,4449588,336.935,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4804,0,24,18,64,64,0.148441,0.047884,-9.63906,0.00851379,-0.00212845,-0.00532112,-18.9053,59.0209,8.30566,-90.8824,6.87611,
Thu Sep 19 06:27:12 2019,4459589,336.935,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4804,0,24,18,64,64,0.11971,0.0191536,-9.64384,0.0106422,0.00106422,-0.00532112,-18.9053,59.0209,8.30566,-90.7113,7.16167,
Thu Sep 19 06:27:12 2019,4469590,336.935,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,0,22,22,64,66,0.100556,0.0766145,-9.71567,0.00744957,-0.00532112,-0.00212845,-18.9053,59.0209,8.30566,-90.5931,7.44998,
Thu Sep 19 06:27:12 2019,4479591,333.381,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4846,0,22,22,64,66,0.248997,0.023942,-9.72525,0.0117065,0.00212845,-0.00638535,-18.9053,59.0209,8.30566,-91.4667,7.73433,
Thu Sep 19 06:27:12 2019,4489592,333.381,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,20,64,66,0.172383,0.0957681,-9.70609,0.00851379,-0.00106422,-0.00957802,-18.9053,59.0209,8.30566,-91.0176,8.02172,
Thu Sep 19 06:27:12 2019,4499593,333.381,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4816,0,22,20,64,66,0.0526724,0.124498,-9.63427,0.00851379,0,-0.00319267,-18.9053,59.0209,8.30566,-90.3133,8.3079,
Thu Sep 19 06:27:12 2019,4509594,333.381,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4820,0,22,20,64,66,0.0574608,0.162806,-9.63906,0.0042569,-0.00106422,-0.00212845,-18.9053,59.0209,8.30566,-90.3416,8.59468,
