today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 10:54:01 2018,113238510,609.527,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5532,1106,0,20,32,0.105345,-0.00957681,-10.2568,0.00106422,-0.0138349,0.00957802,45.9785,36.075,22.2984,2.38419e-07,0.00957802,
Sun Feb 18 10:54:01 2018,113248511,609.527,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5532,1106,0,20,32,0.11971,0.124498,-10.2568,0.00851379,-0.0148991,0.00744957,45.9785,36.075,22.2984,2.38419e-07,0.00744957,
Sun Feb 18 10:54:01 2018,113258512,609.527,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5504,1110,0,8,32,0.00957681,0.0766145,-10.3477,0.0148991,-0.0223487,0.00957802,45.9785,36.075,22.2984,2.38419e-07,0.00957802,
Sun Feb 18 10:54:01 2018,113268518,609.527,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5348,5504,1110,0,8,32,0.0670376,0.0526724,-10.4962,0.00744957,-0.0148991,0.0106422,45.9785,36.075,22.2984,2.38419e-07,0.0106422,
Sun Feb 18 10:54:01 2018,113278519,621.926,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5526,1110,0,18,32,0.138864,0.114922,-10.3765,0.00957802,-0.0127707,0.0117065,45.9785,36.075,22.2984,2.38419e-07,0.0117065,
Sun Feb 18 10:54:01 2018,113288520,621.926,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5526,1110,0,18,32,0.0622492,0.105345,-10.41,0.0117065,-0.0148991,0.00532112,45.9785,36.075,22.2984,2.38419e-07,0.00532112,
Sun Feb 18 10:54:01 2018,113298521,621.926,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5512,1110,0,8,32,0.11971,0.0861913,-10.4004,0.00957802,-0.0127707,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113308522,621.926,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5512,1110,0,8,32,0.0047884,0.0622492,-10.4483,0.00957802,-0.0148991,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113318523,608.641,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5500,1104,0,32,14,-0.0047884,0.0957681,-10.2232,0.00957802,-0.0117065,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113328524,608.641,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5500,1104,0,32,14,0.071826,0.0957681,-10.2472,0.00957802,-0.0148991,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113338525,608.641,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5528,1110,0,18,12,0.0574608,0.129287,-10.41,0.00851379,-0.0148991,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113348526,608.641,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5528,1110,0,18,12,0.0861913,0.129287,-10.3334,0.00957802,-0.0159634,0.0106422,45.9785,36.075,22.2984,2.38419e-07,0.0106422,
Sun Feb 18 10:54:01 2018,113358527,608.641,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5500,1102,0,20,32,0.153229,0.100556,-10.4291,0.00638535,-0.00957802,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113368528,608.641,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5500,1102,0,20,32,0.071826,0.100556,-10.4196,0.00851379,-0.0148991,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113378529,607.711,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5334,5532,1106,0,8,32,0.110133,0.0670376,-10.3334,0.0127707,-0.0180918,0.0106422,45.9785,36.075,22.2984,2.38419e-07,0.0106422,
Sun Feb 18 10:54:01 2018,113388530,607.711,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5334,5532,1106,0,8,32,0.105345,0.0766145,-10.3238,0.0127707,-0.0117065,0.00851379,45.9785,36.075,22.2984,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113398531,607.711,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5514,1108,0,32,14,0.071826,0.0526724,-10.2041,0.00957802,-0.0127707,0.0106422,45.9785,36.075,22.2984,2.38419e-07,0.0106422,
Sun Feb 18 10:54:01 2018,113408532,607.711,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5514,1108,0,32,14,0.148441,0.129287,-10.4531,0.0127707,-0.0148991,0.0117065,45.9785,36.075,22.2984,2.38419e-07,0.0117065,
Sun Feb 18 10:54:01 2018,113418533,607.459,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5490,1110,0,20,32,0.114922,0.047884,-10.4387,0.00851379,-0.0148991,0.0127707,45.9785,38.85,22.6313,2.38419e-07,0.0127707,
Sun Feb 18 10:54:01 2018,113428534,607.459,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5490,1110,0,20,32,0.114922,0.100556,-10.4244,0.00851379,-0.0138349,0.00957802,45.9785,38.85,22.6313,2.38419e-07,0.00957802,
Sun Feb 18 10:54:01 2018,113438535,607.459,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5488,1104,0,8,32,0.0335188,0.0526724,-10.3621,0.00851379,-0.0148991,0.0117065,45.9785,38.85,22.6313,2.38419e-07,0.0117065,
Sun Feb 18 10:54:01 2018,113448536,607.459,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5488,1104,0,8,32,0.0526724,0.0383072,-10.3717,0.00744957,-0.019156,0.0127707,45.9785,38.85,22.6313,2.38419e-07,0.0127707,
Sun Feb 18 10:54:01 2018,113458537,607.459,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5502,1104,0,32,14,0.0957681,0.071826,-10.3094,0.0127707,-0.0180918,0.00744957,45.9785,38.85,22.6313,2.38419e-07,0.00744957,
Sun Feb 18 10:54:01 2018,113468538,607.459,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5502,1104,0,32,14,0.0430956,0.0814029,-10.3525,0.0117065,-0.0138349,0.0106422,45.9785,38.85,22.6313,2.38419e-07,0.0106422,
Sun Feb 18 10:54:01 2018,113478539,609.101,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5490,1106,0,8,32,0.0430956,0.0957681,-10.2472,0.00957802,-0.0148991,0.00638535,45.9785,38.85,22.6313,2.38419e-07,0.00638535,
Sun Feb 18 10:54:01 2018,113488540,609.101,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5490,1106,0,8,32,0.0861913,0.0622492,-10.3621,0.00851379,-0.0127707,0.00851379,45.9785,38.85,22.6313,2.38419e-07,0.00851379,
Sun Feb 18 10:54:01 2018,113498541,609.101,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5524,1104,0,20,32,0.167594,0.0861913,-10.3286,0.0042569,-0.0138349,0.00957802,45.9785,38.85,22.6313,2.38419e-07,0.00957802,
Sun Feb 18 10:54:01 2018,113508542,609.101,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5524,1104,0,20,32,0.0574608,0.0622492,-10.3908,0.00957802,-0.0170276,0.0117065,45.9785,38.85,22.6313,2.38419e-07,0.0117065,
Sun Feb 18 10:54:01 2018,113518543,608.91,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5350,5488,1102,0,32,14,0.0287304,0.047884,-10.3477,0.0106422,-0.0159634,0.0106422,45.9785,38.85,22.6313,2.38419e-07,0.0106422,
