today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 10:53:34 2018,86029266,0,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5326,5520,1106,0,32,14,0.100556,0.0814029,-10.3334,0.00532112,-0.0138349,0.0106422,-5.7041,42.8391,-56.4117,1.64697e-40,0.0106422,
Sun Feb 18 10:53:34 2018,86039267,612.073,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5326,5520,1106,0,32,14,0.11971,0.0909797,-10.3094,0.00851379,-0.0170276,0.00744957,-5.7041,42.8391,-56.4117,2.38419e-07,0.00744957,
Sun Feb 18 10:53:34 2018,86049270,612.073,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5326,5520,1106,0,32,14,-0.0191536,0.0766145,-10.4339,0.0138349,-0.0180918,0.00957802,-5.7041,42.8391,-56.4117,2.38419e-07,0.00957802,
Sun Feb 18 10:53:34 2018,86059271,612.073,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5506,1112,0,32,12,0.0814029,0.0430956,-10.2137,0.0106422,-0.0148991,0.00851379,-5.7041,42.8391,-56.4117,2.38419e-07,0.00851379,
Sun Feb 18 10:53:34 2018,86069272,612.073,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5506,1112,0,32,12,0.0335188,0.114922,-10.4818,0.00744957,-0.0159634,0.00851379,-5.7041,42.8391,-56.4117,2.38419e-07,0.00851379,
Sun Feb 18 10:53:34 2018,86079273,612.073,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5356,5494,1106,0,6,32,0.00957681,0.0047884,-10.4052,0.00851379,-0.019156,0.00957802,-5.7041,42.8391,-56.4117,2.38419e-07,0.00957802,
Sun Feb 18 10:53:34 2018,86089274,608.015,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5356,5494,1106,0,6,32,0.0143652,-0.00957681,-10.4148,0.0117065,-0.0138349,0.0042569,-5.7041,42.8391,-56.4117,2.38419e-07,0.0042569,
Sun Feb 18 10:53:34 2018,86099275,608.015,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5354,5502,1102,0,8,32,-0.0526724,0.0766145,-10.3813,0.0138349,-0.0180918,0.00851379,-5.7041,42.8391,-56.4117,2.38419e-07,0.00851379,
Sun Feb 18 10:53:34 2018,86109276,608.015,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5354,5502,1102,0,8,32,0.0191536,0.134075,-10.2759,0.0138349,-0.0138349,0.00319267,-5.7041,42.8391,-56.4117,2.38419e-07,0.00319267,
Sun Feb 18 10:53:34 2018,86119277,608.015,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5488,1102,0,8,32,-0.0574608,0.129287,-10.386,0.00744957,-0.0180918,0.00851379,-5.7041,42.8391,-56.4117,2.38419e-07,0.00851379,
