today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 11:02:01 2018,92404525,607.042,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5490,1086,0,30,14,0.110133,0.138864,-10.4483,0.00957802,-0.0180918,0.0138349,29.3848,31.9125,30.2859,2.38419e-07,0.0138349,
Sun Feb 18 11:02:01 2018,92414526,607.085,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5346,5490,1086,0,30,14,0.071826,0.177171,-10.3621,0.00532112,-0.0159634,0.0138349,29.3848,31.9125,30.2859,2.38419e-07,0.0138349,
Sun Feb 18 11:02:01 2018,92424527,607.085,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5502,1080,0,8,30,0,0.129287,-10.3477,0.00851379,-0.0170276,0.0106422,29.3848,31.9125,30.2859,2.38419e-07,0.0106422,
Sun Feb 18 11:02:01 2018,92434528,607.085,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5502,1080,0,8,30,0.0670376,0.162806,-10.3142,0.00957802,-0.0159634,0.0117065,29.3848,31.9125,30.2859,2.38419e-07,0.0117065,
Sun Feb 18 11:02:01 2018,92444529,607.085,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5498,1084,0,8,14,0.0287304,0.172383,-10.4148,0.00744957,-0.0138349,0.00957802,29.3848,31.9125,30.2859,2.38419e-07,0.00957802,
Sun Feb 18 11:02:01 2018,92454530,607.085,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5498,1084,0,8,14,0.0909797,0.0574608,-10.386,0.00957802,-0.0170276,0.00957802,29.3848,31.9125,30.2859,2.38419e-07,0.00957802,
Sun Feb 18 11:02:01 2018,92464531,605.973,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5488,1078,0,8,32,0.0670376,0.153229,-10.41,0.0127707,-0.0117065,0.0106422,29.3848,31.9125,30.2859,2.38419e-07,0.0106422,
Sun Feb 18 11:02:01 2018,92474532,605.973,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5488,1078,0,8,32,0.0335188,0.0335188,-10.3525,0.0138349,-0.0148991,0.00851379,29.3848,31.9125,30.2859,2.38419e-07,0.00851379,
Sun Feb 18 11:02:01 2018,92484533,605.973,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5488,1080,0,32,14,0.114922,0.105345,-10.3765,0.00957802,-0.0117065,0.00957802,29.3848,31.9125,30.2859,2.38419e-07,0.00957802,
Sun Feb 18 11:02:01 2018,92494534,605.973,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5488,1080,0,32,14,0.0814029,0.138864,-10.3669,0.00638535,-0.0180918,0.00851379,29.3848,31.9125,30.2859,2.38419e-07,0.00851379,
Sun Feb 18 11:02:01 2018,92504535,606.608,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5490,1078,0,32,14,0.0335188,0.071826,-10.4004,0.0106422,-0.00957802,0.00744957,29.3848,31.9125,30.2859,2.38419e-07,0.00744957,
Sun Feb 18 11:02:01 2018,92514536,606.608,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5490,1078,0,32,14,0.071826,0.129287,-10.4291,0.00744957,-0.0148991,0.0106422,29.3848,31.9125,30.2859,2.38419e-07,0.0106422,
Sun Feb 18 11:02:01 2018,92524537,606.608,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5334,5500,1080,0,32,32,0.143652,0.167594,-10.1754,0.00851379,-0.0138349,0.00957802,29.3848,31.9125,30.2859,2.38419e-07,0.00957802,
