today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitch,desired pitch,roll,desired roll,yaw,desired yaw,msl,kppitch,kdpitch,kipitch,lampitch,pp,pd,pi,kproll,kdroll,kiroll,lamroll,rp,rd,ri,kpyaw,kdyaw,kiyaw,lamyaw,yp,yd,yi
Thu Oct  3 09:59:03 2019,8342786,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5536,38,8,8,28,0.517148,-0.105345,-9.69173,0.00851379,-0.0159634,0.0180918,-34.9125,6.45469,-15.2109,20.1928,-0.093895,29.7352,0.0469513,0.0180918,0,576.048,0.0022,0.00035,0.00018,-0.0381806,-0.0450956,0.0073724,-0.000457439,0.0022,0.00035,0.00018,-0.0524311,-0.0662099,0.0145123,-0.000733447,0.28,0,0.03,-0.00509588,-0.00506571,-0,-3.01708e-05,
Thu Oct  3 09:59:03 2019,8352787,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5402,5536,40,18,8,28,0.526724,-0.0814029,-9.5385,0.0159634,-0.0170276,0.0170276,-34.9125,6.45469,-15.2109,19.9847,-0.093895,29.3359,0.0469513,0.0170276,0,576.048,0.0022,0.00035,0.00018,-0.0377287,-0.0446307,0.0073961,-0.000494145,0.0022,0.00035,0.00018,-0.0518506,-0.0653142,0.0142509,-0.000787252,0.28,0,0.03,-0.00480316,-0.00476772,0,-3.54387e-05,
Thu Oct  3 09:59:03 2019,8362788,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5402,5536,40,18,8,28,0.699107,0.0143652,-9.61033,0.0180918,-0.0170276,0.0138349,-34.9125,6.45469,-15.2109,19.789,-0.093895,28.9381,0.0469513,0.0138349,0,576.048,0.0022,0.00035,0.00018,-0.0374195,-0.0441728,0.00728381,-0.000530474,0.0022,0.00035,0.00018,-0.0513011,-0.0644357,0.013975,-0.000840331,0.28,0,0.03,-0.00391384,-0.00387378,0,-4.0068e-05,
Thu Oct  3 09:59:03 2019,8372789,576.048,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5390,5546,36,8,28,10,0.713472,-0.0191536,-9.39964,0.0212845,-0.0255414,0.0159634,-34.9125,6.45469,-15.2109,19.592,-0.093895,28.5478,0.0469513,0.0159634,0,576.048,0.0022,0.00035,0.00018,-0.0374617,-0.0437424,0.00684715,-0.000566439,0.0022,0.00035,0.00018,-0.0505308,-0.0635606,0.0139225,-0.000892694,0.28,0,0.03,-0.00451428,-0.00446974,-0,-4.45378e-05,
Thu Oct  3 09:59:03 2019,8382790,575.961,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5390,5546,36,8,28,10,0.790087,-0.220267,-9.49062,0.0383121,-0.0297983,0.00851379,-34.9125,6.45469,-15.2109,19.397,-0.093895,28.1635,0.0469513,0.00851379,0,575.961,0.0022,0.00035,0.00018,-0.037017,-0.0433091,0.00689415,-0.000602051,0.0022,0.00035,0.00018,-0.0499858,-0.0627019,0.0136605,-0.000944346,0.28,0,0.03,-0.00243207,-0.00238386,0,-4.82094e-05,
Thu Oct  3 09:59:03 2019,8392791,575.961,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5372,5536,36,18,8,28,0.555455,-0.0814029,-9.34217,0.0436332,-0.0436332,0.0159634,-34.9125,6.45469,-15.2109,19.1848,-0.093895,27.7759,0.0469513,0.0159634,0,575.961,0.0022,0.00035,0.00018,-0.0366893,-0.0428799,0.00682793,-0.00063731,0.0022,0.00035,0.00018,-0.0494014,-0.0618565,0.0134504,-0.000995302,0.28,0,0.03,-0.00452162,-0.00446974,-0,-5.18809e-05,
Thu Oct  3 09:59:03 2019,8402792,575.961,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5372,5536,36,18,8,28,0.550666,-0.244209,-9.92157,0.0351194,-0.0351194,0.019156,-34.9125,6.45469,-15.2109,18.9718,-0.093895,27.3924,0.0469513,0.019156,0,575.961,0.0022,0.00035,0.00018,-0.0356614,-0.0424132,0.00742407,-0.000672203,0.0022,0.00035,0.00018,-0.0484826,-0.0610037,0.0135667,-0.00104556,0.28,0,0.03,-0.00542084,-0.00536369,-0,-5.71488e-05,
Thu Oct  3 09:59:03 2019,8412793,575.961,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5544,38,18,8,30,0.47884,-0.0622492,-9.60075,0.0223487,-0.0393763,0.0127707,-34.9125,6.45469,-15.2109,18.7565,-0.093895,27.0097,0.0469513,0.0127707,0,575.961,0.0022,0.00035,0.00018,-0.0351945,-0.0419445,0.00745671,-0.000706713,0.0022,0.00035,0.00018,-0.0478312,-0.0601599,0.0134239,-0.00109513,0.28,0,0.03,-0.00363773,-0.00357579,0,-6.19378e-05,
Thu Oct  3 09:59:03 2019,8422794,575.579,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5384,5544,38,18,8,30,0.636858,-0.0766145,-9.55287,0.0255414,-0.0212845,0.0159634,-34.9125,6.45469,-15.2109,18.5581,-0.093895,26.6265,0.0469513,0.0159634,0,575.579,0.0022,0.00035,0.00018,-0.0346754,-0.0414708,0.00753629,-0.000740837,0.0022,0.00035,0.00018,-0.0470673,-0.059318,0.0133947,-0.00114401,0.28,0,0.03,-0.00453599,-0.00446974,-0,-6.6248e-05,
Thu Oct  3 09:59:03 2019,8432795,575.579,1513,1516,1088,1514,1088,1514,0.0469513,-0.093895,0.9,0,-0.05,-1.19209e-07,5388,5538,40,20,8,28,0.68953,-0.124498,-9.78271,0.00744957,-0.0255414,0.00957802,-34.9125,6.45469,-15.2109,18.3561,-0.093895,26.2429,0.0469513,0.00957802,0,575.579,0.0022,0.00035,0.00018,-0.0348645,-0.0410343,0.00694442,-0.000774589,0.0022,0.00035,0.00018,-0.0462567,-0.058475,0.0134106,-0.0011922,0.28,0,0.03,-0.00275192,-0.00268185,0,-7.00792e-05,
