today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 11:01:41 2018,72596803,607.928,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5488,1086,0,8,32,0,0.105345,-10.386,0.00957802,-0.0180918,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72606804,607.928,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5488,1086,0,8,32,0.0191536,0.162806,-10.3908,0.00957802,-0.0117065,0.00744957,49.2627,37.6359,-57.0773,2.38419e-07,0.00744957,
Sun Feb 18 11:01:41 2018,72616805,607.928,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5526,1086,0,8,32,-0.00957681,0.110133,-10.3813,0.00957802,-0.0159634,0.00957802,49.2627,37.6359,-57.0773,2.38419e-07,0.00957802,
Sun Feb 18 11:01:41 2018,72626806,606.164,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5338,5526,1086,0,8,32,-0.0430956,0.0574608,-10.3142,0.00851379,-0.0127707,0.0138349,49.2627,37.6359,-57.0773,2.38419e-07,0.0138349,
Sun Feb 18 11:01:41 2018,72636807,606.164,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5526,1080,0,32,14,-0.0335188,0.138864,-10.3286,0.0042569,-0.0180918,0.0127707,49.2627,37.6359,-57.0773,2.38419e-07,0.0127707,
Sun Feb 18 11:01:41 2018,72646808,606.164,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5526,1080,0,32,14,0.023942,0.0670376,-10.4291,0.00638535,-0.00957802,0.00851379,49.2627,37.6359,-57.0773,2.38419e-07,0.00851379,
Sun Feb 18 11:01:41 2018,72656809,606.164,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5340,5526,1080,0,32,14,0.00957681,0.148441,-10.3477,0.0117065,-0.0127707,0.00532112,49.2627,37.6359,-57.0773,2.38419e-07,0.00532112,
Sun Feb 18 11:01:41 2018,72666810,606.164,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5336,5522,1086,0,8,32,0.023942,0.0430956,-10.3382,0.00638535,-0.0138349,0.00638535,49.2627,37.6359,-57.0773,2.38419e-07,0.00638535,
Sun Feb 18 11:01:41 2018,72676811,606.164,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5336,5522,1086,0,8,32,0.0383072,0.105345,-10.41,0.00851379,-0.0159634,0.0106422,49.2627,37.6359,-57.0773,2.38419e-07,0.0106422,
Sun Feb 18 11:01:41 2018,72686812,606.486,1514,1514,1088,1514,1088,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,-0.5,-1.19209e-07,5344,5520,1086,0,32,12,-0.0526724,0.0670376,-10.3142,0.0117065,-0.0148991,0.019156,49.2627,37.6359,-57.0773,2.38419e-07,0.019156,
