microseconds_since_start, kpe(P)=0.0035, kiei(I)=1e-09, kded(D)=0.0006,P_CMD,signal, mad_pitch,,,,,,,,,,,,,,,,,,,,,,,,,,
7793359,0.0128352,-4.29E-13,-0.00514429,7.69E-03,0.281685,-3.38551,,,,,,,,,,,,,,,,,,,,,,,,,,
7803360,0.0125653,-3.85E-13,-0.00462587,7.94E-03,0.211266,-3.30841,,,,,,,,,,,,,,,,,,,,,,,,,,
7813361,0.0120883,-6.82E-13,-0.00817841,3.91E-03,0.211266,-3.24252,,,,,,,,,,,,,,,,,,,,,,,,,,
7823362,0.0118271,-3.73E-13,-0.00447661,7.35E-03,0.281685,-3.16791,,,,,,,,,,,,,,,,,,,,,,,,,,
7833363,0.011844,2.41E-14,0.000289049,1.21E-02,0.281685,-3.10231,,,,,,,,,,,,,,,,,,,,,,,,,,
7843364,0.011669,-2.50E-13,-0.00300008,8.67E-03,0.281685,-3.05231,,,,,,,,,,,,,,,,,,,,,,,,,,
7853365,0.0114726,-2.81E-13,-0.00336721,8.11E-03,0.281685,-2.99619,,,,,,,,,,,,,,,,,,,,,,,,,,
7863366,0.0112595,-3.04E-13,-0.00365237,7.61E-03,0.281685,-2.93532,,,,,,,,,,,,,,,,,,,,,,,,,,
7873367,0.0110739,-2.65E-13,-0.00318172,7.89E-03,0.281685,-2.88229,,,,,,,,,,,,,,,,,,,,,,,,,,
7883368,0.0109378,-1.94E-13,-0.00233309,8.60E-03,0.281685,-2.8434,,,,,,,,,,,,,,,,,,,,,,,,,,
7893369,0.0108457,-1.32E-13,-0.00157947,9.27E-03,0.281685,-2.81708,,,,,,,,,,,,,,,,,,,,,,,,,,
7903375,0.0107651,-1.15E-13,-0.00138069,9.38E-03,0.211266,-2.79407,,,,,,,,,,,,,,,,,,,,,,,,,,
7913376,0.010425,-4.86E-13,-0.00583026,4.59E-03,0.211266,-2.76732,,,,,,,,,,,,,,,,,,,,,,,,,,
7923377,0.0103508,-1.06E-13,-0.00127287,9.08E-03,0.211266,-2.7461,,,,,,,,,,,,,,,,,,,,,,,,,,
7933378,0.0103097,-5.88E-14,-0.000705113,9.60E-03,0.211266,-2.73435,,,,,,,,,,,,,,,,,,,,,,,,,,
7943379,0.0103027,-9.87E-15,-0.000118432,1.02E-02,0.211266,-2.73238,,,,,,,,,,,,,,,,,,,,,,,,,,
7953380,0.0103188,2.29E-14,0.000275302,1.06E-02,0.211266,-2.73696,,,,,,,,,,,,,,,,,,,,,,,,,,
7963381,0.0103295,1.53E-14,0.000184035,1.05E-02,0.211266,-2.74003,,,,,,,,,,,,,,,,,,,,,,,,,,
7973382,0.0103625,4.70E-14,0.000564466,1.09E-02,0.211266,-2.74944,,,,,,,,,,,,,,,,,,,,,,,,,,
7983383,0.0104239,8.77E-14,0.00105284,1.15E-02,0.211266,-2.76699,,,,,,,,,,,,,,,,,,,,,,,,,,
7993384,0.0104819,8.28E-14,0.000993834,1.15E-02,0.211266,-2.78355,,,,,,,,,,,,,,,,,,,,,,,,,,
8003385,0.0105608,1.13E-13,0.00135332,1.19E-02,0.281685,-2.80611,,,,,,,,,,,,,,,,,,,,,,,,,,
8013386,0.0108852,4.63E-13,0.00556176,1.64E-02,0.281685,-2.82838,,,,,,,,,,,,,,,,,,,,,,,,,,
8023387,0.0109583,1.04E-13,0.00125297,1.22E-02,0.211266,-2.84927,,,,,,,,,,,,,,,,,,,,,,,,,,
8033388,0.0107753,-2.62E-13,-0.00313833,7.64E-03,0.211266,-2.86738,,,,,,,,,,,,,,,,,,,,,,,,,,
8043389,0.0108752,1.43E-13,0.00171324,1.26E-02,0.281685,-2.89593,,,,,,,,,,,,,,,,,,,,,,,,,,
8053390,0.0112102,4.79E-13,0.00574348,1.70E-02,0.281685,-2.92124,,,,,,,,,,,,,,,,,,,,,,,,,,
8063391,0.0112888,1.12E-13,0.00134655,1.26E-02,0.281685,-2.94368,,,,,,,,,,,,,,,,,,,,,,,,,,
8073392,0.0113717,1.18E-13,0.00142126,1.28E-02,0.211266,-2.96737,,,,,,,,,,,,,,,,,,,,,,,,,,
8083393,0.0112112,-2.29E-13,-0.00275082,8.46E-03,0.211266,-2.99194,,,,,,,,,,,,,,,,,,,,,,,,,,
8093394,0.0112957,1.21E-13,0.00144824,1.27E-02,0.211266,-3.01608,,,,,,,,,,,,,,,,,,,,,,,,,,
8103395,0.0114045,1.55E-13,0.00186506,1.33E-02,0.281685,-3.04716,,,,,,,,,,,,,,,,,,,,,,,,,,
8113396,0.0117907,5.52E-13,0.00662034,1.84E-02,0.281685,-3.08708,,,,,,,,,,,,,,,,,,,,,,,,,,
8123397,0.0119299,1.99E-13,0.00238568,1.43E-02,0.281685,-3.12684,,,,,,,,,,,,,,,,,,,,,,,,,,
8133398,0.012096,2.37E-13,0.00284896,1.49E-02,0.211266,-3.17433,,,,,,,,,,,,,,,,,,,,,,,,,,
8143399,0.0120482,-6.84E-14,-0.000820856,1.12E-02,0.211266,-3.23106,,,,,,,,,,,,,,,,,,,,,,,,,,
8153403,0.0122882,3.43E-13,0.00411561,1.64E-02,0.211266,-3.29966,,,,,,,,,,,,,,,,,,,,,,,,,,
8163404,0.0125903,4.31E-13,0.00517746,1.78E-02,0.211266,-3.38595,,,,,,,,,,,,,,,,,,,,,,,,,,
8173405,0.0129267,4.81E-13,0.00576851,1.87E-02,0.211266,-3.48209,,,,,,,,,,,,,,,,,,,,,,,,,,
8183406,0.0133145,5.54E-13,0.00664693,2.00E-02,0.211266,-3.59287,,,,,,,,,,,,,,,,,,,,,,,,,,
8193407,0.0137413,6.10E-13,0.00731624,2.11E-02,0.281685,-3.71481,,,,,,,,,,,,,,,,,,,,,,,,,,
8203408,0.0144321,9.87E-13,0.0118426,2.63E-02,0.281685,-3.84177,,,,,,,,,,,,,,,,,,,,,,,,,,
8213409,0.0148871,6.50E-13,0.00779978,2.27E-02,0.281685,-3.97176,,,,,,,,,,,,,,,,,,,,,,,,,,
8223410,0.0153272,6.29E-13,0.00754546,2.29E-02,0.211266,-4.09752,,,,,,,,,,,,,,,,,,,,,,,,,,
8233411,0.0154967,2.42E-13,0.00290611,1.84E-02,0.211266,-4.21638,,,,,,,,,,,,,,,,,,,,,,,,,,
8243412,0.0159293,6.18E-13,0.00741494,2.33E-02,0.281685,-4.33996,,,,,,,,,,,,,,,,,,,,,,,,,,
8253416,0.0165994,9.57E-13,0.0114869,2.81E-02,0.281685,-4.46099,,,,,,,,,,,,,,,,,,,,,,,,,,
8263418,0.0170106,5.87E-13,0.00704936,2.41E-02,0.281685,-4.57848,,,,,,,,,,,,,,,,,,,,,,,,,,
8273419,0.0173767,5.23E-13,0.00627614,2.37E-02,0.281685,-4.68308,,,,,,,,,,,,,,,,,,,,,,,,,,
8283420,0.0177852,5.84E-13,0.0070029,2.48E-02,0.281685,-4.79979,,,,,,,,,,,,,,,,,,,,,,,,,,
8293421,0.0181758,5.58E-13,0.00669611,2.49E-02,0.281685,-4.9114,,,,,,,,,,,,,,,,,,,,,,,,,,
8303422,0.0185379,5.17E-13,0.00620725,2.47E-02,0.281685,-5.01485,,,,,,,,,,,,,,,,,,,,,,,,,,
8313423,0.0188766,4.84E-13,0.00580622,2.47E-02,0.281685,-5.11162,,,,,,,,,,,,,,,,,,,,,,,,,,
8323424,0.0191914,4.50E-13,0.00539629,2.46E-02,0.281685,-5.20156,,,,,,,,,,,,,,,,,,,,,,,,,,
8333425,0.0194838,4.18E-13,0.0050132,2.45E-02,0.281685,-5.28511,,,,,,,,,,,,,,,,,,,,,,,,,,
8343426,0.0197465,3.75E-13,0.00450296,2.42E-02,0.281685,-5.36016,,,,,,,,,,,,,,,,,,,,,,,,,,
8353427,0.0199946,3.54E-13,0.00425337,2.42E-02,0.281685,-5.43105,,,,,,,,,,,,,,,,,,,,,,,,,,
8363428,0.0202485,3.63E-13,0.0043531,2.46E-02,0.281685,-5.5036,,,,,,,,,,,,,,,,,,,,,,,,,,
8373429,0.0204916,3.47E-13,0.00416677,2.47E-02,0.281685,-5.57305,,,,,,,,,,,,,,,,,,,,,,,,,,
8383430,0.0207029,3.02E-13,0.00362197,2.43E-02,0.281685,-5.63341,,,,,,,,,,,,,,,,,,,,,,,,,,
8393431,0.0209103,2.96E-13,0.00355702,2.45E-02,0.281685,-5.6927,,,,,,,,,,,,,,,,,,,,,,,,,,
8403432,0.0211067,2.80E-13,0.00336554,2.45E-02,0.281685,-5.74879,,,,,,,,,,,,,,,,,,,,,,,,,,
8413434,0.0212717,2.36E-13,0.00282998,2.41E-02,0.281685,-5.79596,,,,,,,,,,,,,,,,,,,,,,,,,,
8423435,0.0214239,2.17E-13,0.0026088,2.40E-02,0.211266,-5.83944,,,,,,,,,,,,,,,,,,,,,,,,,,
8433436,0.0213349,-1.27E-13,-0.00152644,1.98E-02,0.211266,-5.88442,,,,,,,,,,,,,,,,,,,,,,,,,,
8443437,0.0214661,1.87E-13,0.00224942,2.37E-02,0.281685,-5.92191,,,,,,,,,,,,,,,,,,,,,,,,,,
8453438,0.0218294,5.19E-13,0.00622727,2.81E-02,0.281685,-5.95527,,,,,,,,,,,,,,,,,,,,,,,,,,
8464955,0.0219426,1.62E-13,0.00194126,2.39E-02,0.211266,-5.98763,,,,,,,,,,,,,,,,,,,,,,,,,,
8474956,0.0218242,-1.69E-13,-0.00203035,1.98E-02,0.211266,-6.02421,,,,,,,,,,,,,,,,,,,,,,,,,,
8484959,0.0218738,7.09E-14,0.000851269,2.27E-02,0.281685,-6.0384,,,,,,,,,,,,,,,,,,,,,,,,,,
8494960,0.0222256,5.03E-13,0.00603066,2.83E-02,0.281685,-6.06849,,,,,,,,,,,,,,,,,,,,,,,,,,
8504961,0.0223527,1.82E-13,0.00217887,2.45E-02,0.281685,-6.1048,,,,,,,,,,,,,,,,,,,,,,,,,,
8514962,0.0225119,2.27E-13,0.00272979,2.52E-02,0.211266,-6.1503,,,,,,,,,,,,,,,,,,,,,,,,,,
8524965,0.0224285,-1.19E-13,-0.00143097,2.10E-02,0.211266,-6.19687,,,,,,,,,,,,,,,,,,,,,,,,,,
8534966,0.0225935,2.36E-13,0.00282967,2.54E-02,0.281685,-6.24403,,,,,,,,,,,,,,,,,,,,,,,,,,
8544967,0.0229932,5.71E-13,0.00685101,2.98E-02,0.281685,-6.28779,,,,,,,,,,,,,,,,,,,,,,,,,,
8554968,0.0231237,1.87E-13,0.00223804,2.54E-02,0.211266,-6.3251,,,,,,,,,,,,,,,,,,,,,,,,,,
8564969,0.0230052,-1.69E-13,-0.00203218,2.10E-02,0.211266,-6.36164,,,,,,,,,,,,,,,,,,,,,,,,,,
8574970,0.0231186,1.62E-13,0.00194475,2.51E-02,0.211266,-6.39406,,,,,,,,,,,,,,,,,,,,,,,,,,
8584971,0.0232204,1.45E-13,0.00174391,2.50E-02,0.211266,-6.42312,,,,,,,,,,,,,,,,,,,,,,,,,,
8594972,0.0232419,3.08E-14,0.000369415,2.36E-02,0.281685,-6.42928,,,,,,,,,,,,,,,,,,,,,,,,,,
8604973,0.023473,3.30E-13,0.00396112,2.74E-02,0.281685,-6.42488,,,,,,,,,,,,,,,,,,,,,,,,,,
8614974,0.0234072,-9.39E-14,-0.00112713,2.23E-02,0.281685,-6.40609,,,,,,,,,,,,,,,,,,,,,,,,,,
8624975,0.023264,-2.05E-13,-0.00245573,2.08E-02,0.281685,-6.36516,,,,,,,,,,,,,,,,,,,,,,,,,,
8634976,0.0230646,-2.85E-13,-0.00341721,1.96E-02,0.281685,-6.30821,,,,,,,,,,,,,,,,,,,,,,,,,,
