Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0.05127	2.25089	0.05127	1.80319	0.05127	0.768113
0.051758	2.25061	0.051758	1.80348	0.051758	0.768428
0.052246	2.25054	0.052246	1.80355	0.052246	0.769058
0.052734	2.2505	0.052734	1.80321	0.052734	0.768455
0.053223	2.25017	0.053223	1.80294	0.053223	0.768418
0.053711	2.25026	0.053711	1.80282	0.053711	0.768267
0.054199	2.25038	0.054199	1.80283	0.054199	0.768302
0.054687	2.25054	0.054687	1.80352	0.054687	0.767733
0.055176	2.25026	0.055176	1.80328	0.055176	0.768793
0.055664	2.25024	0.055664	1.80361	0.055664	0.76745
0.056152	2.24976	0.056152	1.80458	0.056152	0.768646
0.056641	2.24977	0.056641	1.80443	0.056641	0.76885
0.057129	2.25004	0.057129	1.80353	0.057129	0.768815
0.057617	2.25005	0.057617	1.80387	0.057617	0.767949
0.058105	2.25018	0.058105	1.80339	0.058105	0.768629
0.058594	2.24994	0.058594	1.80312	0.058594	0.767763
0.059082	2.24985	0.059082	1.8031	0.059082	0.76857
0.05957	2.25042	0.05957	1.80305	0.05957	0.767768
0.060059	2.24998	0.060059	1.80306	0.060059	0.767502
0.060547	2.25018	0.060547	1.80333	0.060547	0.768485
0.061035	2.25023	0.061035	1.80312	0.061035	0.768269
0.061523	2.25036	0.061523	1.8026	0.061523	0.767944
0.062012	2.25037	0.062012	1.80249	0.062012	0.767929
0.0625	2.25028	0.0625	1.80261	0.0625	0.768525
0.062988	2.25034	0.062988	1.80308	0.062988	0.767909
0.063477	2.25038	0.063477	1.80313	0.063477	0.767636
0.063965	2.25059	0.063965	1.80353	0.063965	0.767753
0.064453	2.25051	0.064453	1.80378	0.064453	0.768197
0.064941	2.25059	0.064941	1.80377	0.064941	0.767999
0.06543	2.25071	0.06543	1.80343	0.06543	0.768676
0.065918	2.25057	0.065918	1.80404	0.065918	0.767664
0.066406	2.25058	0.066406	1.80361	0.066406	0.768128
0.066895	2.25067	0.066895	1.80362	0.066895	0.768272
0.067383	2.25066	0.067383	1.80359	0.067383	0.767837
0.067871	2.25071	0.067871	1.80245	0.067871	0.768155
0.068359	2.25069	0.068359	1.80322	0.068359	0.768567
0.068848	2.25067	0.068848	1.80321	0.068848	0.768393
0.069336	2.25054	0.069336	1.80407	0.069336	0.767679
0.069824	2.25035	0.069824	1.80426	0.069824	0.767785
0.070312	2.25042	0.070312	1.80384	0.070312	0.76882
0.070801	2.25044	0.070801	1.80347	0.070801	0.76853
0.071289	2.25042	0.071289	1.80394	0.071289	0.76811
0.071777	2.25036	0.071777	1.80389	0.071777	0.768034
0.072266	2.25046	0.072266	1.80346	0.072266	0.768592
0.072754	2.2502	0.072754	1.80271	0.072754	0.76922
0.073242	2.25043	0.073242	1.80259	0.073242	0.767778
0.07373	2.24994	0.07373	1.80363	0.07373	0.767617
0.074219	2.25001	0.074219	1.80357	0.074219	0.76847
0.074707	2.25021	0.074707	1.80364	0.074707	0.768081
0.075195	2.25001	0.075195	1.80409	0.075195	0.769344
0.075684	2.25011	0.075684	1.80386	0.075684	0.768845
0.076172	2.25044	0.076172	1.80317	0.076172	0.768326
0.07666	2.25012	0.07666	1.80365	0.07666	0.768202
0.077148	2.24996	0.077148	1.8038	0.077148	0.767934
0.077637	2.25019	0.077637	1.80354	0.077637	0.76854
0.078125	2.25038	0.078125	1.80377	0.078125	0.768304
0.078613	2.25042	0.078613	1.80389	0.078613	0.768582
0.079102	2.25048	0.079102	1.80367	0.079102	0.767922
0.07959	2.25031	0.07959	1.804	0.07959	0.767698
0.080078	2.2505	0.080078	1.80348	0.080078	0.768691
0.080566	2.25065	0.080566	1.80364	0.080566	0.768604
0.081055	2.25067	0.081055	1.80319	0.081055	0.769083
0.081543	2.25069	0.081543	1.8039	0.081543	0.768441
0.082031	2.25075	0.082031	1.80287	0.082031	0.768485
0.08252	2.25077	0.08252	1.80302	0.08252	0.768297
0.083008	2.25079	0.083008	1.80308	0.083008	0.767778
0.083496	2.25048	0.083496	1.80312	0.083496	0.769349
0.083984	2.25088	0.083984	1.80265	0.083984	0.767728
0.084473	2.25059	0.084473	1.80324	0.084473	0.768443
0.084961	2.25061	0.084961	1.8041	0.084961	0.768113
0.085449	2.25078	0.085449	1.80359	0.085449	0.768766
0.085937	2.25051	0.085937	1.80412	0.085937	0.768498
0.086426	2.25036	0.086426	1.80408	0.086426	0.768508
0.086914	2.25029	0.086914	1.80419	0.086914	0.768339
0.087402	2.25057	0.087402	1.80402	0.087402	0.768433
0.087891	2.25046	0.087891	1.80319	0.087891	0.768508
0.088379	2.25044	0.088379	1.8038	0.088379	0.76817
0.088867	2.25019	0.088867	1.80399	0.088867	0.769183
0.089355	2.25015	0.089355	1.80283	0.089355	0.768038
0.089844	2.25034	0.089844	1.80359	0.089844	0.768346
0.090332	2.25024	0.090332	1.80377	0.090332	0.768865
0.09082	2.25008	0.09082	1.80368	0.09082	0.769046
0.091309	2.2502	0.091309	1.80364	0.091309	0.768527
0.091797	2.25002	0.091797	1.80332	0.091797	0.768364
0.092285	2.24995	0.092285	1.8041	0.092285	0.768277
0.092773	2.25042	0.092773	1.8026	0.092773	0.768148
0.093262	2.25001	0.093262	1.80388	0.093262	0.768783
0.09375	2.25008	0.09375	1.80353	0.09375	0.768567
0.094238	2.25041	0.094238	1.80295	0.094238	0.768158
0.094727	2.25053	0.094727	1.80307	0.094727	0.769046
0.095215	2.25045	0.095215	1.80351	0.095215	0.768386
0.095703	2.25048	0.095703	1.80296	0.095703	0.768128
0.096191	2.25033	0.096191	1.80302	0.096191	0.768388
0.09668	2.25021	0.09668	1.80308	0.09668	0.769724
0.097168	2.2505	0.097168	1.80291	0.097168	0.768436
0.097656	2.25053	0.097656	1.80403	0.097656	0.76816
0.098145	2.25091	0.098145	1.80376	0.098145	0.768696
0.098633	2.25087	0.098633	1.80283	0.098633	0.767314
0.099121	2.25067	0.099121	1.8029	0.099121	0.768917
0.099609	2.2508	0.099609	1.80352	0.099609	0.768279
0.100098	2.2506	0.100098	1.80314	0.100098	0.768634
0.100586	2.25084	0.100586	1.80302	0.100586	0.768545
0.101074	2.25046	0.101074	1.80281	0.101074	0.768833
0.101562	2.25068	0.101562	1.80316	0.101562	0.768262
0.102051	2.25061	0.102051	1.80324	0.102051	0.768093
0.102539	2.2507	0.102539	1.80266	0.102539	0.768699
0.103027	2.25034	0.103027	1.80303	0.103027	0.768269
0.103516	2.25057	0.103516	1.80269	0.103516	0.768924
0.104004	2.2505	0.104004	1.80282	0.104004	0.769138
0.104492	2.2505	0.104492	1.80264	0.104492	0.768557
0.10498	2.25042	0.10498	1.80253	0.10498	0.768902
0.105469	2.25036	0.105469	1.80258	0.105469	0.769088
0.105957	2.25016	0.105957	1.80274	0.105957	0.768215
0.106445	2.25011	0.106445	1.80214	0.106445	0.768503
0.106934	2.25025	0.106934	1.80225	0.106934	0.768753
0.107422	2.25012	0.107422	1.80259	0.107422	0.768919
0.10791	2.25011	0.10791	1.80255	0.10791	0.76848
0.108398	2.25005	0.108398	1.80242	0.108398	0.768468
0.108887	2.2499	0.108887	1.80201	0.108887	0.768942
0.109375	2.25023	0.109375	1.80296	0.109375	0.768364
0.109863	2.25004	0.109863	1.80267	0.109863	0.768656
