today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchGyr0,pitchAccel,pitchgyro_f,pitchAccel_f,ekp,ekoldp,edp,eip,lamdap,ekr,ekoldr,edr,eir,lamdar,eky,ekoldy,edy,eiy,lamday
Sun Feb 18 10:28:05 2018,18521177,613.159,1514,1513,1088,1514,1088,1940,-7.63E-06,0.0469513,1,2.38E-07,-0.5,0.5,5344,5506,1086,0,8,30,0.0670376,0.148441,-10.3477,0.0138349,-0.0159634,0.00744957,-34.916,124.875,23.2969,-0.256707,0.371185,-0.00206455,-0.130399,-0.0660582,-0.0660582,0.97855,-0.000709509,0.000428823,0.422862,0.422862,0.699079,0.00419366,0.00242159,,,,,
Sun Feb 18 10:28:05 2018,18531178,613.159,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5346,5506,1086,0,32,12,0.071826,0.186748,-10.501,0.0117065,-0.0117065,0.00957802,-34.916,124.875,23.2969,-0.257927,0.391894,-0.00309702,-0.131966,-0.0551268,-0.0551268,1.09314,-0.000605925,0.000563039,0.429758,0.429758,0.689656,0.0042631,0.00244564,,,,,
Sun Feb 18 10:28:05 2018,18541179,613.359,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5346,5506,1086,0,32,12,-0.0766145,0.148441,-10.3813,0.0117065,-0.0117065,0.0106422,-34.916,124.875,23.2969,-0.257927,-0.42284,-0.0028635,-0.132211,-0.0990901,-0.0990901,-4.39633,-0.000771084,-0.00370798,0.440822,0.440822,1.10638,0.0043529,0.00280464,,,,,
Sun Feb 18 10:28:05 2018,18551180,613.359,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5326,5528,1086,0,30,14,-0.0143652,0.134075,-10.4339,0.0138349,-0.00851379,0.00744957,-34.916,124.875,23.2969,-0.257317,-0.0788836,-0.00205574,-0.132439,-0.0853249,-0.0853249,1.37652,-0.000922075,0.000637413,0.439676,0.439676,-0.114572,0.00440249,0.00189353,,,,,
Sun Feb 18 10:28:05 2018,18561181,613.359,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5326,5528,1086,0,30,14,-0.071826,0.181959,-10.4339,0.0106422,-0.0127707,0.00638535,-34.916,124.875,23.2969,-0.256707,-0.394412,-0.00130887,-0.133068,-0.0728152,-0.0728152,1.25098,-0.000790701,0.000600556,0.441616,0.441616,0.193942,0.00440646,0.00213118,,,,,
Sun Feb 18 10:28:05 2018,18571182,613.359,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5526,1088,0,30,10,-0.114922,0.196325,-10.3573,0.0148991,-0.0117065,0.00638535,-34.916,124.875,23.2969,-0.256098,-0.635711,-0.000620539,-0.134559,-0.0577936,-0.0577936,1.50216,-0.000653044,0.000854534,0.445865,0.445865,0.424901,0.0044374,0.00232167,,,,,
Sun Feb 18 10:28:05 2018,18581183,612.586,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5526,1088,0,30,10,-0.0526724,0.158017,-10.4914,0.0117065,-0.0148991,0.00744957,-33.7061,127.823,24.4617,-0.256098,-0.287653,-0.000571626,-0.13726,-0.0428797,-0.0428797,1.49138,-0.000503366,0.000913647,0.453367,0.453367,0.750217,0.00449616,0.00259681,,,,,
Sun Feb 18 10:28:05 2018,18591184,612.586,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5346,5492,1080,0,8,32,-0.0047884,0.21069,-10.4339,0.0117065,-0.00957802,0.00532112,-33.7061,127.823,24.4617,-0.257012,-0.0262946,-0.00139962,-0.140381,-0.0300039,-0.0300039,1.28759,-0.000364418,0.000820371,0.453824,0.453824,0.045681,0.00453595,0.0020761,,,,,
Sun Feb 18 10:28:05 2018,18601185,612.586,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5346,5492,1080,0,8,32,0.00957681,0.129287,-10.501,0.0106422,-0.0170276,0.00319267,-33.7061,127.823,24.4617,-0.256707,0.0522534,-0.000985411,-0.142978,-0.0196945,-0.0196945,1.03094,-0.000248492,0.00067633,0.461936,0.461936,0.811246,0.0045788,0.00268066,,,,,
Sun Feb 18 10:28:05 2018,18611186,612.586,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5346,5490,1086,0,30,30,-0.0335188,0.177171,-10.4531,0.0138349,-0.0138349,0.00744957,-33.7061,127.823,24.4617,-0.257622,-0.183724,-0.00176924,-0.144915,-0.00530522,-0.00530522,1.43893,-0.000124999,0.00104381,0.462695,0.462695,0.0758678,0.00462316,0.00213842,,,,,
Sun Feb 18 10:28:05 2018,18621187,612.586,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5346,5490,1086,0,30,30,-0.0335188,0.134075,-10.4483,0.0148991,-0.0106422,0.00851379,-33.7061,127.823,24.4617,-0.257317,-0.183808,-0.00131323,-0.14661,0.0112591,0.0112591,1.65643,2.98E-05,0.00127974,0.465006,0.465006,0.23109,0.0046385,0.002264,,,,,
Sun Feb 18 10:28:05 2018,18631188,612.586,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5500,1086,0,30,12,-0.0047884,0.158017,-10.343,0.0159634,-0.0138349,0.00851379,-33.7061,127.823,24.4617,-0.255793,-0.0265258,0.000275514,-0.148154,0.0294984,0.0294984,1.82392,0.000203787,0.00148609,0.466396,0.466396,0.13901,0.00465701,0.00220193,,,,,
Sun Feb 18 10:28:05 2018,18641189,613.064,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5338,5500,1086,0,30,12,0.0814029,0.205901,-10.4291,0.0170276,-0.00957802,0.0042569,-33.7061,127.823,24.4617,-0.254878,0.447204,0.00114494,-0.148808,0.0461861,0.0461861,1.66877,0.000378422,0.00144606,0.469743,0.469743,0.334722,0.0046807,0.00236221,,,,,
Sun Feb 18 10:28:05 2018,18651190,613.064,1514,1514,1088,1514,1088,1940,-7.63E-06,7.63E-06,1,2.38E-07,-0.5,0.5,5332,5526,1088,0,8,30,0.00957681,0.138864,-10.3046,0.0148991,-0.0138349,0.00851379,-33.7061,127.823,24.4617,-0.253354,0.0532489,0.00251944,-0.147976,0.0533207,0.0533207,0.713459,0.000497534,0.000769329,0.478617,0.478617,0.887355,0.0047418,0.00281219,,,,,
