today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=5e-08, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:47:28 2018,9479179,922.176,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4984,4124,1216,0,30,14,-0.694318,-0.11971,-10.4291,0.0595966,0.124514,0.0212845,30.0762,31.5656,43.9313,-3.80884,4.26152,-1.28943,2.03383,0.744402,0.102193,-1.3145e-10,-0.0315479,0.0704193,-40.8069,0,
Sun Feb 11 14:47:28 2018,9489180,922.176,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4134,1216,0,8,32,-0.474052,-0.244209,-10.5345,0.0404405,0.119193,0.0117065,30.7676,30.8719,46.9266,-2.57657,4.54952,-1.41591,2.05701,0.641099,0.100884,-1.30904e-10,-0.031417,0.0704193,-40.2833,0,
Sun Feb 11 14:47:28 2018,9499181,921.463,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5006,4134,1216,0,8,32,-0.47884,-0.0335188,-10.3573,0.0287341,0.126643,0.0127707,30.7676,30.8719,46.9266,-2.64702,4.83387,-1.53725,2.06695,0.529698,0.0995657,-1.31868e-10,-0.0316484,0.0704193,-39.7559,0,
Sun Feb 11 14:47:28 2018,9509182,921.463,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4138,1214,0,32,12,-0.474052,-0.071826,-10.5967,0.0361836,0.117065,0.00532112,30.7676,30.8719,46.9266,-2.56146,5.12309,-1.65232,2.0729,0.420587,0.0982429,-1.32277e-10,-0.0317464,0.0704193,-39.2267,0,
Sun Feb 11 14:47:28 2018,9519183,921.463,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4138,1214,0,32,12,-0.344765,-0.186748,-10.5297,0.0436332,0.118129,-0.0042569,30.7676,30.8719,46.9266,-1.87532,5.40926,-1.76047,2.06761,0.307141,0.0969308,-1.31214e-10,-0.0314914,0.0704193,-38.7019,0,
Sun Feb 11 14:47:28 2018,9529184,921.463,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4992,4122,1210,0,8,32,-0.201113,-0.172383,-10.3286,0.0393763,0.114936,-0.00638535,30.7676,30.8719,46.9266,-1.11549,5.69666,-1.8598,2.05613,0.196333,0.0956197,-1.31107e-10,-0.0314658,0.0704193,-38.1775,0,
Sun Feb 11 14:47:28 2018,9539185,920.412,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4992,4122,1210,0,8,32,-0.316035,-0.114922,-10.2951,0.0319267,0.122386,-0.00532112,30.7676,30.8719,46.9266,-1.7583,5.981,-1.9492,2.03495,0.0857506,0.0943003,-1.31942e-10,-0.031666,0.0704193,-37.6497,0,
Sun Feb 11 14:47:28 2018,9549186,920.412,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5036,4138,1218,0,32,12,-0.277727,-0.229843,-10.2903,0.0319267,0.119193,-0.00851379,30.7676,30.8719,46.9266,-1.546,6.26839,-2.02948,2.0108,-0.0186725,0.092982,-1.31829e-10,-0.031639,0.0704193,-37.1224,0,
Sun Feb 11 14:47:28 2018,9559187,920.412,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5036,4138,1218,0,32,12,-0.229843,-0.220267,-10.1945,0.0255414,0.119193,0.00212845,30.7676,30.8719,46.9266,-1.29156,6.55487,-2.10107,1.98024,-0.120823,0.0916798,-1.30224e-10,-0.0312538,0.0704193,-36.6015,0,
Sun Feb 11 14:47:28 2018,9569188,920.412,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5018,4138,1214,0,8,32,-0.339977,-0.296881,-10.228,0.0202203,0.116,0.00957802,30.7676,30.8719,46.9266,-1.9038,6.84227,-2.16433,1.94568,-0.218654,0.0903725,-1.30727e-10,-0.0313744,0.0704193,-36.0786,0,
Sun Feb 11 14:47:28 2018,9579189,920.412,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5018,4138,1214,0,8,32,-0.320823,-0.148441,-10.319,0.019156,0.108551,0.0212845,30.7676,30.8719,46.9266,-1.78078,7.13088,-2.22055,1.90787,-0.312672,0.0890789,-1.29358e-10,-0.031046,0.0704193,-35.5611,0,
Sun Feb 11 14:47:28 2018,9589190,920.412,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,4134,1216,0,8,32,-0.368707,-0.129287,-10.2807,0.0223487,0.108551,0.0319267,30.7676,30.8719,46.9266,-2.05398,7.41736,-2.27069,1.86404,-0.406658,0.0877917,-1.28724e-10,-0.0308938,0.0704193,-35.0462,0,
