today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0001, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 13:32:17 2018,159575406,943.62,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5018,4138,1216,0,30,14,-2.60968,-0.153229,-10.0317,0.00957802,-0.00638535,0.0170276,37.5088,32.0859,38.7727,-14.5819,2846.44,-14.84,0.000582155,-14.8395,0.0765049,0,0,50.5,-15.1495,
Sun Feb 11 13:32:17 2018,159585407,943.62,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5018,4138,1216,0,30,14,-2.49955,-0.100556,-9.8258,0.0042569,-0.00319267,0.0180918,37.5088,32.0859,38.7727,-14.2725,2846.73,-14.8353,-0.000293239,-14.8356,0.0703155,-0,-0,50.5,-13.9239,
Sun Feb 11 13:32:17 2018,159595409,943.62,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4978,4128,1218,0,8,32,-2.58574,-0.0574608,-9.7875,0.00744957,-0.0042569,0.0127707,37.5088,32.0859,38.7727,-14.7988,2847.02,-14.8297,0.00012757,-14.8295,0.0701862,-0,-0,50.5,-13.8983,
Sun Feb 11 13:32:17 2018,159605410,943.62,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4978,4128,1218,0,8,32,-2.60489,-0.0143652,-9.88326,0.0106422,-0.00744957,0.0127707,37.5088,32.0859,38.7727,-14.7654,2847.3,-14.8238,0.00100042,-14.8228,0.0703844,0,0,50.5,-13.9375,
Sun Feb 11 13:32:17 2018,159615411,943.62,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4984,4130,1216,0,8,32,-2.59531,-0.129287,-9.98861,0.0138349,-0.00851379,0.019156,37.5088,32.0859,38.7727,-14.565,2847.59,-14.8181,0.00130703,-14.8168,0.0705282,0,0,50.5,-13.966,
Sun Feb 11 13:32:17 2018,159625412,943.62,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4984,4130,1216,0,8,32,-2.50912,-0.100556,-9.95509,0.00957802,-0.00851379,0.0138349,37.5088,32.0859,38.7727,-14.1464,2847.88,-14.8118,0.00109437,-14.8107,0.0706733,0,0,50.5,-13.9947,
Sun Feb 11 13:32:17 2018,159635413,946.375,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4986,4124,1214,0,8,32,-2.65756,-0.158017,-9.87848,0.00957802,-0.00638535,0.00744957,37.5088,32.0859,38.7727,-15.0575,2848.16,-14.8047,0.000407371,-14.8043,0.0707952,0,0,50.5,-14.0189,
Sun Feb 11 13:32:17 2018,159645414,946.375,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4986,4124,1214,0,8,32,-2.64799,-0.191536,-9.96946,0.00532112,-0.00532112,0.00851379,37.5088,32.0859,38.7727,-14.8749,2848.45,-14.7981,2.13574e-05,-14.7981,0.0709299,0,0,50.5,-14.0455,
Sun Feb 11 13:32:17 2018,159655415,946.375,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4980,4124,1214,0,32,14,-2.54743,-0.134075,-10.0604,0.00212845,-0.00851379,0.0106422,37.5088,32.0859,38.7727,-14.2094,2848.74,-14.7919,0.000888771,-14.791,0.071062,0,0,50.5,-14.0717,
Sun Feb 11 13:32:17 2018,159665416,946.375,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4980,4124,1214,0,32,14,-2.64799,-0.0814029,-9.93594,-0.00212845,-0.00851379,0.0117065,37.5088,32.0859,38.7727,-14.9228,2849.02,-14.7854,0.000702551,-14.7847,0.0711435,0,0,50.5,-14.0878,
