today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:28:12 2018,8870855,922.715,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,8,32,0.181959,-0.220267,-10.3525,-0.00319267,0.00319267,0.00638535,26.4463,33.4734,49.4227,1.00695,4.29627,0.365023,2.04836,2.41338,0.0729814,-0,-0.028236,50.3838,-36.4907,50.3838,
Sun Feb 11 14:28:12 2018,8880856,922.715,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4142,1218,0,32,14,0.153229,-0.172383,-10.2232,0.0042569,-0.00106422,0.00851379,26.4463,33.4734,49.4227,0.858702,4.58397,0.398186,2.06929,2.46748,0.0720447,-0,-0.0280987,50.3838,-36.0224,50.3838,
Sun Feb 11 14:28:12 2018,8890857,923.705,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4142,1218,0,32,14,0.167594,-0.277727,-10.4579,0.00957802,-0.00638535,0.00532112,26.4463,33.4734,49.4227,0.918124,4.87197,0.430465,2.08093,2.5114,0.0711113,-0,-0.0280014,50.3838,-35.5557,50.3838,
Sun Feb 11 14:28:12 2018,8900858,923.705,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4122,1214,0,32,12,0.124498,-0.229843,-10.4052,0.00744957,-0.00638535,0.00638535,26.4463,33.4734,49.4227,0.685513,5.15845,0.461566,2.08226,2.54383,0.0701831,-0,-0.0278465,50.3838,-35.0916,50.3838,
Sun Feb 11 14:28:12 2018,8910859,923.705,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4122,1214,0,32,12,0.263362,-0.225055,-10.4244,0.0138349,-0.00851379,0.00744957,26.4463,33.4734,49.4227,1.44722,5.44554,0.491808,2.07621,2.56802,0.0692537,-0,-0.0278826,50.3838,-34.6269,50.3838,
Sun Feb 11 14:28:12 2018,8920860,923.705,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1212,0,20,32,0.311246,-0.268151,-10.2951,0.00744957,-0.00957802,0.00638535,26.4463,33.4734,49.4227,1.73167,5.73233,0.522637,2.06254,2.58517,0.0683237,-0,-0.0278991,50.3838,-34.1619,50.3838,
Sun Feb 11 14:28:12 2018,8930861,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1212,0,20,32,0.196325,-0.234632,-10.2663,0.0138349,-0.0138349,0.00532112,26.4463,33.4734,49.4227,1.09554,6.02003,0.554541,2.04312,2.59766,0.0674014,-0,-0.0276695,50.3838,-33.7007,50.3838,
Sun Feb 11 14:28:12 2018,8940862,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1214,0,8,32,0.225055,-0.244209,-10.3142,0.00851379,-0.0138349,0.00532112,26.4463,33.4734,49.4227,1.24999,6.3065,0.586522,2.01647,2.60299,0.0664888,-0,-0.0273782,50.3838,-33.2444,50.3838,
Sun Feb 11 14:28:12 2018,8950863,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1214,0,8,32,0.225055,-0.272939,-10.2615,0.00212845,-0.0138349,0.00957802,26.4463,33.4734,49.4227,1.2564,6.59298,0.61815,1.98447,2.60262,0.0655704,-0,-0.0275523,50.3838,-32.7852,50.3838,
Sun Feb 11 14:28:12 2018,8960864,921.42,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1216,0,32,14,0.11971,-0.23942,-10.3382,0.00212845,-0.0180918,0.00638535,26.4463,33.4734,49.4227,0.663424,6.88068,0.648934,1.94887,2.5978,0.0646577,-0,-0.0273811,50.3838,-32.3288,50.3838,
