today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=1e-05,signal, mad_pitch, multiplier
Sun Feb 11 14:10:59 2018,8596459,0,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5028,4144,1218,0,8,32,0.560243,-0.244209,-10.1323,0.019156,-0.0159634,0.0042569,24.5449,31.9125,46.9266,3.16484,0.291052,0.00298683,0.27841,0.281397,0,0,0,50.3838,0,2.56953e+33,
Sun Feb 11 14:10:59 2018,8606460,925.704,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5028,4144,1218,0,8,32,0.493206,-0.292093,-10.0987,0.019156,-0.0138349,0.00638535,24.5449,31.9125,46.9266,2.79601,0.576922,0.014321,0.527152,0.541473,0.0811818,0,2.04512,50.3838,-40.5909,50.3838,
Sun Feb 11 14:10:59 2018,8616462,925.704,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4132,1214,0,8,14,0.536301,-0.244209,-10.1466,0.0180918,-0.00851379,0.00212845,24.5449,31.9125,46.9266,3.02556,0.861876,0.0357575,0.75189,0.787647,0.080286,-0,-0.0225653,50.3838,-40.143,50.3838,
Sun Feb 11 14:10:59 2018,8626463,925.704,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4132,1214,0,8,14,0.440533,-0.392649,-10.3717,0.0127707,-0.0042569,0.0042569,24.5449,31.9125,46.9266,2.43216,1.14714,0.0658823,0.954982,1.02086,0.0793952,-0,-0.0224417,50.3838,-39.6976,50.3838,
Sun Feb 11 14:10:59 2018,8636464,925.704,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,8,32,0.435745,-0.344765,-10.252,0.00851379,0.00212845,0.00212845,24.5449,31.9125,46.9266,2.43381,1.43179,0.102941,1.13663,1.23957,0.0785379,-0,-0.0215966,50.3838,-39.269,50.3838,
Sun Feb 11 14:10:59 2018,8646465,925.704,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,8,32,0.416591,-0.234632,-10.2807,0.00744957,0.0106422,0.00212845,24.5449,31.9125,46.9266,2.32045,1.71583,0.145541,1.29796,1.4435,0.0776727,-0,-0.0217954,50.3838,-38.8364,50.3838,
Sun Feb 11 14:10:59 2018,8656466,925.608,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1214,0,8,32,0.440533,-0.201113,-10.5584,0.00744957,0.0180918,-0.00319267,24.5449,31.9125,46.9266,2.38919,2.00017,0.192903,1.44097,1.63388,0.0768002,-0,-0.0219797,50.3838,-38.4001,50.3838,
Sun Feb 11 14:10:59 2018,8666467,925.608,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4134,1214,0,8,32,0.349553,-0.215478,-10.343,0.00851379,0.0244772,-0.00212845,24.5449,31.9125,46.9266,1.93565,2.28482,0.244039,1.56669,1.81073,0.0759223,-0,-0.0221181,50.3838,-37.9611,50.3838,
Sun Feb 11 14:10:59 2018,8676468,925.608,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,32,12,0.335188,-0.220267,-10.3477,0.00532112,0.0244772,-0.00212845,24.5449,31.9125,46.9266,1.8553,2.5713,0.297566,1.67755,1.97512,0.0750387,-0,-0.022258,50.3838,-37.5194,50.3838,
Sun Feb 11 14:10:59 2018,8686469,925.608,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,32,12,0.225055,-0.158017,-10.343,0.0042569,0.032991,-0.00957802,24.5449,31.9125,46.9266,1.24652,2.85534,0.351927,1.77033,2.12226,0.0741483,-0,-0.0224319,50.3838,-37.0741,50.3838,
Sun Feb 11 14:10:59 2018,8696470,925.252,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5002,4138,1218,0,32,14,0.258574,-0.143652,-10.2999,0.00744957,0.0361836,-0.0117065,24.5449,31.9125,46.9266,1.43809,3.1409,0.4058,1.85,2.2558,0.073252,-0,-0.0225784,50.3838,-36.626,50.3838,
