today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0005, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 11:35:44 2018,10201094,0,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5020,4150,1222,0,30,32,-0.512359,-0.483629,-10.2855,0.0127707,-0.0627892,0.0042569,29.2119,31.7391,44.7633,-2.85176,0.304467,-0.00269137,0.291242,0.288551,1.25434e+30,0,0,0.0704193,0,
Sun Feb 11 11:35:44 2018,10211107,976.561,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4150,1220,0,32,32,-0.493206,-0.488417,-10.2137,0.00851379,-0.0542754,0.00212845,29.2119,31.7391,44.7633,-2.7646,0.588507,-0.0131357,0.537095,0.523959,0.0226186,-0,-0,0.0704193,-45.1668,
Sun Feb 11 11:35:44 2018,10221108,976.561,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5004,4150,1220,0,32,32,-0.45011,-0.507571,-10.2424,0.00744957,-0.0478901,0.00212845,29.2119,31.7391,44.7633,-2.51629,0.873157,-0.0329272,0.76061,0.727683,0.022375,-0,-0,0.0704193,-44.6796,
Sun Feb 11 11:35:44 2018,10231109,976.561,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4982,4138,1218,0,32,12,-0.474052,-0.454898,-10.252,0.00744957,-0.042569,-0.00532112,29.2119,31.7391,44.7633,-2.64748,1.15811,-0.0607696,0.962551,0.901781,0.0222165,-0,-0,0.0704193,-44.3626,
Sun Feb 11 11:35:44 2018,10241110,976.561,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4982,4138,1218,0,32,12,-0.493206,-0.579397,-10.1993,0.00744957,-0.0319267,0.00212845,29.2119,33.1266,47.093,-2.76849,1.44154,-0.0960012,1.14224,1.04624,0.0219646,-0,-0,0.0704193,-43.8588,
Sun Feb 11 11:35:44 2018,10251111,976.561,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4986,4134,1218,0,32,14,-0.392649,-0.560243,-10.2855,-0.00212845,-0.0287341,-0.00212845,29.2119,33.1266,47.093,-2.18621,1.72711,-0.137664,1.30438,1.16672,0.0217227,-0,-0,0.0704193,-43.3749,
Sun Feb 11 11:35:44 2018,10261112,976.248,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4986,4134,1218,0,32,14,-0.488417,-0.459687,-10.1179,0,-0.0159634,-0.00106422,29.2119,33.1266,47.093,-2.76367,2.00993,-0.184613,1.4452,1.26059,0.0214768,-0,-0,0.0704193,-42.8832,
Sun Feb 11 11:35:44 2018,10271113,976.248,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4134,1218,0,8,32,-0.531513,-0.397437,-10.2137,0,-0.0042569,0.00106422,29.2119,33.1266,47.093,-2.97895,2.29305,-0.236967,1.56889,1.33192,0.0212268,-0,-0,0.0704193,-42.3832,
Sun Feb 11 11:35:44 2018,10281114,976.248,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4134,1218,0,8,32,-0.531513,-0.363919,-10.2185,0.00106422,0.00106422,0.00106422,29.2119,33.1266,47.093,-2.97756,2.57801,-0.295018,1.67789,1.38287,0.0209802,-0,-0,0.0704193,-41.8901,
Sun Feb 11 11:35:44 2018,10291115,976.248,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5002,4152,1222,0,8,32,-0.545878,-0.454898,-10.2663,0.00532112,0.00532112,-0.00212845,29.2119,33.1266,47.093,-3.04365,2.86327,-0.358327,1.77159,1.41326,0.0207325,-0,-0,0.0704193,-41.3945,
