today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.003, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 11:41:44 2018,9270403,0,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5024,4152,1220,0,8,32,-0.42138,-0.54109,-10.3525,0.00319267,-0.0585323,0.00106422,29.2119,30.6984,45.7617,-2.33083,0.303247,-0.00219973,0.290076,0.287876,7.35111e+30,0,0,0.0704193,0,
Sun Feb 11 11:41:44 2018,9280404,976.813,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4992,4134,1220,0,8,30,-0.416591,-0.445322,-10.3094,0.00532112,-0.0627892,0.00319267,29.2119,30.6984,45.7617,-2.31399,0.590946,-0.0107875,0.539532,0.528744,0.135791,-0,-0,0.0704193,-45.1934,
Sun Feb 11 11:41:44 2018,9290407,976.813,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4992,4134,1220,0,8,30,-0.459687,-0.641646,-10.2855,0.00319267,-0.0595966,0.00532112,29.2119,30.6984,45.7617,-2.559,0.876511,-0.0275873,0.76371,0.736122,0.134469,-0,-0,0.0704193,-44.7525,
Sun Feb 11 11:41:44 2018,9300408,976.813,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4994,4138,1220,0,32,14,-0.47884,-0.56982,-10.3286,0.00319267,-0.0585323,0.00957802,29.2119,30.6984,45.7617,-2.65437,1.16268,-0.0523742,0.966537,0.914162,0.132965,-0,-0,0.0704193,-44.2514,
Sun Feb 11 11:41:44 2018,9310409,976.813,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4994,4138,1220,0,32,14,-0.521936,-0.517148,-10.2855,0.00638535,-0.0649177,0.0106422,29.2119,30.6984,45.7617,-2.90498,1.45099,-0.0850238,1.15052,1.0655,0.131569,-0,-0,0.0704193,-43.786,
Sun Feb 11 11:41:44 2018,9320410,976.813,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5000,4146,1218,0,8,32,-0.488417,-0.593762,-10.2807,0.0106422,-0.0638535,0.0159634,29.2119,30.6984,45.7617,-2.71997,1.73717,-0.125133,1.31248,1.18735,0.130175,-0,-0,0.0704193,-43.3211,
Sun Feb 11 11:41:44 2018,9330411,976.291,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5000,4146,1218,0,8,32,-0.574608,-0.612916,-10.1945,0.00851379,-0.0564039,0.0117065,29.2119,30.6984,45.7617,-3.22604,2.02151,-0.172281,1.45398,1.2817,0.128785,-0,-0,0.0704193,-42.858,
Sun Feb 11 11:41:44 2018,9340412,976.291,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5014,4144,1218,0,8,32,-0.560243,-0.584185,-10.2232,0.00744957,-0.0585323,0.00851379,29.2119,30.6984,45.7617,-3.13673,2.3086,-0.226389,1.58058,1.35419,0.127399,-0,-0,0.0704193,-42.396,
Sun Feb 11 11:41:44 2018,9350413,976.291,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5014,4144,1218,0,8,32,-0.497994,-0.54109,-10.228,0.00851379,-0.0595966,0.0138349,29.2119,30.6984,45.7617,-2.78748,2.59539,-0.28664,1.69017,1.40353,0.126015,-0,-0,0.0704193,-41.9346,
Sun Feb 11 11:41:44 2018,9360414,976.291,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5002,4150,1220,0,8,32,-0.488417,-0.555455,-10.2999,-0.00106422,-0.0542754,0.0106422,29.2119,30.6984,45.7617,-2.71492,2.88034,-0.351472,1.78231,1.43084,0.124631,-0,-0,0.0704193,-41.4733,
Sun Feb 11 11:41:44 2018,9370415,976.083,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5002,4150,1220,0,8,32,-0.464475,-0.588974,-10.2999,-0.00106422,-0.0478901,0.00744957,29.5576,32.0859,47.4258,-2.58202,3.16499,-0.41966,1.85961,1.43995,0.123245,-0,-0,0.0704193,-41.0111,
Sun Feb 11 11:41:44 2018,9380416,976.083,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5000,4150,1220,0,8,32,-0.47884,-0.555455,-10.3238,-0.00638535,-0.0478901,0.00957802,29.5576,32.0859,47.4258,-2.6556,3.45147,-0.490411,1.92506,1.43465,0.121853,-0,-0,0.0704193,-40.5471,
Sun Feb 11 11:41:44 2018,9390417,976.083,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5000,4150,1220,0,8,32,-0.469264,-0.521936,-10.3525,-0.00851379,-0.0489543,0.0117065,29.5576,32.0859,47.4258,-2.59535,3.73825,-0.563196,1.97798,1.41478,0.120461,-0,-0,0.0704193,-40.0833,
Sun Feb 11 11:41:44 2018,9400418,976.083,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5024,4146,1220,0,32,32,-0.402226,-0.507571,-10.3669,0.00212845,-0.0404405,0.00851379,29.5576,32.0859,47.4258,-2.22191,4.02229,-0.637172,2.01631,1.37914,0.119071,-0,-0,0.0704193,-39.6199,
Sun Feb 11 11:41:44 2018,9410419,976.083,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5024,4146,1220,0,32,32,-0.445322,-0.670376,-10.3621,0.00319267,-0.042569,0.0138349,29.5576,32.0859,47.4258,-2.46083,4.30938,-0.711422,2.04669,1.33526,0.117677,-0,-0,0.0704193,-39.1552,
Sun Feb 11 11:41:44 2018,9420420,976.083,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4996,4122,1216,0,32,30,-0.440533,-0.378284,-10.0748,0.0106422,-0.0276698,0.00957802,29.5576,32.0859,47.4258,-2.50374,4.59159,-0.785781,2.06209,1.27631,0.116286,-0,-0,0.0704193,-38.6917,
Sun Feb 11 11:41:44 2018,9430421,977.195,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4996,4122,1216,0,32,30,-0.699107,-0.679953,-10.6638,0.0510828,-0.0170276,-0.0212845,29.5576,32.0859,47.4258,-3.75089,4.87502,-0.861442,2.06956,1.20812,0.114897,-0,-0,0.0704193,-38.2284,
Sun Feb 11 11:41:44 2018,9440422,977.195,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4936,3976,1190,0,8,32,-0.756568,-0.718261,-9.91678,-0.0553397,-0.104294,-0.0297983,29.5576,32.0859,47.4258,-4.36274,5.1865,-0.940982,2.09542,1.15444,0.113525,-0,-0,0.0704193,-37.7712,
Sun Feb 11 11:41:44 2018,9450423,977.195,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4936,3976,1190,0,8,32,-0.320823,-0.459687,-9.29429,0.00744957,-0.0776884,0.0223487,29.5576,32.0859,47.4258,-1.97697,5.46536,-1.02385,2.07997,1.05611,0.112184,-0,-0,0.0704193,-37.3242,
Sun Feb 11 11:41:44 2018,9460424,977.195,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,4982,4006,1192,0,8,32,-0.320823,-0.521936,-11.224,0.0883306,-0.00106422,-0.0117065,29.5576,32.0859,47.4258,-1.63728,5.72989,-1.10521,2.04426,0.939059,0.110727,-0,-0,0.0704193,-36.8386,
Sun Feb 11 11:41:44 2018,9470425,975.492,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,4982,4006,1192,0,8,32,-0.737414,-0.6608,-10.0748,-0.0893948,0.042569,-0.0276698,29.5576,32.0859,47.4258,-4.18624,6.00387,-1.18438,2.01292,0.828541,0.109264,-0,-0,0.0704193,-36.3511,
Sun Feb 11 11:41:44 2018,9480426,975.492,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5020,4020,1198,0,8,32,-0.593762,-0.6608,-10.003,0.0468259,0.0351194,0.0234129,29.5576,32.0859,47.4258,-3.39701,6.29248,-1.26501,1.99064,0.725633,0.107843,-0,-0,0.0704193,-35.8773,
Sun Feb 11 11:41:44 2018,9490427,975.492,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5020,4020,1198,0,8,32,-0.177171,-0.488417,-9.9503,0.0415047,0.0564039,0.0223487,29.5576,32.0859,47.4258,-1.02008,6.57286,-1.34534,1.95487,0.609531,0.106363,-0,-0,0.0704193,-35.384,
Sun Feb 11 11:41:44 2018,9500428,975.492,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4994,4012,1200,0,8,32,-0.574608,-0.42138,-10.2663,0.00638535,0.0904591,0.0127707,29.5576,32.0859,47.4258,-3.20351,6.84958,-1.42191,1.91125,0.48934,0.104809,-0,-0,0.0704193,-34.8661,
Sun Feb 11 11:41:44 2018,9510429,975.492,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4994,4012,1200,0,8,32,-0.814029,-0.799663,-10.2568,-0.0042569,0.15112,0.0266056,29.5576,32.0859,47.4258,-4.53778,7.11869,-1.49791,1.85684,0.358934,0.103225,-0,-0,0.0704193,-34.338,
Sun Feb 11 11:41:44 2018,9520430,975.492,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5018,4028,1196,0,8,32,-0.536301,-0.622492,-10.1562,0.0117065,0.163891,0.0383121,29.5576,32.0859,47.4258,-3.02271,7.40151,-1.57623,1.81317,0.236937,0.101639,-0,-0,0.0704193,-33.8092,
Sun Feb 11 11:41:44 2018,9530431,976.204,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5018,4028,1196,0,8,32,-0.632069,-0.464475,-9.7444,0.0148991,0.158569,0.0148991,29.5576,32.0859,47.4258,-3.71129,7.68951,-1.65543,1.77131,0.115881,0.100003,-0,-0,0.0704193,-33.264,
Sun Feb 11 11:41:44 2018,9540432,976.204,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,4990,4018,1196,0,32,30,-0.555455,-0.497994,-9.93594,0.00638535,0.197946,0.0148991,29.5576,32.0859,47.4258,-3.19971,7.96471,-1.73454,1.71409,-0.0204515,0.098319,-0,-0,0.0704193,-32.7026,
Sun Feb 11 11:41:44 2018,9550433,976.204,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4990,4018,1196,0,32,30,-0.641646,-0.397437,-10.0413,-0.00106422,0.229872,0.0255414,29.5576,32.0859,47.4258,-3.65628,8.24204,-1.81336,1.65729,-0.156072,0.0965816,-0,-0,0.0704193,-32.1234,
Sun Feb 11 11:41:44 2018,9560434,976.204,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4990,4012,1196,0,32,32,-0.675165,-0.521936,-9.98861,0.0255414,0.259671,0.0244772,29.5576,32.0859,47.4258,-3.86694,8.51998,-1.89221,1.59965,-0.292564,0.0948247,-0,-0,0.0704193,-31.5378,
Sun Feb 11 11:41:44 2018,9570435,976.274,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4990,4012,1196,0,32,32,-0.383072,-0.890643,-10.6686,-0.0138349,0.330974,-0.0148991,29.5576,32.0859,47.4258,-2.05642,8.78604,-1.96991,1.52949,-0.440417,0.0930177,-0,-0,0.0704193,-30.9355,
Sun Feb 11 11:41:44 2018,9580436,976.274,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,5018,4032,1196,0,8,32,-0.268151,-0.229843,-9.62948,-0.0351194,0.301175,0.00532112,29.5576,32.0859,47.4258,-1.5951,9.08105,-2.04261,1.48723,-0.555373,0.0911513,-0,-0,0.0704193,-30.3133,
Sun Feb 11 11:41:44 2018,9590437,976.274,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,5018,4032,1196,0,8,32,-0.411803,-0.507571,-10.2232,0.100037,0.323524,0.0340552,29.5576,32.0859,47.4258,-2.30669,9.36113,-2.10854,1.42866,-0.679882,0.0893002,-0,-0,0.0704193,-29.6963,
Sun Feb 11 11:41:44 2018,9600438,976.274,1513,1513,1377,1514,1940,1514,-0.0469513,0.0704193,1.2392,0,0.5,-1.19209e-07,4986,3988,1192,0,32,14,-0.196325,-1.02951,-11.5401,-0.0159634,0.416112,-0.0383121,29.5576,32.0859,47.4258,-0.974648,9.62108,-2.16769,1.35042,-0.817271,0.0873686,-0,-0,0.0704193,-29.0525,
Sun Feb 11 11:41:44 2018,9610439,976.274,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4986,3988,1192,0,32,14,0.430956,-0.23942,-10.477,-0.0872664,0.426754,0.00638535,29.5576,32.0859,47.4258,2.35545,9.90451,-2.21543,1.29619,-0.919237,0.0854093,-0,-0,0.0704193,-28.3994,
Sun Feb 11 11:41:44 2018,9620440,976.274,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4984,3966,1190,0,8,30,-0.584185,-0.3304,-9.31823,0.122386,0.37035,0.0287341,28.8662,34.1672,47.4258,-3.58734,10.2072,-2.2506,1.26005,-0.990554,0.0834129,-0,-0,0.0704193,-27.7339,
Sun Feb 11 11:41:44 2018,9630441,975.57,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4984,3966,1190,0,8,30,-0.00957681,-0.555455,-9.13627,0.0862022,0.37035,-0.00851379,28.8662,34.1672,47.4258,-0.0600585,10.4936,-2.27889,1.20676,-1.07213,0.0814225,-0,-0,0.0704193,-27.0704,
Sun Feb 11 11:41:44 2018,9640442,975.57,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4996,3916,1180,2,8,32,-0.0526724,-0.723049,-11.0038,0.00744957,0.486351,0.052147,28.8662,34.1672,47.4258,-0.27426,10.7469,-2.29994,1.12166,-1.17828,0.0793807,-0,-0,0.0704193,-26.3898,
Sun Feb 11 11:41:44 2018,9650443,975.57,1513,1513,1378,1514,1940,1514,-0.0469513,0.0704193,1.24038,0,0.5,-1.19209e-07,4996,3916,1180,2,8,32,0.0047884,-0.713472,-10.9367,0.0042569,0.481029,-0.0223487,28.8662,34.1672,47.4258,0.0250857,11.0349,-2.31106,1.07281,-1.23826,0.0772337,-0,-0,0.0704193,-25.6742,
