today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.05, kiei(I)=0, kded(D)=0,signal, mad_pitch
Sun Feb 11 11:26:31 2018,8324828,981.001,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4138,1218,0,32,32,0.114922,-0.531513,-10.1514,-0.00744957,-0.00106422,0.00212845,27.1377,33.8203,47.093,0.648604,4.58397,0.156871,2.07157,2.22844,1.68583,-0,-0,0.0704193,-33.6462,
Sun Feb 11 11:26:31 2018,8334829,980.41,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4138,1218,0,32,32,0.205901,-0.0574608,-10.4531,-0.0415047,-0.00212845,0.00744957,27.1377,33.8203,47.093,1.12845,4.87076,0.172413,2.08192,2.25433,1.66301,-0,-0,0.0704193,-33.1897,
Sun Feb 11 11:26:31 2018,8344830,980.41,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,3974,1186,0,8,32,-0.0526724,-0.47884,-11.6646,0.0415047,0.111744,-0.0202203,27.1377,33.8203,47.093,-0.258723,5.12461,0.188481,2.05202,2.24051,1.63996,-0,-0,0.0704193,-32.7288,
Sun Feb 11 11:26:31 2018,8354831,980.41,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5000,3974,1186,0,8,32,0.100556,-0.694318,-11.7651,-0.0148991,0.0787526,-0.0361836,27.1377,33.8203,47.093,0.489696,5.42054,0.203512,2.05717,2.26068,1.61651,-0,-0,0.0704193,-32.2598,
Sun Feb 11 11:26:31 2018,8364832,980.41,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4010,1198,0,32,14,0.0526724,-0.23942,-8.98304,-0.133028,-0.0436332,-0.0340552,27.1377,33.8203,47.093,0.335953,5.74208,0.217494,2.07861,2.29611,1.59486,-0,-0,0.0704193,-31.8268,
Sun Feb 11 11:26:31 2018,8374833,980.488,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,4994,4010,1198,0,32,14,0.205901,-0.258574,-9.38527,0.127707,0.042569,0.00957802,27.1377,33.8203,47.093,1.2568,6.00387,0.231749,2.03323,2.26498,1.57261,-0,-0,0.0704193,-31.3817,
Sun Feb 11 11:26:31 2018,8384834,980.488,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,3998,1202,0,8,32,0.517148,-0.3304,-10.75,-0.00638535,0.00957802,0.0106422,27.1377,33.8203,47.093,2.7542,6.2998,0.249206,2.01668,2.26589,1.54926,-0,-0,0.0704193,-30.9149,
Sun Feb 11 11:26:31 2018,8394835,980.488,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,3998,1202,0,8,32,0.225055,-0.21069,-9.75398,-0.0468259,-0.0148991,0.00212845,27.1377,33.8203,47.093,1.32176,6.59329,0.271871,1.9916,2.26347,1.52672,-0,-0,0.0704193,-30.4641,
Sun Feb 11 11:26:31 2018,8404836,980.488,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4056,1202,0,32,12,0.0957681,-0.464475,-10.0892,0.0979086,0.0202203,0.0340552,27.1377,33.8203,47.093,0.543845,6.86971,0.297191,1.9448,2.24199,1.50368,-0,-0,0.0704193,-30.0033,
Sun Feb 11 11:26:31 2018,8414837,980.488,1513,1513,1088,1514,1940,1514,-0.0469513,0.0704193,0.9,0,0.5,-1.19209e-07,5008,4056,1202,0,32,12,-0.00957681,-0.373495,-10.2999,-0.0223487,0.0266056,0.0276698,27.1377,33.8203,47.093,-0.0532737,7.15436,0.321461,1.90251,2.22397,1.48035,-0,-0,0.0704193,-29.5367,
