today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0001,signal, mad_pitch, multiplier
Sun Feb 11 14:24:56 2018,8177954,0,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5028,4142,1218,0,8,32,0.588974,-0.23942,-10.2424,0.0127707,-0.0468259,0.00744957,25.2363,29.8313,47.5922,3.29109,0.299894,0.00310598,0.286868,0.289974,0,0,0,50.3838,0,2.55622e+33,
Sun Feb 11 14:24:56 2018,8187955,925.226,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4122,1214,0,8,30,0.536301,-0.258574,-10.319,0.00957802,-0.042569,0.00744957,25.2363,29.8313,47.5922,2.97511,0.585153,0.014956,0.534275,0.549231,0.0874167,0,22.0219,50.3838,-43.7083,50.3838,
Sun Feb 11 14:24:56 2018,8197957,925.226,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4122,1214,0,8,30,0.521936,-0.191536,-10.2999,0.00851379,-0.0457616,0.00532112,25.2363,29.8313,47.5922,2.90093,0.872547,0.0372018,0.760682,0.797884,0.0866122,-0,-0.202664,50.3838,-43.3061,50.3838,
Sun Feb 11 14:24:56 2018,8207958,925.226,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4990,4122,1214,0,8,30,0.565032,-0.272939,-10.3046,0.00744957,-0.0468259,0.00319267,25.2363,29.8313,47.5922,3.13854,1.15933,0.068662,0.964393,1.03306,0.0857759,-0,-0.210685,50.3838,-42.8879,50.3838,
Sun Feb 11 14:24:56 2018,8217959,925.226,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5020,4138,1216,0,34,14,0.608127,-0.172383,-10.2472,0.00744957,-0.0478901,0.0042569,25.2363,29.8313,47.5922,3.39628,1.44612,0.109057,1.14715,1.25621,0.0849745,-0,-0.201893,50.3838,-42.4872,50.3838,
Sun Feb 11 14:24:56 2018,8227960,925.226,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1214,0,8,30,0.545878,-0.215478,-10.3669,0.0042569,-0.0468259,0.00212845,25.2363,29.8313,47.5922,3.01418,1.73229,0.157824,1.30947,1.46729,0.0841715,-0,-0.202266,50.3838,-42.0858,50.3838,
Sun Feb 11 14:24:56 2018,8237961,924.166,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4992,4124,1214,0,8,30,0.54109,-0.201113,-10.2951,0.00532112,-0.0446974,0.00319267,25.2363,29.8313,47.5922,3.00859,2.01816,0.213585,1.45275,1.66633,0.0833672,-0,-0.202643,50.3838,-41.6836,50.3838,
Sun Feb 11 14:24:56 2018,8247962,924.166,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,32,12,0.656011,-0.205901,-10.3573,0.00638535,-0.0457616,0.00319267,25.2363,29.8313,47.5922,3.62416,2.30494,0.275744,1.57925,1.85499,0.0825564,-0,-0.204254,50.3838,-41.2782,50.3838,
Sun Feb 11 14:24:56 2018,8257963,924.166,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,32,12,0.608127,-0.244209,-10.1562,0.00957802,-0.0468259,0.00532112,25.2363,29.8313,47.5922,3.42664,2.59173,0.344494,1.68904,2.03353,0.0817467,-0,-0.203971,50.3838,-40.8733,50.3838,
Sun Feb 11 14:24:56 2018,8267964,924.166,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4996,4122,1212,0,32,32,0.555455,-0.229843,-10.2232,0.00532112,-0.0457616,0.0106422,25.2363,29.8313,47.5922,3.10997,2.8779,0.418924,1.78253,2.20146,0.080932,-0,-0.205228,50.3838,-40.466,50.3838,
