today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=5e-05, kiei(I)=0, kded(D)=0,signal, mad_pitch, multiplier
Sun Feb 11 14:04:12 2018,181588307,926.208,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5030,4138,1218,0,8,32,1.08697,-0.215478,-10.252,0.0042569,-0.0308625,0.00957802,20.5693,32.0859,49.7555,6.05219,3205.71,-50.0928,0.0423103,-50.0505,0.214508,0,0,50.5,-85.1498,50.3838,
Sun Feb 11 14:04:12 2018,181598308,927.346,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5030,4138,1218,0,8,32,1.11091,-0.234632,-10.3334,0.00638535,-0.0266056,0.0042569,20.5693,32.0859,49.7555,6.13613,3205.99,-49.8831,0.0413136,-49.8418,-0.108035,-0,-0,50.5,42.7862,50.5,
Sun Feb 11 14:04:12 2018,181608354,927.346,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4992,4124,1214,0,8,32,1.05824,-0.138864,-10.2807,0.0127707,-0.0255414,0.00851379,20.5693,32.0859,49.7555,5.87701,3206.28,-49.48,0.0412223,-49.4388,-0.107391,0,0,50.5,42.5313,50.5,
Sun Feb 11 14:04:12 2018,181618355,927.346,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4992,4124,1214,0,8,32,1.06303,-0.105345,-10.2663,0.0180918,-0.0223487,0.00744957,20.5693,32.0859,49.7555,5.91162,3206.56,-48.902,0.0404949,-48.8615,-0.106755,0,0,50.5,42.2793,50.5,
Sun Feb 11 14:04:12 2018,181628357,927.346,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5004,4134,1216,0,32,14,1.01035,-0.181959,-10.0748,0.0170276,-0.0148991,0.0042569,20.5693,32.0859,49.7555,5.72677,3206.85,-48.1663,0.0386998,-48.1276,-0.10612,0,0,50.5,42.0279,50.5,
Sun Feb 11 14:04:12 2018,181638358,927.346,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5004,4134,1216,0,32,14,0.938527,-0.148441,-10.228,0.019156,-0.0148991,0.0117065,20.5693,32.0859,49.7555,5.2428,3207.13,-47.2901,0.0386202,-47.2514,-0.1055,0,0,50.5,41.7821,50.5,
Sun Feb 11 14:04:12 2018,181648359,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,30,32,1.12049,-0.201113,-10.2089,0.0212845,-0.00638535,0.00744957,20.5693,32.0859,49.7555,6.2635,3207.42,-46.2885,0.0359601,-46.2525,-0.10486,0,0,50.5,41.5287,50.5,
Sun Feb 11 14:04:12 2018,181658360,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4994,4124,1214,0,30,32,1.09176,-0.172383,-10.319,0.019156,-0.00638535,0.00319267,20.5693,32.0859,49.7555,6.03946,3207.7,-45.1748,0.0358318,-45.139,-0.104225,0,0,50.5,41.2773,50.5,
Sun Feb 11 14:04:12 2018,181668361,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4984,4120,1212,0,30,12,1.05824,-0.201113,-10.2137,0.0127707,-0.00319267,0.00744957,20.5693,32.0859,49.7555,5.91531,3207.99,-43.9624,0.0350908,-43.9273,-0.103585,0,0,50.5,41.0238,50.5,
Sun Feb 11 14:04:12 2018,181678362,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4984,4120,1212,0,30,12,1.1157,-0.244209,-10.1562,0.0117065,0.00744957,0.00319267,20.5693,32.0859,49.7555,6.26903,3208.27,-42.6643,0.0318389,-42.6324,-0.102937,0,0,50.5,40.767,50.5,
Sun Feb 11 14:04:12 2018,181688363,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4994,4122,1216,0,8,32,1.12527,-0.172383,-10.161,0.0117065,0.00532112,0.00638535,20.5693,32.0859,49.7555,6.31945,3208.56,-41.292,0.0324053,-41.2596,-0.102289,0,0,50.5,40.5104,50.5,
Sun Feb 11 14:04:12 2018,181698364,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4994,4122,1216,0,8,32,1.12049,-0.186748,-10.2759,0.0117065,0.00744957,0.00744957,20.5693,32.0859,49.7555,6.22296,3208.85,-39.8568,0.0315805,-39.8252,-0.101633,0,0,50.5,40.2506,50.5,
Sun Feb 11 14:04:12 2018,181708365,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4986,4118,1216,0,8,32,1.07739,-0.196325,-10.3765,0.0148991,0.0117065,0.00532112,20.5693,32.0859,49.7555,5.9278,3209.13,-38.3697,0.0302183,-38.3395,-0.100979,0,0,50.5,39.9917,50.5,
Sun Feb 11 14:04:12 2018,181718366,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4986,4118,1216,0,8,32,1.01035,-0.220267,-10.2568,0.0159634,0.0127707,0.0106422,20.5693,32.0859,49.7555,5.62584,3209.42,-36.8419,0.0295903,-36.8123,-0.100322,0,0,50.5,39.7313,50.5,
Sun Feb 11 14:04:12 2018,181728367,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,8,30,1.07739,-0.167594,-10.2185,0.0127707,0.0138349,0.0138349,20.5693,32.0859,49.7555,6.01879,3209.7,-35.2828,0.0289039,-35.2539,-0.0996473,0,0,50.5,39.4643,50.5,
Sun Feb 11 14:04:12 2018,181738368,926.859,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5002,4138,1216,0,8,30,1.15879,-0.201113,-10.2424,0.0180918,0.0138349,0.0138349,20.5693,32.0859,49.7555,6.45483,3209.99,-33.7004,0.0284108,-33.672,-0.0989591,0,0,50.5,39.1917,50.5,
Sun Feb 11 14:04:12 2018,181748369,925.921,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5004,4132,1212,0,32,30,1.18274,-0.253785,-10.3717,0.0138349,0.0180918,0.00851379,20.5693,32.0859,49.7555,6.50563,3210.28,-32.1012,0.0266317,-32.0745,-0.0982747,0,0,50.5,38.9207,50.5,
Sun Feb 11 14:04:12 2018,181758370,925.921,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,5004,4132,1212,0,32,30,1.13964,-0.244209,-10.3525,0.0180918,0.0106422,0.0117065,20.5693,32.0859,49.7555,6.28202,3210.56,-30.4924,0.0283213,-30.464,-0.0975913,0,0,50.5,38.65,50.5,
Sun Feb 11 14:04:12 2018,181768371,925.921,1513,1514,1088,1514,1940,1514,-0.0469513,50.5,0.9,0,0.5,-1.19209e-07,4956,4122,1212,0,32,30,1.14922,-0.177171,-10.2663,0.0159634,0.0127707,0.0106422,20.5693,32.0859,49.7555,6.38712,3210.85,-28.8812,0.0270748,-28.8541,-0.0968908,0,0,50.5,38.3726,50.5,
