today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=1e-07, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:34:12 2018,11343167,0,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5034,4140,1218,0,32,12,-1.50356,-0.306458,-10.094,-0.019156,0.337359,0.042569,32.4961,30.1781,42.2672,-8.47228,0.189833,-0.00799576,0.181587,0.173592,0,0,0,50.3838,0,2.4941e+33,
Sun Feb 11 14:34:12 2018,11353168,920.108,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5034,4140,1218,0,32,12,-1.37427,0.0814029,-10.0987,-0.00957802,0.348001,0.0351194,32.4961,30.1781,42.2672,-7.74941,0.473263,-0.0385869,0.43659,0.398003,0.060287,7.59373e-07,1.80861,50.3838,-30.1435,50.3838,
Sun Feb 11 14:34:12 2018,11363170,920.108,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4134,1216,0,8,32,-1.35512,0.215478,-10.0556,-0.0138349,0.355451,0.0383121,32.4961,30.1781,42.2672,-7.67506,0.757608,-0.0962989,0.669148,0.572849,0.059447,-1.05817e-08,-0.0252025,50.3838,-29.7235,50.3838,
Sun Feb 11 14:34:12 2018,11373171,920.108,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4134,1216,0,8,32,-1.49877,0.0335188,-10.3238,0.00212845,0.367157,0.0404405,32.4961,30.1781,42.2672,-8.26029,1.04073,-0.178339,0.87825,0.699911,0.0584504,-1.25521e-08,-0.0298956,50.3838,-29.2252,50.3838,
Sun Feb 11 14:34:12 2018,11383172,920.108,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4140,1218,0,8,32,-1.403,0.0670376,-10.2568,0.00212845,0.376735,0.0212845,32.4961,30.1781,42.2672,-7.78904,1.32447,-0.282919,1.06685,0.78393,0.0575099,-1.18473e-08,-0.0282169,50.3838,-28.7549,50.3838,
Sun Feb 11 14:34:12 2018,11393173,920.108,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5006,4140,1218,0,8,32,-1.32639,0.0574608,-10.094,0.0106422,0.375671,0.0170276,32.4961,30.1781,42.2672,-7.48602,1.61125,-0.407106,1.23831,0.831204,0.0565653,-1.18972e-08,-0.0283358,50.3838,-28.2827,50.3838,
Sun Feb 11 14:34:12 2018,11403174,920.855,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,32,12,-1.38864,0.0335188,-10.4052,0.0106422,0.389506,0.0180918,32.4961,30.1781,42.2672,-7.60156,1.89377,-0.547858,1.38644,0.838585,0.055614,-1.19829e-08,-0.0285398,50.3838,-27.807,50.3838,
Sun Feb 11 14:34:12 2018,11413175,920.855,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5004,4138,1218,0,32,12,-1.42694,-0.148441,-10.4483,0.00638535,0.393763,0.0106422,32.4961,30.1781,42.2672,-7.77689,2.17903,-0.703332,1.51938,0.816044,0.0546546,-1.20852e-08,-0.0287835,50.3838,-27.3273,50.3838,
Sun Feb 11 14:34:12 2018,11423176,920.855,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1214,0,8,32,-1.26893,-0.148441,-10.2903,-0.00319267,0.39802,0.0138349,32.4961,30.1781,42.2672,-7.02984,2.46429,-0.871427,1.63528,0.763852,0.0537105,-1.18916e-08,-0.0283224,50.3838,-26.8552,50.3838,
Sun Feb 11 14:34:12 2018,11433177,920.855,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,4992,4122,1214,0,8,32,-1.00556,0.0335188,-10.3046,0.0042569,0.396956,0.00532112,32.4961,30.1781,42.2672,-5.57349,2.75107,-1.04781,1.73661,0.688801,0.0527631,-1.19334e-08,-0.0284221,50.3838,-26.3815,50.3838,
Sun Feb 11 14:34:12 2018,11443178,921.055,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,12,-1.05824,0.0335188,-10.2615,0.0170276,0.39802,0.00106422,32.4961,30.1781,42.2672,-5.8879,3.03725,-1.22797,1.8222,0.594233,0.0517898,-1.22591e-08,-0.0291978,50.3838,-25.8949,50.3838,
Sun Feb 11 14:34:12 2018,11453179,921.055,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1216,0,32,12,-1.14443,-0.110133,-10.1323,0.00851379,0.396956,0.00957802,32.4961,30.1781,42.2672,-6.44419,3.32403,-1.41063,1.89422,0.483586,0.050821,-1.22032e-08,-0.0290647,50.3838,-25.4105,50.3838,
Sun Feb 11 14:34:12 2018,11463180,921.055,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,32,14,-0.981623,0.00957681,-10.2472,0,0.400148,0.019156,32.4961,30.1781,42.2672,-5.47192,3.60959,-1.59533,1.9518,0.356466,0.0498721,-1.19519e-08,-0.0284662,50.3838,-24.9361,50.3838,
Sun Feb 11 14:34:12 2018,11473181,921.055,1512,1513,1088,1514,1940,1514,-0.0939026,50.3838,0.9,0,0.5,-1.19209e-07,5000,4138,1218,0,32,14,-0.943315,-0.158017,-10.1323,-0.00212845,0.393763,0.0244772,32.4961,30.1781,42.2672,-5.31892,3.8979,-1.77974,1.99974,0.219999,0.0489243,-1.19392e-08,-0.0284358,50.3838,-24.4621,50.3838,
