today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=6e-05,signal, mad_pitch, multiplier
Sun Feb 11 14:26:36 2018,7985683,923.297,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4994,4124,1212,0,8,32,0.732626,-0.244209,-10.252,0.0404405,0.094716,0.0244772,25.582,30.1781,46.5938,4.08752,4.27005,1.04233,2.03621,3.07854,0.0736397,-0,-0.141463,50.3838,-36.8198,50.3838,
Sun Feb 11 14:26:36 2018,7995684,923.297,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4138,1218,0,32,32,0.751779,-0.167594,-10.252,0.0340552,0.0925875,0.0266056,22.9893,31.0453,50.0883,4.19401,4.55714,1.15644,2.05807,3.21451,0.0726993,-0,-0.142139,50.3838,-36.3497,50.3838,
Sun Feb 11 14:26:36 2018,8005685,921.003,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5036,4138,1218,0,32,32,0.646434,-0.167594,-10.2711,0.0287341,0.101101,0.0319267,22.9893,31.0453,50.0883,3.60128,4.84118,1.27165,2.0674,3.33905,0.0717512,-0,-0.143304,50.3838,-35.8756,50.3838,
Sun Feb 11 14:26:36 2018,8015686,921.003,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4142,1216,0,32,14,0.78051,-0.287304,-10.4244,0.0234129,0.100037,0.0372479,22.9893,31.0453,50.0883,4.28196,5.12797,1.38708,2.07075,3.45782,0.0707959,-0,-0.144394,50.3838,-35.398,50.3838,
Sun Feb 11 14:26:36 2018,8025687,921.003,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5004,4142,1216,0,32,14,0.737414,-0.320823,-10.2951,0.0234129,0.100037,0.0393763,22.9893,31.0453,50.0883,4.09698,5.41445,1.5028,2.0657,3.5685,0.0698335,-0,-0.145468,50.3838,-34.9168,50.3838,
Sun Feb 11 14:26:36 2018,8035688,921.003,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4128,1214,0,32,14,0.651223,-0.282516,-10.3621,0.00851379,0.0968444,0.0436332,22.9893,31.0453,50.0883,3.59612,5.70184,1.61818,2.05416,3.67235,0.0688686,-0,-0.145847,50.3838,-34.4343,50.3838,
Sun Feb 11 14:26:36 2018,8045689,923.045,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,4982,4128,1214,0,32,14,0.68953,-0.167594,-10.4196,0.00532112,0.0893948,0.0436332,22.9893,31.0453,50.0883,3.78612,5.99045,1.73188,2.03702,3.7689,0.067913,-0,-0.144448,50.3838,-33.9565,50.3838,
Sun Feb 11 14:26:36 2018,8055690,923.045,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5034,4140,1218,0,8,32,0.794875,-0.191536,-10.319,0.00319267,0.0872664,0.0361836,22.9893,31.0453,50.0883,4.40481,6.27754,1.84408,2.01218,3.85626,0.066957,-0,-0.1445,50.3838,-33.4785,50.3838,
Sun Feb 11 14:26:36 2018,8065691,923.045,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5034,4140,1218,0,8,32,0.847547,-0.0909797,-10.3046,0.00106422,0.080881,0.0383121,22.9893,31.0453,50.0883,4.70194,6.56585,1.9561,1.98303,3.93913,0.066003,-0,-0.144191,50.3838,-33.0015,50.3838,
Sun Feb 11 14:26:36 2018,8075692,923.045,1513,1513,1088,1514,1940,1514,-0.0469513,50.3838,0.9,0,0.5,-1.19209e-07,5038,4142,1218,0,32,14,0.833182,-0.229843,-10.2807,0.00106422,0.0691746,0.0446974,22.9893,31.0453,50.0883,4.63332,6.85568,2.06862,1.95032,4.01894,0.0650553,-0,-0.143247,50.3838,-32.5277,50.3838,
