today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=0, kded(D)=0.0006,signal, mad_pitch, multiplier
Sun Feb 11 14:21:18 2018,9155082,0,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,5030,4138,1216,0,8,32,-0.100556,-0.21069,-10.2711,0.0148991,-0.0351194,0.00532112,28.002,30.525,44.9297,-0.56092,0.29654,-0.000529371,0.28366,0.28313,0,0,0,50.5,0,2.53974e+33,
Sun Feb 11 14:21:18 2018,9165083,926.399,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,5030,4138,1216,0,8,32,-0.0622492,-0.124498,-10.1754,0.0138349,-0.0351194,0.00319267,28.002,30.525,44.9297,-0.350511,0.583019,-0.0024013,0.532519,0.530117,0.104901,0,158.925,50.5,-52.4505,50.5,
Sun Feb 11 14:21:18 2018,9175085,926.399,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4994,4122,1214,0,32,32,-0.0622492,-0.0909797,-10.343,0.0180918,-0.0383121,0.00638535,28.002,30.525,44.9297,-0.344832,0.870413,-0.00562148,0.759093,0.753472,0.103855,-0,-1.58518,50.5,-51.9273,50.5,
Sun Feb 11 14:21:18 2018,9185086,926.399,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4994,4122,1214,0,32,32,-0.0861913,-0.114922,-10.3334,0.0148991,-0.0393763,0.00744957,28.002,30.525,44.9297,-0.477897,1.1572,-0.00997946,0.962964,0.952984,0.102798,-0,-1.60086,50.5,-51.399,50.5,
Sun Feb 11 14:21:18 2018,9195087,926.399,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4992,4122,1214,0,32,14,-0.0766145,-0.138864,-10.2903,0.019156,-0.0446974,0.00957802,28.002,30.525,44.9297,-0.426578,1.4452,-0.0155595,1.14704,1.13148,0.101798,-0,-1.51445,50.5,-50.8992,50.5,
Sun Feb 11 14:21:18 2018,9205088,926.399,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4992,4122,1214,0,32,14,-0.124498,-0.172383,-10.3238,0.0127707,-0.0415047,0.00851379,28.002,30.525,44.9297,-0.690918,1.73077,-0.0225148,1.30881,1.2863,0.100804,-0,-1.50667,50.5,-50.4019,50.5,
Sun Feb 11 14:21:18 2018,9215089,927.954,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4994,4128,1218,0,8,30,-0.0861913,-0.153229,-10.3094,0.0180918,-0.0415047,0.0127707,28.002,30.525,44.9297,-0.479006,2.01724,-0.0309528,1.45277,1.42181,0.0998084,-0,-1.5081,50.5,-49.9042,50.5,
Sun Feb 11 14:21:18 2018,9225090,927.954,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4994,4128,1218,0,8,30,-0.158017,-0.0574608,-10.3621,0.0117065,-0.0468259,0.0159634,28.002,30.525,44.9297,-0.873667,2.30525,-0.0409376,1.58046,1.53953,0.0988181,-0,-1.50039,50.5,-49.409,50.5,
Sun Feb 11 14:21:18 2018,9235091,927.954,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4992,4124,1216,0,8,30,-0.153229,-0.21069,-10.4435,0.0148991,-0.0457616,0.0148991,28.002,30.525,44.9297,-0.840594,2.59142,-0.0528137,1.68959,1.63678,0.0978335,-0,-1.49167,50.5,-48.9167,50.5,
Sun Feb 11 14:21:18 2018,9245092,927.954,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4992,4124,1216,0,8,30,-0.124498,-0.191536,-10.386,0.00957802,-0.0489543,0.0170276,26.792,31.3922,46.7602,-0.686777,2.87882,-0.0665405,1.78424,1.7177,0.0968526,-0,-1.48602,50.5,-48.4263,50.5,
Sun Feb 11 14:21:18 2018,9255093,928.197,1513,1514,1244,1514,1940,1514,-0.0469513,50.5,1.0831,0,0.5,-1.19209e-07,4996,4122,1216,0,8,30,-0.181959,-0.186748,-10.3908,-0.00532112,-0.0436332,0.00957802,26.792,31.3922,46.7602,-1.00323,3.16377,-0.081886,1.86177,1.77988,0.0958686,-0,-1.4907,50.5,-47.9343,50.5,
