today,microseconds_since_start,msl,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2]
Fri Jun 29 19:32:54 2018,175389709,955.315918,-0.359130263,1.71903682,-6.64151525,-0.228808224,0.001064224,0.292661667,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175399710,955.315918,-2.58094931,-0.703895271,-7.71890593,0.150055617,0.143670276,0.276698321,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175409711,955.498413,4.01268196,-1.89141929,-9.4570961,-0.290533215,0.026605606,-0.159633636,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175419712,955.498413,-1.73340201,-2.57616091,-10.970232,0.087266393,-0.125578463,-0.355450898,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175429718,955.498413,-1.24977326,-0.876277804,-10.3621044,0.363964707,-0.005321121,-0.144734502,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175439720,955.498413,-3.24174905,1.31202257,-11.1569796,0.258606493,-0.088330612,0.210716411,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175449724,956.567139,2.7581203,1.9393034,-11.9518547,-0.657690585,0.073431477,0.162826315,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175459726,956.567139,2.30322194,2.9161377,-1.58017313,-0.178789675,0.211780638,-0.034055177,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175469729,956.567139,1.07739079,-1.00077629,-12.7658834,0.053211212,0.252221167,-0.138349161,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175479734,956.567139,-2.16435838,-1.38384855,-4.78361511,0.481029361,-0.176661223,-0.064917684,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175489742,956.567139,-2.82994628,-2.01591778,-11.8560867,0.44910264,-0.15856941,-0.058532335,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175499746,954.655579,2.03507137,3.09330845,-10.3477392,-0.076624148,0.005321121,-0.086202167,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175509752,954.655579,4.49631071,3.45722723,-7.56088877,-0.384184957,0.349065572,0.044697419,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175519759,954.655579,3.60566759,2.64319873,-0.70868367,0.093651734,0.276698321,0.170275882,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175529763,954.655579,3.28484464,-1.02950668,-1.13006318,0.651305258,-0.061725009,0.163890541,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175539807,954.655579,2.50912333,-2.84909987,-11.5783596,0.212844849,-0.46932292,-0.130899593,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175549817,956.79303,3.34230542,0.114921682,-12.7419415,0.358643591,-0.124514237,-0.26499185,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175560031,956.79303,2.32716393,0.732625723,-8.65264511,-0.102165528,0.450166881,-0.134092256,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175570037,956.79303,0.550666392,2.16435838,-8.76756668,-0.293725908,0.251156926,0.14792718,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175580041,956.79303,0.823605359,-0.33518824,-4.5202527,0.048954316,0.276698321,0.222422868,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175590047,956.79303,3.39976645,-1.90099609,-6.59841967,-0.09471596,-0.233065113,-0.065981902,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175600050,956.202209,3.23217225,-1.43652105,-22.9460297,-0.111743547,-0.127706915,-0.289469004,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175610061,956.202209,-2.13083959,-0.009576807,-5.02782345,0.06917458,-0.159633636,-0.13302803,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175620062,956.202209,0.268150598,1.08696759,-8.80108547,0.067046128,0.162826315,0.174532786,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175630067,956.202209,1.90099609,-0.411802679,-6.05733013,-0.134092256,0.134092256,0.090459064,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175640073,956.202209,5.69341135,-1.56101954,-9.23682976,-0.109615102,0.256478041,-0.251156926,13.4472656,53.2382812,-24.8015633
Fri Jun 29 19:32:54 2018,175650076,956.202209,2.38462496,1.20188928,-17.458519,-0.022348709,-0.028734056,-0.213909075,13.4472656,53.2382812,-24.8015633
