today,microseconds_since_start,msl,T_Baro,rc0,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,rc6_scaled,rc7_scaled,roll_desired,,roll_cmd,roll_error,roll_error_rate,roll_error_sum,pitch_desired,,pitch_cmd,pitch_error,pitch_error_rate,pitch_error_sum,yaw_rate_desired,yaw_mpu_madgwick,yaw_cmd,yaw_rate_error,yaw_rate_error_rate,yaw_rate_error_sum,a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],m1cmd,m2cmd,m3cmd,m4cmd,throttle,time_gps,lat,lng,msl_gps,horz_accuracy,vert_accuracy,status_gps,prescribed_input1,prescribed_input2,prescribed_input3,prescribed_input4,prescribed_input_index,rpm
Fri Jun 29 20:29:52 2018,40460210,693.341553,29.5804081,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-303.771515,-14629.7998,0,,16.959734,0,0,0,0,,-5.03907967,0,0,0,0,176.511307,0.26234898,0,0,0,-0.201112941,0.713472068,-9.6629982,-0.003192673,-0.036183626,0,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40470215,693.341553,29.5804081,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-267.470612,-14593.5488,0,,16.9448013,0,0,0,0,,-5.08793736,0,0,0,0,176.515854,0.263283789,0,0,0,-0.177170917,0.766144514,-9.63905621,0.001064224,-0.037247852,-0.001064224,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40480301,693.341553,29.5804081,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-412.492218,-14513.8125,0,,16.9296055,0,0,0,0,,-5.13831711,0,0,0,0,176.530457,0.262432724,0,0,0,-0.272938997,0.737414122,-9.58638382,0.001064224,-0.02979828,0,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40490303,693.341553,29.5804081,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-427.106415,-14397.8193,0,,16.9131813,0,0,0,0,,-5.18718433,0,0,0,0,176.549591,0.260686576,0,0,0,-0.282515794,0.622492433,-9.50976944,0.006385345,-0.032990951,0.002128449,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40500304,693.341553,29.5804081,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-383.541504,-14354.3184,0,,16.8986073,0,0,0,0,,-5.23660755,0,0,0,0,176.573578,0.261706322,0,0,0,-0.253785372,0.689530075,-9.48103905,-0.003192673,-0.034055177,0.001064224,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40510324,693.341553,29.5804081,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-282.070465,-14600.7988,0,,16.8810635,0,0,0,0,,-5.28608513,0,0,0,0,176.604752,0.264587283,0,0,0,-0.18674773,0.665588081,-9.6438446,0.003192673,-0.036183626,-0.002128449,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40520326,693.428406,29.6165257,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-426.981934,-14441.3174,0,,16.8647289,0,0,0,0,,-5.33662367,0,0,0,0,176.640228,0.264742374,0,0,0,-0.282515794,0.746990919,-9.53849983,-0.001064224,-0.032990951,-0.002128449,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40530328,693.428406,29.6165257,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-339.981415,-14455.8105,0,,16.8463745,0,0,0,0,,-5.38640928,0,0,0,0,176.683212,0.262185603,0,0,0,-0.22505495,0.751779318,-9.54807663,0.003192673,-0.036183626,0.001064224,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40540329,693.428406,29.6165257,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-434.293793,-14535.5635,0,,16.8279324,0,0,0,0,,-5.43682384,0,0,0,0,176.73317,0.262403995,0,0,0,-0.287304193,0.684741676,-9.60074902,0.004256897,-0.035119399,0.001064224,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
Fri Jun 29 20:29:52 2018,40550331,693.428406,29.6165257,1513,1510,1088,1510,1088,1940,1514,1514,-0.046951294,-0.187797546,1.00000012,-0.469482422,-0.500000119,0.5,-310.992432,-14506.5557,0,,16.8098469,0,0,0,0,,-5.48736763,0,0,0,0,176.787201,0.262640178,0,0,0,-0.20590134,0.74220252,-9.58159542,0.001064224,-0.034055177,0.001064224,59.8851585,34.2890625,18.7312508,0.699999988,1.95000005,1.95000005,0.699999988,0,0,0,0,10000,0,0,0,0.100000001,0.100000001,0.100000001,0.100000001,0,30
