today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0015, kiei(I)=5e-06, kded(D)=0.0009,signal, mad_pitch, multiplier
Thu Sep 26 21:39:06 2019,35048980,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5538,1230,0,30,28,-0.244209,-0.215478,-9.36133,0.0127707,-0.0287341,0.00851379,-21.5531,35.3215,33.0146,-1.49433,712.777,-0.689805,0.00650119,-0.683304,0.000709011,8.99135e-10,0.00323688,-0.140839,-0.613513,0,
Thu Sep 26 21:39:06 2019,35058981,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5536,1226,0,28,28,-0.21069,-0.339977,-9.57681,0.0117065,-0.0361836,0.00532112,-21.5531,35.3215,33.0146,-1.2603,713.066,-0.721782,0.00806428,-0.713718,0.000768566,9.9258e-10,0.00357329,-0.140839,-0.653216,0,
Thu Sep 26 21:39:06 2019,35068982,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5536,1226,0,28,28,-0.186748,-0.258574,-9.52413,0.00957802,-0.0308625,0.00957802,-21.5531,35.3215,33.0146,-1.1233,713.351,-0.753166,0.00598509,-0.747181,0.00082998,1.02357e-09,0.00368485,-0.140839,-0.694159,0,
Thu Sep 26 21:39:06 2019,35078983,941.674,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5528,1228,0,28,28,-0.268151,-0.306458,-9.59596,0.00638535,-0.0351194,0.0127707,-21.5531,35.3215,33.0146,-1.60066,713.639,-0.78386,0.00674555,-0.777114,0.000879433,8.24212e-10,0.00296716,-0.140839,-0.727127,0,
Thu Sep 26 21:39:06 2019,35088984,941.387,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5528,1228,0,28,28,-0.272939,-0.287304,-9.48583,0.00638535,-0.0383121,0.0127707,-21.5531,35.3215,33.0146,-1.64814,713.926,-0.814623,0.00704971,-0.807573,0.000940971,1.02563e-09,0.00369228,-0.140839,-0.768152,0,
Thu Sep 26 21:39:06 2019,35098985,941.387,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5540,1230,0,28,28,-0.287304,-0.220267,-9.73961,0.00851379,-0.0404405,0.0180918,-21.5531,35.3215,33.0146,-1.68965,714.213,-0.845913,0.00705726,-0.838856,0.00100283,1.03092e-09,0.00371133,-0.140839,-0.809389,0,
Thu Sep 26 21:39:06 2019,35108986,941.387,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5540,1230,0,28,28,-0.215478,-0.316035,-9.7875,0.0042569,-0.0361836,0.0117065,-21.5531,35.3215,33.0146,-1.2612,714.499,-0.877285,0.00526752,-0.872018,0.00106758,1.07923e-09,0.00388522,-0.140839,-0.852558,0,
Thu Sep 26 21:39:06 2019,35118987,941.387,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5532,1230,0,28,28,-0.301669,-0.205901,-9.69173,0.00744957,-0.0319267,0.0106422,-21.5531,35.3215,33.0146,-1.78284,714.784,-0.908337,0.00360998,-0.904727,0.00112518,9.59925e-10,0.00345573,-0.140839,-0.890955,0,
Thu Sep 26 21:39:06 2019,35128988,939.432,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5384,5532,1230,0,28,28,-0.282516,-0.253785,-9.59117,0.0127707,-0.0308625,0.00957802,-21.5531,35.3215,33.0146,-1.68721,715.07,-0.939469,0.00293418,-0.936535,0.001192,1.1137e-09,0.00400933,-0.140839,-0.935504,0,
Thu Sep 26 21:39:06 2019,35138989,939.432,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5554,1234,0,30,28,-0.296881,-0.244209,-9.61511,0.0117065,-0.0297983,0.00638535,-21.5531,35.3215,33.0146,-1.76853,715.356,-0.970945,0.00230472,-0.968641,0.00124907,9.51168e-10,0.0034242,-0.140839,-0.97355,0,
Thu Sep 26 21:39:06 2019,35148990,939.432,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5410,5554,1234,0,30,28,-0.248997,-0.320823,-9.61511,0.0127707,-0.0212845,0.00319267,-21.5531,35.3215,33.0146,-1.48342,715.64,-1.00241,-0.000294094,-1.00271,0.00130036,8.54793e-10,0.00307726,-0.140839,-1.00774,0,
Thu Sep 26 21:39:06 2019,35158991,939.432,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5536,1230,0,30,28,-0.201113,-0.292093,-9.55765,0.00957802,-0.0202203,0.00957802,-21.5531,35.3215,33.0146,-1.20545,715.927,-1.03303,-0.000595752,-1.03362,0.00133595,5.9323e-10,0.00213563,-0.140839,-1.03147,0,
Thu Sep 26 21:39:06 2019,35168992,939.432,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5536,1230,0,30,28,-0.201113,-0.325611,-9.61033,0.0127707,-0.0159634,0.00851379,-21.5531,35.3215,33.0146,-1.19884,716.212,-1.06195,-0.00184609,-1.06379,0.00136887,5.48634e-10,0.00197508,-0.140839,-1.05342,0,
Thu Sep 26 21:39:06 2019,35178993,939.432,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5528,1228,0,28,28,-0.162806,-0.292093,-9.55287,0.00851379,-0.0148991,0.0148991,-21.5531,35.3215,33.0146,-0.976376,716.498,-1.08872,-0.00200664,-1.09073,0.00139267,3.96734e-10,0.00142824,-0.140839,-1.06929,0,
Thu Sep 26 21:39:06 2019,35188994,938.911,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5528,1228,0,28,28,-0.311246,-0.23942,-9.42837,0.00957802,-0.00957802,0.0159634,-21.5531,35.3215,33.0146,-1.89075,716.783,-1.11387,-0.00336667,-1.11724,0.00141597,3.88345e-10,0.00139804,-0.140839,-1.08482,0,
Thu Sep 26 21:39:06 2019,35198995,938.911,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5546,1232,0,30,26,-0.277727,-0.186748,-9.35175,0.00532112,-0.00212845,0.0170276,-21.5531,35.3215,33.0146,-1.70107,717.067,-1.13877,-0.00514772,-1.14392,0.00144518,4.86755e-10,0.00175232,-0.140839,-1.10429,0,
Thu Sep 26 21:39:06 2019,35208996,938.911,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5382,5546,1232,0,30,26,-0.263362,-0.335188,-9.65342,0.00744957,-0.00106422,0.0117065,-21.5531,35.3215,33.0146,-1.56274,717.354,-1.16373,-0.00504901,-1.16878,0.00147319,4.66943e-10,0.00168099,-0.140839,-1.12297,0,
Thu Sep 26 21:39:06 2019,35218997,938.911,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5394,5534,1230,0,30,28,-0.320823,-0.220267,-9.70609,0,0.00319267,0.0117065,-21.5531,35.3215,33.0146,-1.89315,717.639,-1.18851,-0.00579411,-1.19431,0.00150351,5.05269e-10,0.00181897,-0.140839,-1.14318,0,
Thu Sep 26 21:39:06 2019,35228998,940.423,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5394,5534,1230,0,30,28,-0.42138,-0.253785,-9.65821,0.0117065,0.00532112,0.0138349,-21.5531,35.3215,33.0146,-2.49818,717.925,-1.21411,-0.00584367,-1.21995,0.00153679,5.54746e-10,0.00199709,-0.140839,-1.16537,0,
Thu Sep 26 21:39:06 2019,35238999,940.423,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5522,1228,0,28,28,-0.397437,-0.253785,-9.54808,0.0180918,0.0117065,0.00532112,-21.5531,35.3215,33.0146,-2.38356,718.209,-1.2417,-0.00708766,-1.24879,0.00156969,5.48279e-10,0.00197381,-0.140839,-1.1873,0,
Thu Sep 26 21:39:06 2019,35249000,940.423,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5388,5522,1228,0,28,28,-0.3304,-0.344765,-9.62469,0.0159634,0.0117065,0.00851379,-21.5531,35.3215,33.0146,-1.9661,718.496,-1.27097,-0.00642916,-1.2774,0.0016015,5.30067e-10,0.00190824,-0.140839,-1.2085,0,
Thu Sep 26 21:39:06 2019,35259001,940.423,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5406,5534,1232,0,8,12,-0.282516,-0.287304,-9.43794,0.0159634,0.00744957,0.0159634,-21.5531,35.3215,33.0146,-1.71458,718.784,-1.30053,-0.00464268,-1.30518,0.00162105,3.25856e-10,0.00117308,-0.140839,-1.22154,0,
Thu Sep 26 21:39:06 2019,35269002,940.423,1513,1517,1088,1513,1088,1940,-0.0469513,-0.140839,0.9,-0.281677,-0.5,0.5,5406,5534,1232,0,8,12,-0.220267,-0.282516,-9.57681,0.00532112,0.0159634,0.0127707,-21.5531,35.3215,33.0146,-1.31757,719.068,-1.32901,-0.0064695,-1.33548,0.00163484,2.29904e-10,0.000827655,-0.140839,-1.23073,0,
