today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.002, kiei(I)=5e-06, kded(D)=0.001,signal, mad_pitch, multiplier
Thu Sep 26 21:40:49 2019,9311605,0,1512,1517,1088,1512,1088,1514,-0.0939026,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5394,5550,1232,0,30,28,-2.60968,-0.344765,-8.18338,0.0383121,2.41047,0.0297983,43.8188,35.1422,15.2109,-17.6875,-0.40407,-0.0166927,-0.386519,-0.403211,5.08328e+30,6.3541e+25,2.54164e+32,2.54164e+33,0,0,
Thu Sep 26 21:40:49 2019,9321606,938.755,1512,1517,1088,1512,1088,1514,-0.0939026,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5394,5550,1232,0,30,28,-2.47082,-0.426168,-8.08761,0.019156,2.37961,0.0308625,43.8188,35.1422,15.2109,-16.9883,-0.108749,-0.0813218,-0.0697189,-0.151041,0.0166672,-6.3541e+25,-2.54164e+32,-0.140839,-8.47446,0,
Thu Sep 26 21:40:49 2019,9331608,938.755,1512,1517,1088,1512,1088,1514,-0.0939026,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5396,5524,1232,0,28,30,-2.32716,-0.172383,-8.37013,0.00957802,2.34874,0.042569,43.8188,35.1422,15.2109,-15.5376,0.186572,-0.203573,0.220422,0.0168482,0.0153282,-1.67378e-08,-0.0669512,-0.140839,-7.80495,0,
Thu Sep 26 21:40:49 2019,9341609,938.755,1512,1517,1088,1512,1088,1514,-0.0939026,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5396,5524,1232,0,28,30,-2.1452,-0.186748,-8.37492,0.00106422,2.30937,0.0276698,43.8188,35.1422,15.2109,-14.3672,0.484331,-0.373587,0.487406,0.113819,0.0131936,-2.66823e-08,-0.106729,-0.140839,-6.73766,0,
Thu Sep 26 21:40:49 2019,9351610,938.755,1512,1517,1088,1512,1088,1940,-0.0939026,-0.140839,0.9,-0.563385,-0.5,0.5,5384,5528,1228,0,28,28,-1.82917,-0.114922,-8.74362,0.00957802,2.27638,0.00212845,-11.4,34.7836,33.8789,-11.8159,0.780262,-0.580675,0.728112,0.147437,0.0112288,-2.45603e-08,-0.0982412,-0.140839,-5.75525,0,
Thu Sep 26 21:40:49 2019,9361611,938.755,1512,1517,1088,1512,1088,1940,-0.0939026,-0.140839,0.9,-0.563385,-0.5,0.5,5384,5528,1228,0,28,28,-1.47483,-0.110133,-9.22725,0.00106422,2.25828,-0.0117065,-11.4,34.7836,33.8789,-9.08101,1.07192,-0.812404,0.94153,0.129126,0.00895331,-2.84438e-08,-0.113775,-0.140839,-4.61749,0,
Thu Sep 26 21:40:49 2019,9371612,939.302,1512,1517,1088,1512,1088,1940,-0.0939026,-0.140839,0.9,-0.563385,-0.5,0.5,5380,5546,1234,0,30,28,-1.01035,-0.0526724,-9.10275,0.0138349,2.22742,-0.0287341,-11.4,34.7836,33.8789,-6.33358,1.36724,-1.05564,1.13676,0.0811143,0.00665272,-2.87574e-08,-0.11503,-0.140839,-3.4672,0,
Thu Sep 26 21:40:49 2019,9381613,939.302,1512,1517,1088,1512,1088,1940,-0.0939026,-0.140839,0.9,-0.563385,-0.5,0.5,5380,5546,1234,0,30,28,-0.746991,-0.0335188,-9.52413,0.032991,2.21359,-0.032991,-11.4,34.7836,33.8789,-4.48461,1.65769,-1.29898,1.30643,0.00745296,0.00431948,-2.91654e-08,-0.116662,-0.140839,-2.30058,0,
Thu Sep 26 21:40:49 2019,9391614,939.302,1512,1517,1088,1512,1088,1940,-0.0939026,-0.140839,0.9,-0.563385,-0.5,0.5,5384,5524,1226,0,30,28,-0.277727,-0.153229,-9.29908,0.0585323,2.18592,-0.0308625,-11.4,34.7836,33.8789,-1.7107,1.95209,-1.53279,1.46055,-0.0722421,0.00199157,-2.90989e-08,-0.116396,-0.140839,-1.13662,0,
Thu Sep 26 21:40:49 2019,9401615,939.302,1512,1517,1088,1512,1088,1940,-0.0939026,-0.140839,0.9,-0.563385,-0.5,0.5,5384,5524,1226,0,30,28,0.0622492,-0.282516,-9.39485,0.0585323,2.16995,-0.0106422,-11.4,34.7836,33.8789,0.37963,2.24314,-1.74805,1.59285,-0.155203,-0.000360045,-2.93952e-08,-0.117581,-0.140839,0.0391839,0,
