today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.00095, kiei(I)=0, kded(D)=0.0004,signal, mad_pitch, multiplier
Thu Sep 26 22:17:09 2019,10590754,0,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5396,5528,1230,0,26,10,-2.66235,0.186748,-9.14106,-0.0340552,2.19017,0.0223487,27.4313,34.7836,28.6934,-16.2383,-0.34096,-0.015325,-0.32615,-0.341475,2.46574e+30,0,1.03821e+32,2.59551e+33,0,0,
Thu Sep 26 22:17:09 2019,10600755,925.678,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5390,5526,1226,0,28,10,-2.70545,0.201113,-9.27993,0.0383121,2.1806,0.0127707,27.4313,34.7836,28.6934,-16.2534,-0.0517369,-0.075279,-0.0205413,-0.0958202,0.00771812,-0,-1.03821e+32,-0.093895,-8.21824,0,
Thu Sep 26 22:17:09 2019,10610757,925.678,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5390,5526,1226,0,28,10,-2.27928,0.0861913,-9.63427,0.0542754,2.16144,-0.00957802,27.4313,34.7836,28.6934,-13.3103,0.24023,-0.188419,0.261798,0.0733795,0.00725418,-0,-0.0195346,-0.093895,-7.72987,0,
Thu Sep 26 22:17:09 2019,10620758,925.678,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1228,0,8,30,-1.99676,-0.0335188,-9.51456,0.0862022,2.14654,-0.0223487,27.4313,34.7836,28.6934,-11.8523,0.530978,-0.342881,0.517989,0.175108,0.00654296,-0,-0.0299462,-0.093895,-6.98122,0,
Thu Sep 26 22:17:09 2019,10630759,925.678,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1228,0,8,30,-1.74777,-0.0957681,-9.25598,0.0798168,2.121,-0.0117065,27.4313,34.7836,28.6934,-10.693,0.824774,-0.527947,0.753369,0.225422,0.005885,-0,-0.0277034,-0.093895,-6.28863,0,
Thu Sep 26 22:17:09 2019,10640760,925.678,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5528,1228,0,28,10,-1.72861,-0.229843,-9.25598,0.101101,2.09971,0.00744957,27.4313,34.7836,28.6934,-10.5785,1.11735,-0.736644,0.964735,0.228091,0.00523658,-0,-0.0273018,-0.093895,-5.60609,0,
Thu Sep 26 22:17:09 2019,10650761,925.339,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5528,1228,0,28,10,-1.69509,-0.349553,-9.06445,0.0468259,2.07524,0.0202203,27.4313,34.7836,28.6934,-10.5922,1.41084,-0.96488,1.15537,0.190492,0.00460267,-0,-0.0266913,-0.093895,-4.93881,0,
Thu Sep 26 22:17:09 2019,10660762,925.339,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5388,5546,1226,0,8,30,-1.72861,-0.181959,-9.13627,0.0361836,2.05502,0.0436332,27.4313,34.7836,28.6934,-10.7139,1.70311,-1.21017,1.32428,0.114114,0.00398115,-0,-0.0261691,-0.093895,-4.28458,0,
Thu Sep 26 22:17:09 2019,10670763,925.339,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5388,5546,1226,0,8,30,-1.70946,-0.0191536,-8.8346,0.00744957,2.03373,0.0468259,27.4313,34.7836,28.6934,-10.9512,1.99569,-1.47059,1.47413,0.00353384,0.00337801,-0,-0.0253952,-0.093895,-3.6497,0,
Thu Sep 26 22:17:09 2019,10680764,925.339,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5380,5532,1226,0,30,10,-1.58975,0.0430956,-9.0022,0.0276698,2.00393,0.0383121,27.4313,34.7836,28.6934,-10.0149,2.29071,-1.74357,1.60801,-0.135562,0.00279281,-0,-0.02464,-0.093895,-3.0337,0,
Thu Sep 26 22:17:09 2019,10690765,925.721,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5380,5532,1226,0,30,10,-1.72383,-0.138864,-9.05966,0.0287341,1.97626,0.0308625,27.4313,34.7836,28.6934,-10.7732,2.58511,-2.02617,1.72385,-0.302315,0.00222645,-0,-0.0238467,-0.093895,-2.43753,0,
Thu Sep 26 22:17:09 2019,10700766,925.721,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5538,1228,0,30,10,-1.74777,-0.363919,-9.39485,0.0276698,1.9454,0.00851379,27.4313,34.7836,28.6934,-10.5385,2.88043,-2.31684,1.82423,-0.492613,0.00167764,-0,-0.0231078,-0.093895,-1.85984,0,
Thu Sep 26 22:17:09 2019,10710767,925.721,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5538,1228,0,30,10,-1.73819,-0.335188,-9.8258,-0.0117065,1.90815,-0.00638535,27.4313,34.7836,28.6934,-10.0319,3.17758,-2.61358,1.91093,-0.702655,0.00114308,-0,-0.0225081,-0.093895,-1.29713,0,
Thu Sep 26 22:17:09 2019,10720768,925.721,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5404,5546,1230,0,8,14,-1.53229,-0.0430956,-9.41879,0.0159634,1.87303,0.00212845,27.4313,34.7836,28.6934,-9.24018,3.47412,-2.91285,1.98247,-0.93038,0.000628682,-0,-0.0216587,-0.093895,-0.755665,0,
Thu Sep 26 22:17:09 2019,10730769,925.721,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5404,5546,1230,0,8,14,-1.14922,-0.158017,-9.84975,0.0148991,1.83898,-0.00319267,27.4313,34.7836,28.6934,-6.65489,3.77036,-3.20887,2.04015,-1.16872,0.000137136,-0,-0.0206967,-0.093895,-0.238249,0,
Thu Sep 26 22:17:09 2019,10740770,925.721,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5528,1230,0,28,12,-0.842759,-0.0814029,-9.79228,0.0308625,1.79109,-0.00532112,-16.5656,36.3973,33.0146,-4.91896,4.07056,-3.49355,2.08902,-1.40453,-0.000336404,-0,-0.0199385,-0.093895,0.260215,0,
