today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.00095, kiei(I)=0, kded(D)=0.00045,signal, mad_pitch, multiplier
Thu Sep 26 22:13:43 2019,7535753,0,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5394,5540,1230,0,30,10,-9.29429,1.01035,3.62003,0.0840737,2.91172,0.0234129,50.9438,33.3492,-32.8418,-111.281,-0.547667,-0.105022,-0.523879,-0.628901,2.38204e+30,0,1.12834e+32,2.50741e+33,0,0,
Thu Sep 26 22:13:43 2019,7545754,927.442,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5394,5540,1230,0,30,10,-9.53371,-0.186748,3.52905,0.205395,3.00643,0.0212845,50.9438,33.3492,-32.8418,-110.313,-0.288322,-0.514873,-0.2293,-0.744173,0.00696955,-0,-1.12834e+32,-0.140839,-7.47721,0,
Thu Sep 26 22:13:43 2019,7555756,927.442,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5378,5536,1228,0,28,28,-9.89284,-0.6608,3.304,0.153248,3.12882,-0.00212845,50.9438,33.3492,-32.8418,-108.468,-0.0369041,-1.30356,0.0335272,-1.27003,0.00592705,-0,-0.0493815,-0.140839,-6.37984,0,
Thu Sep 26 22:13:43 2019,7565757,927.442,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5378,5536,1228,0,28,28,-9.40442,-0.292093,3.52905,0.118129,3.23524,0.00106422,50.9438,33.3492,-32.8418,-110.569,0.219087,-2.43349,0.278267,-2.15522,0.00426589,-0,-0.0786867,-0.140839,-4.63125,0,
Thu Sep 26 22:13:43 2019,7575758,927.442,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5382,5524,1226,0,28,10,-9.1267,-0.54109,2.34632,0.0574681,3.27036,0.0297983,51.3,32.9906,-2.07422,-104.418,0.495505,-3.86782,0.520697,-3.34712,0.00261687,-0,-0.0781112,-0.140839,-2.89544,0,
Thu Sep 26 22:13:43 2019,7585759,927.442,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5382,5524,1226,0,28,10,-10.0892,-1.10612,2.90656,-0.0478901,3.3257,0.0287341,51.3,32.9906,-2.07422,-106.071,0.766131,-5.5672,0.735018,-4.83218,0.000940586,-0,-0.0794031,-0.140839,-1.13093,0,
Thu Sep 26 22:13:43 2019,7595760,927.52,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5380,5536,1234,0,28,10,-10.1849,-0.148441,2.97839,-0.152184,3.42787,0.0223487,51.3,32.9906,-2.07422,-106.301,1.02334,-7.50022,0.915519,-6.5847,-0.000741221,-0,-0.0796646,-0.140839,0.639394,0,
Thu Sep 26 22:13:43 2019,7605761,927.52,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5380,5536,1234,0,28,10,-9.414,1.06303,1.97761,0.0223487,3.46405,0.00212845,51.3,32.9906,-2.07422,-101.864,1.29946,-9.63754,1.0953,-8.54224,-0.00247644,-0,-0.0821948,-0.140839,2.46594,0,
Thu Sep 26 22:13:43 2019,7615762,927.52,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5378,5540,1232,0,28,28,-9.73961,-0.301669,1.45567,0.094716,3.45128,0.0276698,51.3,32.9906,-2.07422,-98.5005,1.58959,-11.9424,1.26909,-10.6733,-0.00423849,-0,-0.0834652,-0.140839,4.32073,0,
Thu Sep 26 22:13:43 2019,7625763,927.52,1513,1517,1088,1512,1088,1514,-0.0469513,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5378,5540,1232,0,28,28,-10.8697,-1.49877,1.7334,-0.0212845,3.47469,0.0478901,51.3,32.9906,-2.07422,-99.0608,1.86936,-14.3818,1.41341,-12.9684,-0.00600512,-0,-0.0836825,-0.140839,6.18034,0,
