today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.001, kiei(I)=0, kded(D)=0.00045,signal, mad_pitch, multiplier
Thu Sep 26 22:05:36 2019,5774112,0,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5404,5546,1232,0,28,28,1.35512,-0.124498,10.0796,0.0106422,-0.0170276,0.0148991,16.3875,34.425,-65.6836,172.343,0.291357,0.16265,0.278702,0.441352,2.58537e+30,0,1.16342e+32,2.58537e+33,0,0,
Thu Sep 26 22:05:36 2019,5784113,929.822,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5404,5546,1232,0,28,28,1.32639,-0.138864,10.0509,0.0117065,-0.0170276,0.00851379,16.3875,34.425,-65.6836,172.482,0.577836,0.798943,0.528001,1.32694,-0.038592,-0,-1.16342e+32,-0.140839,38.4512,0,
Thu Sep 26 22:05:36 2019,5794115,929.822,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5384,5532,1228,0,28,28,1.41737,-0.138864,10.1275,0.0106422,-0.0159634,0.0138349,16.3875,34.425,-65.6836,172.033,0.864011,2.02872,0.753829,2.78254,-0.0386621,-0,-0.00315222,-0.140839,38.5213,0,
Thu Sep 26 22:05:36 2019,5804116,929.822,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5384,5532,1228,0,28,28,1.42694,-0.0909797,10.0173,0.0042569,-0.0127707,0.00851379,16.3875,34.425,-65.6836,171.893,1.14958,3.79604,0.957036,4.75308,-0.0387862,-0,-0.005585,-0.140839,38.6454,0,
Thu Sep 26 22:05:36 2019,5814117,929.822,1513,1517,1634,1513,1088,1514,-0.0469513,-0.140839,1.54084,-0.281677,-0.5,-1.19209e-07,5382,5522,1226,0,28,30,1.40779,-0.11971,9.94073,0.00957802,-0.00957802,0.00319267,16.2094,33.8871,-65.5107,171.94,1.43514,6.04792,1.13936,7.18728,-0.0389043,-0,-0.00531223,-0.140839,38.7634,0,
Thu Sep 26 22:05:36 2019,5824118,929.822,1513,1517,1634,1513,1088,1514,-0.0469513,-0.140839,1.54084,-0.281677,-0.5,-1.19209e-07,5382,5522,1226,0,28,30,1.43652,-0.124498,10.0892,0.0106422,-0.0117065,0.0042569,16.2094,33.8871,-65.5107,171.897,1.72223,8.73458,1.30335,10.0379,-0.0390229,-0,-0.00534107,-0.140839,38.8821,0,
Thu Sep 26 22:05:36 2019,5834119,930.022,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5380,5534,1226,0,28,30,1.39343,-0.124498,9.96467,0.0117065,-0.0138349,0.00638535,16.2094,33.8871,-65.5107,172.04,2.00932,11.809,1.44848,13.2575,-0.0391432,-0,-0.00540956,-0.140839,39.0023,0,
Thu Sep 26 22:05:36 2019,5844120,930.022,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5380,5534,1226,0,28,30,1.37427,-0.0909797,10.0892,0.0159634,-0.0117065,0.00638535,16.2094,33.8871,-65.5107,172.243,2.29519,15.2272,1.57464,16.8018,-0.0392633,-0,-0.00540768,-0.140839,39.1225,0,
Thu Sep 26 22:05:36 2019,5854121,930.022,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5384,5538,1230,0,28,28,1.35512,-0.177171,10.1035,0.0117065,-0.00638535,0.00744957,16.2094,33.8871,-65.5107,172.361,2.58014,18.9475,1.68327,20.6307,-0.0393843,-0,-0.00544287,-0.140839,39.2434,0,
Thu Sep 26 22:05:36 2019,5864122,930.022,1513,1517,1633,1513,1088,1514,-0.0469513,-0.140839,1.53967,-0.281677,-0.5,-1.19209e-07,5384,5538,1230,0,28,28,1.42694,-0.158017,10.0796,0.0148991,-0.00957802,0.019156,16.2094,33.8871,-65.5107,171.942,2.86754,22.9302,1.77864,24.7089,-0.0395069,-0,-0.0055172,-0.140839,39.366,0,
