today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0008, kiei(I)=0, kded(D)=0.0005,signal, mad_pitch, multiplier
Thu Sep 26 22:11:07 2019,7547193,0,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5400,5546,1232,0,26,28,2.03986,-0.196325,-9.34217,-0.00532112,-0.140478,-0.00744957,-30.2813,32.632,24.8906,12.3172,0.326723,0.0116244,0.312532,0.324156,1.97551e+30,0,1.23469e+32,2.46938e+33,0,0,
Thu Sep 26 22:11:07 2019,7557194,929.761,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5400,5546,1232,0,26,28,2.05901,-0.148441,-9.48104,-0.0106422,-0.14367,-0.00957802,-30.2813,32.632,24.8906,12.2528,0.614117,0.0570295,0.559703,0.616732,0.0449236,-0,-1.23469e+32,-0.093895,-56.2484,0,
Thu Sep 26 22:11:07 2019,7567197,929.761,1511,1516,1088,1513,1088,1514,-0.140846,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5374,5514,1228,0,30,26,1.89621,-0.110133,-9.48583,-0.0148991,-0.150056,-0.00106422,-30.2813,32.632,24.8906,11.3044,0.902425,0.143781,0.784631,0.928411,0.0446619,-0,-0.0163591,-0.093895,-55.9212,0,
Thu Sep 26 22:11:07 2019,7577198,929.761,1511,1516,1088,1513,1088,1514,-0.140846,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5374,5514,1228,0,30,26,2.00634,-0.158017,-9.48583,-0.00638535,-0.150056,-0.00212845,-28.5,33.7078,27.6562,11.9426,1.1889,0.266789,0.985732,1.25252,0.0444921,-0,-0.0106089,-0.093895,-55.7091,0,
Thu Sep 26 22:11:07 2019,7587199,929.761,1511,1516,1088,1513,1088,1514,-0.140846,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5400,5526,1230,0,6,14,1.92494,-0.129287,-9.60075,-0.00532112,-0.156441,0.0042569,-28.5,33.7078,27.6562,11.3374,1.47721,0.422246,1.16777,1.59002,0.0443254,-0,-0.0104181,-0.093895,-55.5007,0,
Thu Sep 26 22:11:07 2019,7597200,929.761,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5400,5526,1230,0,6,14,1.9824,-0.134075,-9.48583,0,-0.161762,0.0170276,-28.5,33.7078,27.6562,11.8041,1.76522,0.606709,1.32964,1.93635,0.0441552,-0,-0.0106407,-0.093895,-55.2879,0,
Thu Sep 26 22:11:07 2019,7607201,928.623,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5388,5526,1230,0,28,28,1.89142,-0.0909797,-9.46188,0.00851379,-0.167083,0.0202203,-28.5,33.7078,27.6562,11.3044,2.05322,0.816853,1.47273,2.28959,0.0439795,-0,-0.0109791,-0.093895,-55.0683,0,
Thu Sep 26 22:11:07 2019,7617202,928.623,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5388,5526,1230,0,28,28,1.89621,-0.138864,-9.36133,0.019156,-0.17134,0.0308625,-28.5,33.7078,27.6562,11.4508,2.34092,1.04934,1.59782,2.64716,0.0437969,-0,-0.0114115,-0.093895,-54.8401,0,
Thu Sep 26 22:11:07 2019,7627203,928.623,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5380,5526,1226,0,26,30,1.8148,-0.0670376,-9.40921,0.019156,-0.172404,0.032991,-28.5,33.7078,27.6562,10.9169,2.6277,1.30069,1.70536,3.00605,0.0436146,-0,-0.0113943,-0.093895,-54.6122,0,
Thu Sep 26 22:11:07 2019,7637204,928.623,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5526,1226,0,26,30,1.67594,-0.0814029,-9.48104,0.0223487,-0.177725,0.0297983,-28.5,33.7078,27.6562,10.0245,2.91571,1.56665,1.7985,3.36515,0.0434261,-0,-0.011783,-0.093895,-54.3765,0,
Thu Sep 26 22:11:07 2019,7647205,927.72,1512,1517,1088,1512,1088,1514,-0.0939026,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5394,5532,1230,0,28,28,1.7765,-0.0766145,-9.31823,0.0244772,-0.185175,0.032991,-28.5,33.7078,27.6562,10.7938,3.20432,1.8435,1.87751,3.72101,0.0432018,-0,-0.0140173,-0.140839,-54.1431,0,
Thu Sep 26 22:11:07 2019,7657206,927.72,1511,1516,1088,1512,1088,1514,-0.140846,-0.093895,0.9,-0.563385,-0.5,-1.19209e-07,5394,5532,1230,0,28,28,1.75256,-0.11971,-9.3326,0.019156,-0.185175,0.0276698,-28.5,33.7078,27.6562,10.6356,3.4908,2.12973,1.94068,4.07041,0.043012,-0,-0.0118664,-0.140839,-53.9058,0,
Thu Sep 26 22:11:07 2019,7667207,927.72,1511,1516,1088,1512,1088,1514,-0.140846,-0.093895,0.9,-0.563385,-0.5,-1.19209e-07,5384,5540,1232,0,28,28,1.70467,-0.0909797,-9.30866,0.0212845,-0.190496,0.0148991,-28.5,33.7078,27.6562,10.3775,3.7788,2.42366,1.99262,4.41627,0.0428604,-0,-0.00947361,-0.093895,-53.6694,0,
Thu Sep 26 22:11:07 2019,7677208,927.72,1511,1517,1088,1512,1088,1514,-0.140846,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5384,5540,1232,0,28,28,1.74298,-0.129287,-9.33739,0.0180918,-0.196881,0.0159634,-28.5,33.7078,27.6562,10.5735,4.06711,2.72306,2.03291,4.75596,0.0426736,-0,-0.0116758,-0.093895,-53.4359,0,
Thu Sep 26 22:11:07 2019,7687209,927.72,1511,1517,1088,1512,1088,1514,-0.140846,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5382,5536,1230,0,28,26,1.70946,-0.205901,-9.34217,0.0170276,-0.201138,0.00957802,-28.5,33.7078,27.6562,10.3695,4.35481,3.02627,2.06151,5.08779,0.0424504,-0,-0.0139496,-0.140839,-53.2038,0,
Thu Sep 26 22:11:07 2019,7697210,927.72,1511,1517,1088,1512,1088,1514,-0.140846,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5382,5536,1230,0,28,26,1.74777,-0.0957681,-9.4954,0.0127707,-0.202203,-0.00106422,-28.5,33.7078,27.6562,10.4294,4.64159,3.33169,2.07903,5.41072,0.042267,-0,-0.0114611,-0.140839,-52.9746,0,
Thu Sep 26 22:11:07 2019,7707211,929.379,1512,1516,1088,1512,1088,1514,-0.0939026,-0.093895,0.9,-0.563385,-0.5,-1.19209e-07,5402,5536,1232,0,28,28,1.65679,-0.0766145,-9.59596,0.0223487,-0.19901,0.0106422,-28.5,33.7078,27.6562,9.79582,4.92716,3.63729,2.08605,5.72334,0.0420852,-0,-0.0113609,-0.140839,-52.7474,0,
Thu Sep 26 22:11:07 2019,7717212,929.379,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5402,5536,1232,0,28,28,1.69988,-0.105345,-9.48583,0.0297983,-0.203267,0.0117065,-28.5,33.7078,27.6562,10.1597,5.21486,3.94111,2.08664,6.02775,0.0419375,-0,-0.00923347,-0.093895,-52.5158,0,
Thu Sep 26 22:11:07 2019,7727213,929.379,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5536,1232,0,28,28,1.79565,-0.148441,-9.60554,0.0319267,-0.20646,0.00957802,-28.5,33.7078,27.6562,10.5886,5.50225,4.24265,2.079,6.32165,0.0417472,-0,-0.0118944,-0.093895,-52.2779,0,
Thu Sep 26 22:11:07 2019,7737214,929.379,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5536,1232,0,28,28,1.84832,-0.177171,-9.59117,0.0351194,-0.210716,0.0159634,-28.5,33.7078,27.6562,10.9078,5.78995,4.54241,2.06446,6.60688,0.0415572,-0,-0.0118759,-0.093895,-52.0404,0,
Thu Sep 26 22:11:07 2019,7747215,927.641,1511,1516,1088,1513,1088,1514,-0.140846,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5390,5522,1226,0,28,28,1.77171,-0.244209,-9.60554,0.0297983,-0.213909,0.0180918,-28.5,33.7078,27.6562,10.4506,6.07734,4.84,2.04308,6.88307,0.0413638,-0,-0.0120863,-0.093895,-51.7986,0,
Thu Sep 26 22:11:07 2019,7757216,927.641,1511,1516,1088,1513,1088,1514,-0.140846,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5390,5522,1226,0,28,28,1.71904,-0.234632,-9.76355,0.0212845,-0.210716,0.0180918,-28.5,33.7078,27.6562,9.98554,6.36291,5.13347,2.01404,7.14751,0.0411712,-0,-0.0120394,-0.093895,-51.5578,0,
Thu Sep 26 22:11:07 2019,7767217,927.641,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5526,1228,0,28,28,1.72861,-0.23942,-9.52892,0.0223487,-0.21923,0.0266056,-28.5,33.7078,27.6562,10.2821,6.65182,5.42103,1.98308,7.40411,0.0409758,-0,-0.0122082,-0.093895,-51.3137,0,
Thu Sep 26 22:11:07 2019,7777218,927.641,1512,1517,1088,1512,1088,1514,-0.0939026,-0.140839,0.9,-0.563385,-0.5,-1.19209e-07,5382,5526,1228,0,28,28,1.67594,-0.220267,-9.55765,0.0234129,-0.221359,0.0340552,-28.5,33.7078,27.6562,9.94575,6.93891,5.70191,1.94551,7.64742,0.0407389,-0,-0.01481,-0.140839,-51.0644,0,
