today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0015, kiei(I)=2e-07, kded(D)=0.0006,signal, mad_pitch, multiplier
Thu Sep 26 10:59:15 2019,8208497,0,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5392,5532,1240,0,28,28,2.11647,-0.383072,-9.44752,0.0308625,0.380992,0.00212845,-26.7188,34.425,28.3477,12.6272,0.177333,0.011917,0.16963,0.181547,3.74876e+30,2.49917e+24,1.4995e+32,-0.140839,0,0,
Thu Sep 26 10:59:15 2019,8218498,1138.87,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5378,5532,1238,0,6,28,2.22661,-0.234632,-9.48104,0.0212845,0.382057,-0.00106422,-26.7188,34.425,28.3477,13.2163,0.463507,0.0590831,0.428318,0.487402,0.0445235,-2.49917e+24,-1.4995e+32,-0.140839,-29.8232,0,
Thu Sep 26 10:59:15 2019,8228502,1138.87,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5378,5532,1238,0,6,28,2.37026,-0.196325,-9.39006,0.0212845,0.374607,-0,-26.7188,34.425,28.3477,14.1668,0.75212,0.152251,0.665739,0.817989,0.0438535,-4.46617e-10,-0.026797,-0.140839,-29.3765,0,
Thu Sep 26 10:59:15 2019,8238503,1138.87,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5390,5546,1234,0,8,28,2.26491,-0.349553,-9.42837,0.0255414,0.371414,-0,-26.7188,34.425,28.3477,13.5079,1.03951,0.288887,0.879303,1.16819,0.0429431,-6.06943e-10,-0.0364166,-0.140839,-28.7696,0,
Thu Sep 26 10:59:15 2019,8248504,1138.87,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5390,5546,1234,0,8,28,2.25055,-0.296881,-9.39006,0.0148991,0.3629,-0.0042569,-26.7188,34.425,28.3477,13.4781,1.32843,0.464407,1.07286,1.53726,0.0420846,-5.72357e-10,-0.0343414,-0.140839,-28.1972,0,
Thu Sep 26 10:59:15 2019,8258505,1138.87,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5378,5524,1234,0,6,28,2.30322,-0.354342,-9.47625,0.00106422,0.357579,0.00212845,-26.7188,34.425,28.3477,13.661,1.61644,0.674339,1.24504,1.91937,0.0412319,-5.68457e-10,-0.0341074,-0.140839,-27.6288,0,
Thu Sep 26 10:59:15 2019,8268506,1137.22,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5378,5524,1234,0,6,28,2.23618,-0.263362,-9.52413,-0.0106422,0.343744,0.0148991,-26.7188,34.425,28.3477,13.2132,1.90688,0.914859,1.40022,2.31508,0.0403836,-5.65552e-10,-0.0339331,-0.140839,-27.0632,0,
Thu Sep 26 10:59:15 2019,8278507,1137.22,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5528,1234,0,6,28,2.0638,-0.191536,-9.59117,-0.00638535,0.334166,0.0223487,-26.7188,34.425,28.3477,12.1436,2.1961,1.18078,1.53576,2.71654,0.039537,-5.64377e-10,-0.0338626,-0.140839,-26.4989,0,
Thu Sep 26 10:59:15 2019,8288508,1137.22,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5528,1234,0,6,28,2.03986,-0.162806,-9.50977,-0.0042569,0.32246,0.0255414,-26.7188,34.425,28.3477,12.1066,2.48593,1.46646,1.65456,3.12102,0.0387031,-5.5595e-10,-0.033357,-0.140839,-25.9429,0,
Thu Sep 26 10:59:15 2019,8298509,1137.22,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5374,5546,1238,0,28,12,1.97761,-0.071826,-9.61511,0.0117065,0.303304,0.0276698,-26.7188,34.425,28.3477,11.6224,2.7779,1.76761,1.75907,3.52668,0.0378794,-5.4916e-10,-0.0329496,-0.140839,-25.3937,0,
Thu Sep 26 10:59:15 2019,8308510,1138.5,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5374,5546,1238,0,28,12,1.91536,-0.100556,-9.63906,0.0234129,0.290533,0.0244772,-26.7188,34.425,28.3477,11.2388,3.06804,2.08046,1.84631,3.92677,0.0370657,-5.4246e-10,-0.0325476,-0.140839,-24.8513,0,
Thu Sep 26 10:59:15 2019,8318511,1138.5,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5538,1234,0,28,28,1.85311,-0.320823,-9.63427,0.0148991,0.271377,0.0170276,-26.7188,34.425,28.3477,10.8876,3.36001,2.40133,1.92091,4.32224,0.0362764,-5.26196e-10,-0.0315717,-0.140839,-24.3251,0,
Thu Sep 26 10:59:15 2019,8328512,1138.5,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5538,1234,0,28,28,1.83396,-0.268151,-9.4954,0.0159634,0.257542,0.0138349,-26.7188,34.425,28.3477,10.9316,3.65045,2.72734,1.98046,4.7078,0.0355135,-5.0861e-10,-0.0305166,-0.140839,-23.8165,0,
Thu Sep 26 10:59:15 2019,8338513,1138.5,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5532,1234,0,8,30,1.92015,-0.186748,-9.64384,0.019156,0.240515,0.00319267,-30.8156,35.6801,27.1377,11.2607,3.94181,3.05688,2.02835,5.08523,0.0347645,-4.99319e-10,-0.0299591,-0.140839,-23.3172,0,
