today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.001, kiei(I)=5e-06, kded(D)=0.00045,signal, mad_pitch, multiplier
Thu Sep 26 22:03:30 2019,29868801,930.543,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5370,5538,1230,0,28,28,0.756568,-0.402226,-9.5385,0.0223487,0,0.0138349,-25.65,35.8594,29.3848,4.53505,592.15,5.92634,-0.00555386,5.92079,-0.00527851,-1.05976e-09,-0.00190757,-0.093895,5.18462,0,
Thu Sep 26 22:03:30 2019,29878802,929.918,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5532,1226,0,28,30,0.866701,-0.325611,-9.60554,0.0202203,0.00319267,0.0180918,-25.65,35.8594,29.3848,5.1558,592.436,5.91749,-0.00600638,5.91149,-0.00381419,3.66081e-08,0.0658946,-0.093895,3.72029,0,
Thu Sep 26 22:03:30 2019,29888804,929.918,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5532,1226,0,28,30,0.914585,-0.296881,-9.57681,0.0202203,0.0127707,0.0127707,-25.65,35.8594,29.3848,5.45521,592.72,5.90622,-0.00816779,5.89805,-0.00383014,-3.9897e-10,-0.000718145,-0.093895,3.73625,0,
Thu Sep 26 22:03:30 2019,29898805,929.918,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5528,1230,0,28,28,0.871489,-0.344765,-9.49062,0.0042569,0.0117065,0.0159634,-25.65,35.8594,29.3848,5.24656,593.007,5.89372,-0.007185,5.88654,-0.00386467,-8.63248e-10,-0.00155385,-0.093895,3.77078,0,
Thu Sep 26 22:03:30 2019,29908806,952.162,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5528,1230,0,28,28,0.852336,-0.287304,-9.56244,0.00744957,0.0170276,0.0148991,-25.65,35.8594,29.3848,5.09353,593.292,5.8799,-0.00802863,5.87187,-0.00389929,-8.6543e-10,-0.00155777,-0.093895,3.8054,0,
Thu Sep 26 22:03:30 2019,29918807,952.162,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5534,1228,0,30,28,0.943315,-0.349553,-9.55287,0.00638535,0.0244772,0.0138349,-25.65,35.8594,29.3848,5.6395,593.576,5.86494,-0.00931957,5.85562,-0.00393699,-9.42427e-10,-0.00169637,-0.093895,3.84309,0,
Thu Sep 26 22:03:30 2019,29928808,952.162,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5384,5534,1228,0,30,28,0.895431,-0.339977,-9.4954,0.00638535,0.0297983,0.0138349,-25.65,35.8594,29.3848,5.38715,593.861,5.84964,-0.0099163,5.83973,-0.00397748,-1.01236e-09,-0.00182225,-0.093895,3.88359,0,
Thu Sep 26 22:03:30 2019,29938809,952.162,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5540,1234,0,8,14,0.957681,-0.258574,-9.65821,0.00957802,0.0340552,0.0117065,-25.65,35.8594,29.3848,5.66278,594.146,5.8344,-0.0101197,5.82428,-0.0040217,-1.1053e-09,-0.00198953,-0.093895,3.9278,0,
Thu Sep 26 22:03:30 2019,29948810,952.162,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5540,1234,0,8,14,0.924162,-0.306458,-9.663,0.0042569,0.0351194,0.0159634,-25.65,35.8594,29.3848,5.46311,594.432,5.81936,-0.00941314,5.80995,-0.00406983,-1.20335e-09,-0.00216602,-0.093895,3.97593,0,
Thu Sep 26 22:03:30 2019,29958811,952.162,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5540,1234,0,8,14,0.957681,-0.268151,-9.70609,0.0138349,0.0351194,0.019156,-25.65,35.8594,29.3848,5.63502,594.719,5.8046,-0.00842591,5.79618,-0.00411757,-1.19356e-09,-0.00214841,-0.093895,4.02368,0,
