today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0025, kiei(I)=0, kded(D)=0.00085,signal, mad_pitch, multiplier
Thu Sep 26 21:56:11 2019,6947494,935.296,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1230,0,28,28,0.723049,-0.335188,-9.48104,0.0351194,-0.229872,-0.0308625,-20.6625,36.218,32.1504,4.36109,4.36304,0.0597733,2.08598,2.14575,0.0836955,-0,-0.0218385,-0.140839,-33.619,0,
Thu Sep 26 21:56:11 2019,6957495,935.296,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1230,0,28,28,0.651223,-0.387861,-9.35654,0.0180918,-0.240515,-0.0212845,-20.6625,36.218,32.1504,3.98142,4.65257,0.0949876,2.10436,2.19935,0.0830768,-0,-0.0210379,-0.140839,-33.3715,0,
Thu Sep 26 21:56:11 2019,6967496,935.574,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5538,1230,0,26,30,0.804452,-0.253785,-9.49062,-0.00319267,-0.261799,-0.0159634,-20.6625,36.218,32.1504,4.84498,4.94515,0.143054,2.11616,2.25921,0.0824835,-0,-0.0201719,-0.140839,-33.1342,0,
Thu Sep 26 21:56:11 2019,6977497,935.574,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5538,1230,0,26,30,0.938527,-0.234632,-9.56723,0.00957802,-0.279891,0.0170276,-20.6625,36.218,32.1504,5.60268,5.23681,0.204685,2.11809,2.32277,0.0818989,-0,-0.0198739,-0.140839,-32.9004,0,
Thu Sep 26 21:56:11 2019,6987498,935.574,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5388,5538,1230,0,26,30,0.703895,-0.306458,-9.83059,0.0106422,-0.311818,0.0489543,-20.6625,36.218,32.1504,4.09554,5.53243,0.279319,2.11565,2.39497,0.0813074,-0,-0.0201109,-0.140839,-32.6638,0,
Thu Sep 26 21:56:11 2019,6997499,935.574,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5372,5522,1226,0,28,28,0.474052,-0.287304,-9.75398,-0.0117065,-0.326717,0.0659819,-20.6625,36.218,32.1504,2.78244,5.82318,0.3622,2.10076,2.46296,0.080742,-0,-0.0192241,-0.140839,-32.4376,0,
Thu Sep 26 21:56:11 2019,7007500,932.95,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5372,5522,1226,0,28,28,0.474052,-0.335188,-9.83059,-0.0138349,-0.351194,0.104294,-20.6625,36.218,32.1504,2.76079,6.11667,0.448393,2.08184,2.53023,0.0802226,-0,-0.0176609,-0.140839,-32.2299,0,
Thu Sep 26 21:56:11 2019,7017501,932.95,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1230,0,28,28,0.263362,-0.277727,-10.1514,-0.0415047,-0.378864,0.102166,-20.6625,36.218,32.1504,1.48611,6.41108,0.534807,2.05754,2.59234,0.0797263,-0,-0.0168736,-0.140839,-32.0314,0,
Thu Sep 26 21:56:11 2019,7027502,932.95,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1232,0,26,28,0.205901,-0.124498,-9.87848,-0.0383121,-0.394827,0.0798168,-20.6625,36.218,32.1504,1.19407,6.70213,0.618397,2.02433,2.64272,0.0792757,-0,-0.0153222,-0.140839,-31.8511,0,
Thu Sep 26 21:56:11 2019,7037503,932.95,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1232,0,26,28,0.177171,0.186748,-9.81623,-0.0436332,-0.433139,0.0372479,-20.6625,36.218,32.1504,1.03401,6.99959,0.69718,1.99242,2.6896,0.0788588,-0,-0.0141716,-0.140839,-31.6844,0,
Thu Sep 26 21:56:11 2019,7047504,932.95,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5546,1232,0,26,28,0.0143652,0.047884,-9.65821,0.0042569,-0.451231,0.0202203,-20.6625,36.218,32.1504,0.0852193,7.29125,0.769795,1.95016,2.71996,0.0784909,-0,-0.0125095,-0.140839,-31.5372,0,
Thu Sep 26 21:56:11 2019,7057505,932.95,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5374,5538,1232,0,28,30,-0.0766145,-0.153229,-9.5385,0.0148991,-0.483158,-0.0148991,-20.6625,36.218,32.1504,-0.460198,7.58687,0.834036,1.90793,2.74196,0.0781935,-0,-0.0101114,-0.140839,-31.4182,0,
Thu Sep 26 21:56:11 2019,7067506,934.775,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5374,5538,1232,0,28,30,-0.181959,-0.071826,-9.51935,0.0127707,-0.494864,-0.0595966,-20.6625,36.218,32.1504,-1.09506,7.87671,0.887847,1.85654,2.74438,0.0779743,-0,-0.00745498,-0.140839,-31.3305,0,
Thu Sep 26 21:56:11 2019,7077507,934.775,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5370,5540,1228,0,28,28,-0.134075,-0.196325,-9.27035,0.0297983,-0.519341,-0.0766241,-20.6625,36.218,32.1504,-0.828601,8.1702,0.93045,1.806,2.73645,0.077824,-0,-0.00510725,-0.140839,-31.2705,0,
Thu Sep 26 21:56:11 2019,7087508,934.775,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5370,5540,1228,0,28,28,-0.205901,-0.23942,-9.2081,0.0234129,-0.550204,-0.071303,-20.6625,36.218,32.1504,-1.28097,8.46552,0.962114,1.7547,2.71681,0.0776996,-0,-0.00423145,-0.140839,-31.2207,0,
Thu Sep 26 21:56:11 2019,7097509,934.775,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5402,5540,1230,0,28,26,-0.402226,-0.373495,-9.29429,0.0223487,-0.560846,-0.052147,-20.6625,36.218,32.1504,-2.47803,8.75505,0.981917,1.69559,2.6775,0.0776248,-0,-0.00254114,-0.140839,-31.1908,0,
Thu Sep 26 21:56:11 2019,7107510,934.54,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5544,1234,0,28,28,-0.320823,-0.464475,-9.17937,-0.019156,-0.577874,-0.052147,-20.6625,36.218,32.1504,-2.0017,9.0464,0.988554,1.63685,2.6254,0.0775916,-0,-0.00112952,-0.140839,-31.1775,0,
Thu Sep 26 21:56:11 2019,7117511,934.54,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5544,1234,0,28,28,-0.430956,-0.110133,-9.50498,-0.0361836,-0.592773,-0.0287341,-20.6625,36.218,32.1504,-2.59602,9.33715,0.982329,1.57634,2.55867,0.0775793,-0,-0.000419416,-0.140839,-31.1726,0,
Thu Sep 26 21:56:11 2019,7127512,934.54,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5382,5544,1234,0,28,28,-0.373495,-0.0766145,-9.56244,-0.0159634,-0.607672,0.00957802,-20.6625,36.218,32.1504,-2.23676,9.6279,0.964025,1.51502,2.47905,0.0775678,-0,-0.000389423,-0.140839,-31.168,0,
Thu Sep 26 21:56:11 2019,7137513,934.54,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5380,5538,1232,0,30,30,-0.746991,-0.0574608,-9.73004,-0.019156,-0.631085,0.0287341,-20.6625,36.218,32.1504,-4.39008,9.92108,0.932821,1.45553,2.38835,0.0775463,-0,-0.000731506,-0.140839,-31.1594,0,
Thu Sep 26 21:56:11 2019,7147514,934.54,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5532,1226,0,28,28,-0.684742,-0.0335188,-9.83059,0.0117065,-0.630021,0.0383121,-20.6625,36.218,32.1504,-3.98446,10.2073,0.886591,1.38889,2.27548,0.0775685,0,0.000752745,-0.140839,-31.1682,0,
Thu Sep 26 21:56:11 2019,7157515,934.54,1512,1517,1088,1513,1088,1514,-0.0939026,-0.140839,0.9,-0.281677,-0.5,-1.19209e-07,5384,5532,1226,0,28,28,-0.708684,-0.11971,-9.74919,0.0159634,-0.638535,0.0415047,-20.6625,36.218,32.1504,-4.15761,10.4962,0.825355,1.3253,2.15065,0.0776118,0,0.0014729,-0.140839,-31.1856,0,
