today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.001, kiei(I)=1e-06, kded(D)=0.0007,signal, mad_pitch, multiplier
Thu Sep 26 21:22:41 2019,6653873,0,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1232,0,30,28,2.49955,-0.474052,-7.65187,0.0202203,-0.520406,-0.12345,-9.79688,35.6801,32.6689,18.0901,0.435564,0.0170726,0.416646,0.433718,2.47192e+30,1.23596e+25,1.73034e+32,-0.093895,0,0,
Thu Sep 26 21:22:41 2019,6663874,943.29,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5394,5546,1232,0,30,28,2.85389,-0.287304,-8.011,-0.0244772,-0.583195,-0.100037,-9.79688,35.6801,32.6689,19.6083,0.740031,0.0852805,0.670907,0.756188,0.0376044,-1.23596e+25,-1.73034e+32,-0.093895,-37.6983,0,
Thu Sep 26 21:22:41 2019,6673876,943.29,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5380,5532,1230,0,28,30,3.35667,0.114922,-8.22169,-0.00744957,-0.669397,-0.0404405,-9.79688,35.6801,32.6689,22.2088,1.05121,0.222413,0.907444,1.12986,0.0374688,-6.78082e-10,-0.00949314,-0.093895,-37.5627,0,
Thu Sep 26 21:22:41 2019,6683877,943.29,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5380,5532,1230,0,28,30,3.73017,-0.0287304,-9.05487,0.0415047,-0.743893,0.052147,-9.79688,35.6801,32.6689,22.3893,1.35903,0.428606,1.11725,1.54585,0.03737,-4.9387e-10,-0.00691418,-0.093895,-37.4639,0,
Thu Sep 26 21:22:41 2019,6693878,943.29,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5540,1230,0,30,28,3.47638,-0.718261,-9.89763,0.0404405,-0.793911,0.127707,-9.79688,35.6801,32.6689,19.353,1.65983,0.697143,1.29829,1.99544,0.0373427,-1.36566e-10,-0.00191193,-0.093895,-37.4366,0,
Thu Sep 26 21:22:41 2019,6703879,943.29,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5540,1230,0,30,28,2.90656,-0.11971,-9.87848,-0.0255414,-0.840737,0.137285,-9.79688,35.6801,32.6689,16.3956,1.95973,1.01336,1.45818,2.47154,0.0373557,6.50406e-11,0.000910568,-0.093895,-37.4496,0,
Thu Sep 26 21:22:41 2019,6713880,947.226,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5370,5540,1230,0,28,28,2.66714,0.531513,-11.7172,0.0574681,-0.88437,0.106422,-9.79688,35.6801,32.6689,12.8235,2.25871,1.36019,1.5981,2.95829,0.0374105,2.74067e-10,0.00383694,-0.093895,-37.5044,0,
Thu Sep 26 21:22:41 2019,6723881,947.226,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5370,5540,1230,0,28,28,2.12605,-0.134075,-10.817,0.094716,-0.918426,0.0574681,-9.79688,35.6801,32.6689,11.1196,2.55494,1.72258,1.71747,3.44005,0.0375118,5.0663e-10,0.00709282,-0.093895,-37.6057,0,
Thu Sep 26 21:22:41 2019,6733882,947.226,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5522,1226,0,28,28,1.17316,-0.253785,-10.817,0.0446974,-0.949288,0.0127707,-9.79688,35.6801,32.6689,6.18983,2.85026,2.08661,1.81933,3.90595,0.0376075,4.78134e-10,0.00669388,-0.093895,-37.7014,0,
Thu Sep 26 21:22:41 2019,6743883,947.226,1512,1516,1088,1513,1088,1514,-0.0939026,-0.093895,0.9,-0.281677,-0.5,-1.19209e-07,5382,5522,1226,0,28,28,1.22104,-0.368707,-11.5975,0.0574681,-0.954609,-0.0489543,-9.79688,35.6801,32.6689,6.01024,3.13827,2.43967,1.89868,4.33835,0.0377041,4.83093e-10,0.00676331,-0.093895,-37.798,0,
