Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0	2.1655	0	1.29888	0	0.134287
0.000488	2.16552	0.000488	1.29864	0.000488	0.1349
0.000977	2.16547	0.000977	1.30084	0.000977	0.134451
0.001465	2.16554	0.001465	1.30244	0.001465	0.135062
0.001953	2.16554	0.001953	1.3011	0.001953	0.134024
0.002441	2.16559	0.002441	1.29951	0.002441	0.134672
0.00293	2.16545	0.00293	1.29771	0.00293	0.134838
0.003418	2.16556	0.003418	1.29746	0.003418	0.134143
0.003906	2.16554	0.003906	1.29893	0.003906	0.135226
0.004395	2.16553	0.004395	1.30114	0.004395	0.134684
0.004883	2.16553	0.004883	1.30064	0.004883	0.134945
0.005371	2.16557	0.005371	1.30059	0.005371	0.135248
0.005859	2.16552	0.005859	1.29838	0.005859	0.13535
0.006348	2.16556	0.006348	1.29858	0.006348	0.135568
0.006836	2.1655	0.006836	1.29938	0.006836	0.134632
0.007324	2.16552	0.007324	1.29876	0.007324	0.134744
0.007812	2.1655	0.007812	1.30164	0.007812	0.134779
0.008301	2.16552	0.008301	1.29872	0.008301	0.135164
0.008789	2.16554	0.008789	1.29819	0.008789	0.135099
0.009277	2.16549	0.009277	1.29925	0.009277	0.135034
0.009766	2.16554	0.009766	1.29983	0.009766	0.134652
0.010254	2.16548	0.010254	1.29656	0.010254	0.135101
0.010742	2.16546	0.010742	1.2958	0.010742	0.135615
0.01123	2.16549	0.01123	1.2952	0.01123	0.134295
0.011719	2.16555	0.011719	1.29842	0.011719	0.135404
0.012207	2.16551	0.012207	1.29794	0.012207	0.135511
0.012695	2.16549	0.012695	1.3004	0.012695	0.135171
0.013184	2.16551	0.013184	1.301	0.013184	0.135367
0.013672	2.16555	0.013672	1.29905	0.013672	0.134409
0.01416	2.16552	0.01416	1.29847	0.01416	0.135059
0.014648	2.16552	0.014648	1.29658	0.014648	0.134267
0.015137	2.16552	0.015137	1.29934	0.015137	0.135213
0.015625	2.16553	0.015625	1.29975	0.015625	0.134652
0.016113	2.16549	0.016113	1.2993	0.016113	0.13496
0.016602	2.16549	0.016602	1.29924	0.016602	0.1342
0.01709	2.16549	0.01709	1.29809	0.01709	0.134652
0.017578	2.16551	0.017578	1.29865	0.017578	0.135074
0.018066	2.16555	0.018066	1.30232	0.018066	0.135164
0.018555	2.1655	0.018555	1.30323	0.018555	0.134776
0.019043	2.16553	0.019043	1.30129	0.019043	0.134186
0.019531	2.16551	0.019531	1.2996	0.019531	0.134498
0.02002	2.16551	0.02002	1.29919	0.02002	0.134523
0.020508	2.16548	0.020508	1.30122	0.020508	0.133741
0.020996	2.1655	0.020996	1.30121	0.020996	0.134846
0.021484	2.16549	0.021484	1.30195	0.021484	0.134178
