Time - Temperature	Amplitude - Temperature
0	20.0682
0.071429	20.1155
0.142857	20.5666
0.214286	20.7512
0.285714	20.8023
0.357143	20.8422
0.428571	20.8448
0.5	20.9532
0.571429	21.0146
0.642857	21.1492
0.714286	21.1581
0.785714	21.2605
0.857143	21.3352
0.928571	21.4768
1	21.6886
1.071428	21.88
1.142857	49.7327
1.214286	71.2648
1.285714	78.504
1.357143	82.5607
1.428571	84.5841
1.5	85.9534
1.571428	87.4955
1.642857	88.4867
1.714285	89.221
1.785714	89.5885
1.857143	90.016
1.928571	90.5579
2	91.1018
2.071428	91.4838
2.142857	91.8893
2.214285	92.2092
2.285714	92.572
2.357143	92.8136
2.428571	93.008
2.5	93.1126
2.571428	93.1147
2.642857	93.2094
2.714285	93.3534
2.785714	93.5065
2.857143	93.6165
2.928571	93.7019
3	93.7751
3.071428	93.9078
3.142857	94.0021
3.214285	94.1081
3.285714	94.1721
3.357142	94.2144
3.428571	94.2531
3.5	94.2939
3.571428	94.3298
3.642857	94.3731
3.714285	94.4304
3.785714	94.4769
3.857142	94.5057
3.928571	94.542
3.999999	94.58
4.071428	94.6137
4.142857	94.6746
4.214285	93.343
4.285714	89.0753
4.357142	87.6558
4.428571	85.799
4.499999	84.8517
4.571428	83.7218
4.642857	82.6103
4.714285	81.1617
4.785714	80.0033
4.857142	79.0123
4.928571	78.0704
4.999999	77.6854
5.071428	76.7329
5.142856	75.9781
5.214285	75.5329
5.285714	74.8892
5.357142	74.3854
5.428571	73.8136
5.499999	73.329
5.571428	72.3791
5.642856	71.9405
5.714285	71.4301
5.785714	70.9196
5.857142	70.6563
5.928571	70.2678
5.999999	69.5897
6.071428	69.0522
6.142856	68.7937
6.214285	68.3322
6.285713	67.9735
6.357142	67.4844
6.428571	67.123
6.499999	66.6504
6.571428	66.085
6.642856	65.8104
6.714285	65.5655
6.785713	65.1858
6.857142	64.5637
6.928571	64.0723
6.999999	63.6115
7.071428	63.2333
7.142856	63.0844
7.214285	62.8817
7.285713	62.5698
7.357142	62.26
7.428571	62.1883
7.499999	62.146
7.571428	78.8417
7.642856	82.9664
7.714285	85.2035
7.785713	86.5735
7.857142	87.7077
7.92857	88.3583
7.999999	89.0668
8.071428	89.7479
8.142856	90.1158
8.214285	90.5995
8.285713	90.7569
8.357142	90.8998
8.42857	91.0701
8.499999	91.2537
8.571428	91.4558
8.642856	91.6741
8.714285	91.852
8.785713	92.0035
8.857142	92.1979
8.92857	92.597
8.999999	92.7432
9.071427	92.846
9.142856	92.914
9.214285	93.0235
9.285713	93.0766
9.357142	93.1816
9.42857	93.2402
9.499999	93.3333
9.571427	93.4396
9.642856	93.5505
9.714284	93.641
9.785713	93.7304
9.857142	93.8015
9.92857	93.8758
