Time - Displacement	Amplitude - Displacement	Time - Accel	Amplitude - Accel	Time - Force	Amplitude - Force
0.044922	1.68343	0.044922	1.80011	0.044922	3.24619
0.04541	1.6835	0.04541	1.80879	0.04541	3.24606
0.045898	1.68339	0.045898	1.81711	0.045898	3.24621
0.046387	1.68322	0.046387	1.82496	0.046387	3.24691
0.046875	1.68339	0.046875	1.8323	0.046875	3.24605
0.047363	1.68361	0.047363	1.83884	0.047363	3.24535
0.047852	1.6834	0.047852	1.84379	0.047852	3.24615
0.04834	1.68337	0.04834	1.84771	0.04834	3.2457
0.048828	1.68314	0.048828	1.85133	0.048828	3.24575
0.049316	1.68342	0.049316	1.85321	0.049316	3.24472
0.049805	1.6835	0.049805	1.8538	0.049805	3.245
0.050293	1.68335	0.050293	1.85373	0.050293	3.2453
0.050781	1.68324	0.050781	1.85227	0.050781	3.24558
0.05127	1.68315	0.05127	1.84954	0.05127	3.24528
0.051758	1.68294	0.051758	1.84619	0.051758	3.24485
0.052246	1.68301	0.052246	1.8421	0.052246	3.2441
0.052734	1.68305	0.052734	1.83756	0.052734	3.24476
0.053223	1.68319	0.053223	1.83231	0.053223	3.24463
0.053711	1.68322	0.053711	1.82622	0.053711	3.24499
0.054199	1.68343	0.054199	1.81974	0.054199	3.24385
0.054687	1.68346	0.054687	1.81295	0.054687	3.24432
0.055176	1.68338	0.055176	1.80557	0.055176	3.24335
0.055664	1.68343	0.055664	1.79841	0.055664	3.24434
0.056152	1.68323	0.056152	1.79225	0.056152	3.24291
0.056641	1.68354	0.056641	1.78478	0.056641	3.24325
0.057129	1.68352	0.057129	1.77971	0.057129	3.24384
0.057617	1.68342	0.057617	1.77499	0.057617	3.24303
0.058105	1.68345	0.058105	1.77092	0.058105	3.24348
0.058594	1.68357	0.058594	1.76782	0.058594	3.24285
0.059082	1.6836	0.059082	1.76623	0.059082	3.24316
0.05957	1.68351	0.05957	1.76537	0.05957	3.24314
0.060059	1.68378	0.060059	1.76484	0.060059	3.2428
0.060547	1.68383	0.060547	1.76583	0.060547	3.24263
0.061035	1.68394	0.061035	1.76882	0.061035	3.24219
0.061523	1.68386	0.061523	1.77273	0.061523	3.2421
0.062012	1.68377	0.062012	1.77766	0.062012	3.2422
0.0625	1.68379	0.0625	1.78298	0.0625	3.242
0.062988	1.6838	0.062988	1.78855	0.062988	3.24225
0.063477	1.68382	0.063477	1.79482	0.063477	3.24102
0.063965	1.68394	0.063965	1.80046	0.063965	3.2419
0.064453	1.68401	0.064453	1.80685	0.064453	3.24199
0.064941	1.684	0.064941	1.81331	0.064941	3.24159
0.06543	1.6842	0.06543	1.81896	0.06543	3.24103
0.065918	1.6839	0.065918	1.82488	0.065918	3.24109
0.066406	1.68387	0.066406	1.83027	0.066406	3.24079
0.066895	1.68374	0.066895	1.83336	0.066895	3.24078
0.067383	1.68386	0.067383	1.83628	0.067383	3.24009
0.067871	1.68374	0.067871	1.83878	0.067871	3.24096
0.068359	1.68392	0.068359	1.83944	0.068359	3.24046
0.068848	1.68352	0.068848	1.84094	0.068848	3.24022
0.069336	1.68375	0.069336	1.84002	0.069336	3.24006
0.069824	1.68374	0.069824	1.83818	0.069824	3.24012
0.070312	1.6839	0.070312	1.83547	0.070312	3.23977
0.070801	1.68409	0.070801	1.83239	0.070801	3.23972
0.071289	1.684	0.071289	1.82915	0.071289	3.23917
0.071777	1.68388	0.071777	1.82553	0.071777	3.23907
0.072266	1.68381	0.072266	1.82116	0.072266	3.23977
0.072754	1.68393	0.072754	1.81646	0.072754	3.23864
0.073242	1.68373	0.073242	1.81235	0.073242	3.23877
0.07373	1.68369	0.07373	1.80702	0.07373	3.23904
0.074219	1.68365	0.074219	1.80143	0.074219	3.23839
0.074707	1.68369	0.074707	1.7963	0.074707	3.23845
0.075195	1.68386	0.075195	1.79135	0.075195	3.23811
0.075684	1.68389	0.075684	1.7865	0.075684	3.23805
0.076172	1.68386	0.076172	1.78218	0.076172	3.23779
0.07666	1.68404	0.07666	1.77856	0.07666	3.23796
0.077148	1.68409	0.077148	1.77432	0.077148	3.23772
0.077637	1.68408	0.077637	1.77198	0.077637	3.23785
0.078125	1.68417	0.078125	1.77113	0.078125	3.23801
0.078613	1.68421	0.078613	1.76942	0.078613	3.23702
0.079102	1.68404	0.079102	1.76874	0.079102	3.2374
0.07959	1.68392	0.07959	1.76879	0.07959	3.23798
0.080078	1.68421	0.080078	1.76911	0.080078	3.23658
0.080566	1.68422	0.080566	1.77122	0.080566	3.23601
0.081055	1.68414	0.081055	1.775	0.081055	3.23715
0.081543	1.68443	0.081543	1.77836	0.081543	3.23666
0.082031	1.68427	0.082031	1.7826	0.082031	3.23694
0.08252	1.68416	0.08252	1.78692	0.08252	3.23617
0.083008	1.68419	0.083008	1.79223	0.083008	3.23634
0.083496	1.6841	0.083496	1.79845	0.083496	3.23629
0.083984	1.6842	0.083984	1.80476	0.083984	3.23659
0.084473	1.68431	0.084473	1.80945	0.084473	3.23628
0.084961	1.68428	0.084961	1.81406	0.084961	3.23626
0.085449	1.68417	0.085449	1.82012	0.085449	3.23572
0.085937	1.68403	0.085937	1.82455	0.085937	3.23573
0.086426	1.68416	0.086426	1.82718	0.086426	3.23569
0.086914	1.68456	0.086914	1.82928	0.086914	3.23566
0.087402	1.68461	0.087402	1.83133	0.087402	3.2359
0.087891	1.68469	0.087891	1.83279	0.087891	3.23497
0.088379	1.68449	0.088379	1.83326	0.088379	3.23599
0.088867	1.68443	0.088867	1.83308	0.088867	3.23627
0.089355	1.68429	0.089355	1.83287	0.089355	3.23508
0.089844	1.68418	0.089844	1.83112	0.089844	3.23474
0.090332	1.68446	0.090332	1.82937	0.090332	3.23501
0.09082	1.68429	0.09082	1.82633	0.09082	3.23454
0.091309	1.68451	0.091309	1.82218	0.091309	3.23487
0.091797	1.68422	0.091797	1.81924	0.091797	3.23484
0.092285	1.68425	0.092285	1.81599	0.092285	3.23485
0.092773	1.68404	0.092773	1.81168	0.092773	3.23462
0.093262	1.68427	0.093262	1.8073	0.093262	3.2342
0.09375	1.68436	0.09375	1.80363	0.09375	3.23442
0.094238	1.68437	0.094238	1.80029	0.094238	3.23376
0.094727	1.68439	0.094727	1.79754	0.094727	3.2343
0.095215	1.6842	0.095215	1.7947	0.095215	3.23315
0.095703	1.68406	0.095703	1.79182	0.095703	3.23374
0.096191	1.68391	0.096191	1.78871	0.096191	3.23386
0.09668	1.68399	0.09668	1.78678	0.09668	3.23411
0.097168	1.68407	0.097168	1.78401	0.097168	3.23379
0.097656	1.68392	0.097656	1.78343	0.097656	3.23428
0.098145	1.68388	0.098145	1.78285	0.098145	3.23375
0.098633	1.68362	0.098633	1.78306	0.098633	3.2335
0.099121	1.68358	0.099121	1.78216	0.099121	3.23401
0.099609	1.68416	0.099609	1.78149	0.099609	3.23317
0.100098	1.68363	0.100098	1.78254	0.100098	3.23292
0.100586	1.6838	0.100586	1.78501	0.100586	3.2332
0.101074	1.68397	0.101074	1.78656	0.101074	3.23361
0.101562	1.68391	0.101562	1.78972	0.101562	3.23344
0.102051	1.68389	0.102051	1.79198	0.102051	3.23356
0.102539	1.68375	0.102539	1.79544	0.102539	3.23282
0.103027	1.68392	0.103027	1.79871	0.103027	3.23261
0.103516	1.68392	0.103516	1.80199	0.103516	3.23285
0.104004	1.68379	0.104004	1.80559	0.104004	3.23242
0.104492	1.68395	0.104492	1.80794	0.104492	3.23239
0.10498	1.68396	0.10498	1.81021	0.10498	3.23353
0.105469	1.684	0.105469	1.81167	0.105469	3.23331
0.105957	1.68414	0.105957	1.81336	0.105957	3.23215
0.106445	1.68408	0.106445	1.81534	0.106445	3.23223
0.106934	1.68451	0.106934	1.81725	0.106934	3.23263
0.107422	1.68446	0.107422	1.81788	0.107422	3.23218
0.10791	1.68435	0.10791	1.81803	0.10791	3.23263
