today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.0038KI=0KD=0.00073,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.26KIy=0.0038KDy=0,YAW_MEAS{43},
Sun Feb 18 11:50:33 2018,439196218,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5536,1040,0,8,30,0.0191536,-0.110133,-10.4866,0.00851379,-0.0106422,0.0138349,32.8418,39.8906,-26.9578,7.62939e-06,-39.5233,-7.62939e-06,163.198,2.38419e-07,0.0138349,
Sun Feb 18 11:50:33 2018,439206219,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5348,5536,1040,0,8,30,-0.0430956,-0.201113,-10.4579,0.0159634,-0.0106422,0.0148991,32.8418,39.8906,-26.9578,7.62939e-06,-40.0318,-7.62939e-06,163.176,2.38419e-07,0.0148991,
Sun Feb 18 11:50:33 2018,439216220,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5514,1042,6,8,30,-0.00957681,-0.177171,-10.4244,0.00957802,-0.00851379,0.0127707,32.8418,39.8906,-26.9578,7.62939e-06,-40.5376,-7.62939e-06,163.146,2.38419e-07,0.0127707,
Sun Feb 18 11:50:33 2018,439226221,582.061,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5514,1042,6,8,30,0.114922,-0.263362,-10.4052,0.0148991,-0.00744957,0.00638535,32.8418,39.8906,-26.9578,7.62939e-06,-41.0432,-7.62939e-06,163.115,2.38419e-07,0.00638535,
Sun Feb 18 11:50:33 2018,439236222,580.523,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5332,5502,1040,0,8,30,0.0622492,-0.186748,-10.3382,0.0159634,-0.0106422,0.0042569,32.8418,39.8906,-26.9578,7.62939e-06,-41.5453,-7.62939e-06,163.08,2.38419e-07,0.0042569,
Sun Feb 18 11:50:33 2018,439246223,580.523,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5332,5502,1040,0,8,30,0.023942,-0.215478,-10.3525,0.0159634,-0.0127707,0.0180918,32.8418,39.8906,-26.9578,7.62939e-06,-42.0427,-7.62939e-06,163.046,2.38419e-07,0.0180918,
Sun Feb 18 11:50:33 2018,439256224,580.523,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5504,1028,0,8,30,-0.0622492,-0.234632,-10.4004,0.0212845,-0.0127707,0.0436332,32.8418,39.8906,-26.9578,7.62939e-06,-42.5426,-7.62939e-06,163.013,2.38419e-07,0.0436332,
Sun Feb 18 11:50:33 2018,439266225,580.523,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5344,5504,1028,0,8,30,-0.0143652,-0.138864,-10.3477,0.0127707,-0.00638535,0.0276698,32.8418,39.8906,-26.9578,7.62939e-06,-43.0485,-7.62939e-06,162.989,2.38419e-07,0.0276698,
Sun Feb 18 11:50:33 2018,439276226,580.523,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5516,1028,0,32,28,0.0526724,-0.124498,-10.4866,0.0372479,0.00957802,-0.0266056,32.8418,39.8906,-26.9578,7.62939e-06,-43.5512,-7.62939e-06,162.966,2.38419e-07,-0.0266056,
Sun Feb 18 11:50:33 2018,439286227,580.523,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5346,5516,1028,0,32,28,0.0574608,-0.272939,-10.5536,0.00851379,-0.00851379,0.0180918,32.8418,39.8906,-26.9578,7.62939e-06,-44.0475,-7.62939e-06,162.934,2.38419e-07,0.0180918,
Sun Feb 18 11:50:33 2018,439296228,579.967,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5538,1036,6,32,12,-0.162806,-0.263362,-10.3477,-0.0106422,-0.0223487,0.0457616,32.8418,39.8906,-26.9578,7.62939e-06,-44.5249,-7.62939e-06,162.885,2.38419e-07,0.0457616,
Sun Feb 18 11:50:33 2018,439306229,579.967,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,2.38419e-07,0.5,-1.19209e-07,5338,5538,1036,6,32,12,0.311246,-0.0622492,-10.2041,0.0468259,-0.00744957,0.0244772,32.8418,39.8906,-26.9578,7.62939e-06,-45.0375,-7.62939e-06,162.854,2.38419e-07,0.0244772,
