today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD{38}KP=0.004KI=0KD=0.0007,PITCH_MEAS{39},ROLL_CMD{40},ROLL_MEAS{41},YAW_CMD{42}KPy=0.3KIy=0.0035KDy=0,YAW_MEAS{43},
Sun Feb 18 11:20:14 2018,89425225,603.071,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5340,5526,1038,0,8,30,0.110133,-0.0191536,-10.3334,0.0148991,-0.0138349,0.00744957,7.43262,25.1484,-16.807,7.62939e-06,60.8138,-7.62939e-06,-118.177,2.38419e-07,0.00744957,
Sun Feb 18 11:20:14 2018,89435226,603.071,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5338,5500,1040,0,20,30,0.0622492,-0.0574608,-10.5201,0.0117065,-0.0180918,0.00744957,7.43262,25.1484,-16.807,7.62939e-06,61.0894,-7.62939e-06,-117.155,2.38419e-07,0.00744957,
Sun Feb 18 11:20:14 2018,89445227,603.071,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5338,5500,1040,0,20,30,0.0383072,-0.0287304,-10.343,0.0127707,-0.00851379,0.00957802,7.43262,25.1484,-16.807,7.62939e-06,61.3572,-7.62939e-06,-116.114,2.38419e-07,0.00957802,
Sun Feb 18 11:20:14 2018,89455228,603.071,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5338,5500,1040,0,20,30,0.0861913,-0.0766145,-10.6015,0.0138349,-0.0106422,0.00957802,7.43262,25.1484,-16.807,7.62939e-06,61.617,-7.62939e-06,-115.059,2.38419e-07,0.00957802,
Sun Feb 18 11:20:14 2018,89465229,603.071,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5336,5526,1036,0,32,14,0.0766145,0.363919,-10.1179,0.00638535,-0.019156,0.0106422,7.43262,25.1484,-16.807,7.62939e-06,61.8701,-7.62939e-06,-113.986,2.38419e-07,0.0106422,
Sun Feb 18 11:20:14 2018,89475230,603.071,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5344,5536,1012,2,8,30,-0.225055,0.335188,-9.21289,0.0776884,0.0180918,0.00319267,7.43262,25.1484,-16.807,7.62939e-06,62.1031,-7.62939e-06,-112.884,2.38419e-07,0.00319267,
Sun Feb 18 11:20:14 2018,89485231,603.888,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5344,5536,1012,2,8,30,0.0670376,-0.0622492,-11.7651,0.00212845,-0.0180918,-0.0340552,7.43262,25.1484,-16.807,7.62939e-06,62.3342,-7.62939e-06,-111.767,2.38419e-07,-0.0340552,
Sun Feb 18 11:20:14 2018,89495232,603.888,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5336,5528,1036,16,8,28,0.177171,0.282516,-9.71567,0.00106422,-0.0255414,-0.0595966,7.43262,25.1484,-16.807,7.62939e-06,62.5204,-7.62939e-06,-110.645,2.38419e-07,-0.0595966,
Sun Feb 18 11:20:14 2018,89505233,603.888,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5336,5528,1036,16,8,28,1.00556,-0.301669,-10.5776,0.0904591,-0.0202203,0.071303,7.43262,25.1484,-16.807,7.62939e-06,62.6907,-7.62939e-06,-109.422,2.38419e-07,0.071303,
Sun Feb 18 11:20:14 2018,89515234,603.888,1514,1514,1452,1514,1940,1514,-7.62939e-06,7.62939e-06,1.32723,2.38419e-07,0.5,-1.19209e-07,5324,5540,1036,0,8,30,-0.632069,-0.459687,-9.85453,0.0255414,-0.052147,0.0840737,7.43262,25.1484,-16.807,7.62939e-06,62.9292,-7.62939e-06,-108.3,2.38419e-07,0.0840737,
