time,x,y,z,gforce
0.054,-0.01,-0.04,-0.05
0.054,-0.00,-0.03,0.03
0.054,-0.02,0.00,0.12
0.055,-0.02,-0.08,0.01
0.055,-0.03,0.05,0.09
0.055,-0.01,-0.07,-0.06
0.055,-0.02,0.05,0.08
0.055,-0.01,-0.06,-0.02
0.055,-0.02,-0.02,0.13
0.056,-0.04,-0.01,0.08
0.056,-0.00,-0.05,0.05
0.056,-0.02,0.02,0.12
0.056,-0.02,-0.09,0.03
0.076,-0.02,0.03,0.13
0.081,-0.01,-0.10,-0.02
0.081,-0.02,0.01,0.14
0.081,-0.01,-0.07,0.00
0.082,0.01,-0.02,0.08
0.105,-0.04,-0.01,0.07
0.106,-0.04,-0.08,0.05
0.106,-0.06,-0.00,0.13
0.106,-0.04,-0.14,-0.02
0.106,-0.05,0.01,0.12
0.111,-0.03,-0.09,-0.07
0.116,-0.02,0.01,0.07
0.118,-0.03,-0.03,-0.07
0.122,-0.00,-0.03,0.01
0.128,-0.03,0.03,0.05
0.132,-0.05,-0.07,-0.03
0.137,-0.06,0.04,0.07
0.142,-0.03,-0.05,-0.07
0.147,-0.01,0.02,0.01
0.151,-0.02,0.02,-0.07
0.156,-0.02,-0.04,-0.01
0.171,-0.07,0.04,0.05
0.171,-0.04,-0.07,-0.07
0.172,-0.06,0.04,-0.01
0.175,-0.02,-0.03,-0.08
0.181,-0.03,0.03,-0.03
0.189,-0.04,0.00,-0.05
0.190,-0.04,-0.01,-0.04
0.208,-0.06,0.05,0.02
0.208,-0.04,-0.00,-0.06
0.208,-0.06,0.11,0.05
0.208,0.01,-0.04,-0.09
0.215,-0.03,0.12,0.05
0.218,0.01,-0.04,-0.14
0.222,-0.03,0.13,0.06
0.227,-0.02,-0.03,-0.13
0.231,-0.02,0.12,0.06
0.237,-0.00,-0.02,-0.10
0.241,-0.06,0.07,0.08
0.252,-0.02,0.01,-0.06
0.253,-0.07,0.02,-0.00
0.256,-0.03,0.05,0.01
0.262,-0.05,-0.01,-0.05
0.265,-0.02,0.11,0.11
0.270,-0.03,-0.03,-0.09
0.275,-0.02,0.13,0.13
0.294,-0.02,-0.05,-0.15
0.294,-0.02,0.15,0.20
0.294,-0.03,-0.08,-0.18
0.295,-0.04,0.13,0.17
0.299,0.01,-0.06,-0.17
0.302,-0.01,0.12,0.12
0.307,0.01,-0.04,-0.12
0.313,-0.02,0.09,0.05
