Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
18.732,-8.756192,-0.4406836,71.25651
18.74,-9.024434,-2.375859,65.89028
18.752,-8.372989,-1.053809,68.63309
18.761,-9.733359,-1.705254,70.15741
18.78,-7.989786,-1.877695,81.13332
18.79,-9.848321,1.992656,77.59761
18.805,-7.740704,-2.069297,84.91585
18.81,-11.05541,0.364043,85.03809
18.821,-8.028106,-1.494492,88.6937
18.83,-8.028106,-1.475332,87.41224
18.84,-7.798184,1.092129,89.6054
18.85,-8.296348,-0.7472461,96.85954
18.861,-6.476133,0.4981641,96.91914
18.871,-9.75252,0.09580079,105.091
18.891,-5.767207,0.6897656,112.5933
18.9,-11.61106,1.762734,112.8378
18.911,-5.652246,1.20709,107.8412
18.92,-13.12471,2.260899,120.0386
18.931,-6.342012,1.724414,128.1551
18.941,-14.02524,2.548301,126.0255
18.952,-5.920488,2.509981,117.1886
18.96,-8.258028,2.835703,131.5811
18.971,-4.234395,3.218906,118.5404
18.981,-10.40396,3.429668,131.8994
19,-3.084785,3.046465,112.0294
19.01,-11.64938,3.525469,112.5836
19.021,-3.276387,4.483477,110.0825
19.031,-12.60738,3.027305,121.0575
19.041,-9.005274,4.732559,128.008
19.052,-12.66486,3.467988,120.8732
19.062,-7.874825,6.322852,119.836
19.072,-5.537285,3.448828,102.7016
19.08,-11.7835,4.138594,117.3965
19.091,-6.16957,3.506309,109.713
19.111,-7.434141,5.901329,105.811
19.122,-10.36565,6.418653,99.34843
19.131,-6.897656,5.997129,95.08096
19.141,-6.456973,4.234395,93.06958
19.152,-9.484278,7.30002,94.046
19.161,-6.686895,4.311035,95.6935
19.171,-8.794512,7.31918,94.53648
19.18,-8.794512,7.33834,88.3787
19.191,-7.242539,4.732559,88.13708
19.202,-6.418653,5.134922,87.40688
19.22,-7.549102,8.085587,95.27713
19.231,-5.843848,4.713398,96.01429
19.241,-6.629415,8.200547,94.79842
19.252,-5.479805,4.962481,95.77766
19.26,-8.315508,7.031778,101.877
19.271,-5.537285,7.644903,107.7339
19.281,-8.737032,8.583751,111.6384
19.291,-3.832031,6.533614,111.5186
19.3,-5.479805,7.223379,121.8246
19.311,-8.756192,8.008945,124.5722
19.331,-7.165899,6.303692,142.3226
19.34,-1.322051,8.353828,138.1779
19.35,-6.514453,11.05541,153.669
19.36,-5.652246,4.655918,156.904
19.371,-3.985313,9.848321,165.2653
19.382,-4.84752,6.782696,166.246
19.391,-1.456172,8.832832,171.3731
19.4,-1.456172,8.851993,179.3025
19.411,-7.204219,9.69504,193.3932
19.421,0.4598438,7.529942,195.101
19.44,-0.09580079,9.81,194.7358
19.45,-3.544629,12.05174,208.8217
19.46,-2.548301,6.07377,206.0172
19.471,-0.728086,10.99793,215.1648
19.48,-0.728086,11.01709,221.4456
19.491,-3.257227,11.89846,223.459
19.502,2.145938,9.196876,229.4964
19.512,-3.084785,10.67221,228.2799
19.522,3.851192,9.407638,224.8095
19.532,-2.835703,11.64938,225.5465
19.55,5.134922,10.88297,231.8349
19.561,1.916016,6.533614,232.6335
19.57,4.253555,12.05174,236.9025
19.581,2.797383,7.2617,227.88
19.592,2.337539,13.00975,237.5154
19.602,2.41418,8.890313,237.2728
19.611,2.43334,8.334668,233.4333
19.621,5.134922,8.871153,231.0579
19.631,1.628613,9.560919,231.6703
19.64,4.234395,10.84465,229.7204
19.652,7.30002,7.913145,231.6729
19.66,4.88584,9.79084,227.0993
19.67,4.88584,9.81,233.9269
19.68,2.43334,9.388477,230.8764
19.691,7.529942,8.775352,234.8982
19.703,2.605781,8.986114,235.5062
19.712,10.42313,7.127578,222.5188
19.72,5.173243,8.162227,235.9956
19.731,12.01342,6.821016,228.3773
19.74,12.01342,6.840176,219.1713
19.752,6.667735,6.418653,227.5871
19.76,11.99426,7.913145,213.809
19.771,9.522598,4.560117,207.957
19.782,11.22785,8.008945,215.3362
19.791,2.605781,6.303692,227.7154
19.802,11.7835,3.180586,221.619
19.812,4.042793,3.429668,205.5208
19.821,12.39662,3.985313,195.3965
19.83,7.568262,8.315508,217.2246
19.84,5.805528,2.624942,202.7101
19.852,7.089258,6.840176,211.9162
19.86,7.855664,1.015488,199.2932
19.871,12.14754,4.598438,186.7934
19.881,6.533614,5.345684,183.3789
19.891,11.64938,4.368516,189.4765
19.9,11.64938,4.387676,180.6961
19.911,10.40396,-0.5173243,187.7086
19.922,5.958809,1.781895,173.2577
19.931,11.76434,-0.364043,163.1971
19.941,10.25068,4.406836,163.6853
19.96,12.62654,-0.6514453,162.8938
19.97,9.062755,3.908672,151.371
19.981,13.96775,0.9388477,145.9465
19.991,7.740704,2.41418,141.4359
20.007,13.96775,-0.2107617,140.1569
20.01,6.935977,1.149609,158.0236
20.021,8.258028,-3.353028,152.719
20.031,13.23967,0.5556446,136.4996
20.042,9.522598,-3.966152,127.5974
20.052,12.97143,0.1532813,130.6464
20.071,10.61473,-4.636758,146.2566
20.081,6.667735,-2.299219,135.4641
20.09,6.667735,-2.280059,136.8057
20.102,9.69504,0.7472461,124.6719
20.11,7.836504,-3.257227,136.0744
20.121,8.832832,0.3448828,139.5505
20.131,9.522598,-3.67875,135.2216
20.141,8.698711,-4.579278,128.3926
20.15,8.066426,-0.7855664,136.6245
20.161,7.549102,-3.908672,129.7958
20.181,10.72969,-5.269043,130.1626
20.191,8.315508,-3.065625,125.7728
20.202,10.15488,-5.652246,123.6391
20.211,5.958809,-3.602109,125.1637
20.222,9.101074,-5.173243,123.8222
20.23,9.101074,-5.154082,120.6514
20.242,10.13572,-4.92416,118.3953
20.252,8.258028,-6.246211,116.3831
20.26,5.154082,-3.67875,121.566
20.271,7.2617,-5.997129,121.3213
20.291,10.1932,-5.767207,109.8567
20.302,6.16957,-4.981641,105.4658
20.312,10.26984,-6.935977,106.748
20.322,4.617598,-6.11209,109.8008
20.332,6.05461,-5.000801,109.195
20.342,4.311035,-6.533614,102.9794
20.352,6.246211,-5.805528,95.05653
20.36,8.660391,-7.30002,102.3756
20.371,4.502637,-6.955137,93.23573
20.381,8.028106,-7.127578,94.21567
20.405,7.204219,-6.629415,90.01702
20.411,7.587422,-7.951465,82.09412
20.42,3.64043,-5.709727,87.09588
20.43,7.165899,-6.782696,84.72134
20.44,4.023633,-5.843848,79.35902
20.452,7.31918,-7.3575,81.98624
20.46,6.150411,-8.258028,75.95142
20.47,4.081113,-6.725215,78.6967
20.48,4.943321,-7.664063,81.25903
20.491,7.932305,-8.54543,78.33427
20.512,4.560117,-6.725215,81.56666
20.52,8.104747,-9.445957,77.41563
20.53,2.299219,-7.33834,83.07831
20.541,7.491621,-8.123906,84.89952
20.552,0.6897656,-7.606582,95.56489
20.56,7.913145,-8.50711,80.62318
20.571,-0.4790039,-8.717872,89.39606
20.581,9.330997,-9.216036,85.42759
20.59,9.330997,-9.196876,108.047
20.602,0.8047266,-9.637559,111.576
20.62,4.617598,-10.44229,102.3017
20.631,2.299219,-8.449629,108.0194
20.641,3.506309,-6.782696,117.2197
20.652,0.3065625,-8.238868,125.3835
20.66,0.3065625,-8.219707,118.0629
20.67,5.077442,-9.886642,127.2672
20.681,5.824688,-9.177715,125.4943
20.691,2.605781,-8.411309,137.1986
20.703,-1.341211,-9.541759,140.3053
20.712,7.664063,-9.79084,134.0199
20.73,-1.092129,-11.01709,142.4245
20.741,-0.9963282,-6.859336,141.9876
20.752,0.5748047,-12.05174,148.7492
20.761,-1.379531,-7.989786,138.9863
20.771,1.18793,-11.93678,127.8818
20.781,2.701582,-8.104747,126.3504
20.791,-1.724414,-8.353828,133.5386
20.8,1.322051,-11.76434,127.3766
20.812,-2.222578,-9.081915,135.661
20.82,1.494492,-11.32365,124.4402
20.832,0.3065625,-7.2617,114.9268
20.84,2.682422,-10.80633,111.3864
20.852,-0.3832031,-7.625742,116.1996
20.861,-5.384004,-10.0016,121.685
20.871,-1.877695,-8.717872,114.7923
20.881,-5.901329,-10.34649,98.02155
20.891,4.905,-8.104747,85.15328
20.9,-3.276387,-10.55725,105.7618
20.911,3.333867,-8.52627,91.91475
20.92,3.333867,-8.50711,77.15548
20.931,-4.061953,-8.123906,81.29865
20.942,1.18793,-8.871153,71.89569
20.952,-4.425996,-7.721543,67.2552
20.962,-0.03832031,-9.867481,65.54156
20.972,-2.47166,-10.289,60.7182
20.981,-4.981641,-7.472461,56.80949
20.991,-1.666934,-9.905801,54.73004
21.002,-4.521797,-7.549102,52.28473
21.01,-2.165098,-10.65305,48.19622
21.021,-0.6897656,-9.311836,41.35894
21.041,0.1149609,-8.181387,31.77509
21.052,-6.150411,-8.583751,36.15998
21.06,-0.977168,-10.59557,23.71829
21.07,0.1724414,-8.238868,19.01776
21.081,0.8430469,-8.832832,16.63159
21.092,-1.26457,-8.832832,9.613982
21.1,-8.50711,-10.07824,27.59908
21.111,-2.701582,-10.88297,24.29702
21.122,-7.37666,-8.775352,20.32567
21.131,0.5556446,-7.874825,9.037249
21.152,-0.4981641,-8.56459,1.15553
21.161,-2.586621,-10.40396,2.672117
21.171,-5.288203,-7.893985,0.7742019
21.181,-2.203418,-9.924961,-1.794446
21.191,-4.905,-7.836504,-4.850897
21.204,-1.20709,-9.982442,-7.297594
21.211,-1.686094,-9.69504,-13.95151
21.221,-1.705254,-10.3848,-17.80046
21.23,-1.705254,-10.36565,-12.5603
21.242,-4.176914,-7.510782,-17.26665
21.261,-5.154082,-8.372989,-19.23097
21.271,-1.705254,-11.13205,-28.01707
21.281,-0.4598438,-7.759863,-36.07146
21.291,0.364043,-10.57641,-33.45512
21.303,-0.9196875,-8.143066,-37.42416
21.31,-7.414981,-9.77168,-29.19525
21.321,2.778223,-8.871153,-28.96949
21.331,-7.031778,-10.26984,-43.41248
21.342,4.560117,-8.372989,-45.47742
21.352,-3.985313,-9.81,-34.00578
21.37,4.751719,-8.181387,-41.04569
21.382,-3.123106,-9.062755,-39.24893
21.392,4.215235,-8.487949,-47.60393
21.402,-7.050938,-10.74885,-41.26381
21.41,-0.8238868,-8.871153,-24.34376
21.42,3.027305,-9.005274,-45.63582
21.431,1.513652,-8.43047,-31.3544
21.441,1.20709,-9.196876,-42.28062
21.452,3.429668,-8.679551,-43.51171
21.461,-0.7472461,-9.407638,-32.39066
21.48,5.154082,-8.258028,-37.02843
21.49,-2.509981,-9.924961,-35.3845
21.5,-4.234395,-10.21236,-22.46009
21.511,-4.809199,-9.963282,-38.56346
21.521,5.326524,-7.913145,-25.52147
21.531,-6.361172,-10.94045,-21.25997
21.54,-6.361172,-10.92129,-42.54385
21.552,4.291875,-8.717872,-44.74916
21.56,-6.935977,-11.01709,-33.35011
21.571,2.280059,-8.832832,-36.89069
21.59,3.506309,-7.223379,-45.55322
21.6,0.9196875,-10.74885,-44.76321
21.611,4.196074,-7.568262,-54.28044
21.621,0.03832031,-11.18953,-52.02909
21.63,-3.62127,-8.698711,-50.01928
21.641,0.3065625,-10.88297,-49.47763
21.65,0.3065625,-10.86381,-59.60196
21.661,2.701582,-9.101074,-61.92664
21.671,-1.666934,-8.277188,-65.40796
21.68,-1.666934,-8.258028,-63.64252
21.691,0.7664063,-10.21236,-69.74294
21.7,-1.111289,-8.296348,-69.32468
21.711,1.16877,-9.905801,-72.20009
21.721,-0.3065625,-7.721543,-74.09803
21.731,2.509981,-10.80633,-78.8618
21.74,1.762734,-9.139395,-77.70712
21.752,2.624942,-11.22785,-85.15768
21.76,2.624942,-11.20869,-81.38103
21.771,0.9196875,-8.085587,-80.66041
21.781,3.065625,-11.11289,-81.6434
21.8,3.391348,-11.03625,-92.1423
21.812,2.184258,-6.533614,-90.01921
21.82,2.069297,-9.69504,-87.03509
21.832,2.299219,-6.246211,-80.94855
21.842,3.372188,-10.65305,-85.59005
21.852,3.525469,-9.541759,-90.90228
21.862,4.272715,-11.22785,-89.3225
21.872,3.046465,-8.219707,-83.71655
21.882,3.467988,-7.242539,-79.45206
21.892,4.905,-10.86381,-80.49245
21.911,5.134922,-9.75252,-83.36981
21.922,2.145938,-6.763535,-78.31653
21.931,5.594766,-8.162227,-75.51936
21.94,4.92416,-9.675879,-81.37685
21.952,6.591094,-8.56459,-80.47378
21.962,4.291875,-8.986114,-81.45385
21.97,3.027305,-6.763535,-76.69836
21.98,7.108418,-9.216036,-81.3947
21.99,4.061953,-8.468789,-84.50567
22,7.089258,-9.139395,-83.59226
22.016,4.176914,-6.456973,-84.20262
22.022,7.31918,-8.717872,-91.70545
22.03,4.540957,-7.874825,-92.32186
22.041,4.234395,-6.05461,-93.97486
22.052,6.322852,-7.031778,-96.90613
22.062,3.582949,-5.633086,-102.9457
22.07,3.582949,-5.613926,-109.2879
22.081,8.392149,-5.728887,-123.8635
22.091,8.066426,-6.897656,-130.1455
22.102,9.196876,-6.667735,-127.7081
22.121,8.200547,-3.199746,-137.3436
22.131,4.770879,-6.246211,-151.3683
22.141,6.629415,-3.985313,-156.4297
22.152,9.273516,-6.744375,-163.6862
22.16,6.514453,-6.476133,-166.1254
22.171,8.966953,-6.11209,-179.786
22.181,10.21236,-3.966152,-186.2507
22.191,4.100274,-3.467988,-187.5325
22.202,9.426797,-4.962481,-188.2656
22.211,3.295547,-5.019961,-196.0096
22.23,10.49977,-5.211563,-219.7286
22.241,6.706055,-2.969824,-221.1898
22.252,10.02076,-3.966152,-220.8832
22.262,8.200547,-1.322051,-224.359
22.27,9.120234,-0.7089258,-230.8841
22.281,8.737032,0.4598438,-229.3618
22.291,8.411309,-1.053809,-235.1559
22.302,10.67221,-2.41418,-243.9378
22.312,9.522598,1.16877,-247.8419
22.322,11.51525,-0.5364844,-246.1975
22.342,7.3575,0.03832031,-242.2381
22.352,12.03258,1.20709,-246.6303
22.361,7.664063,0.8238868,-259.742
22.371,12.09006,2.893184,-262.9147
22.381,6.782696,4.253555,-253.7093
22.391,8.756192,1.456172,-246.0283
22.4,11.61106,5.671406,-266.8829
22.411,10.17404,2.165098,-256.8857
22.422,9.465117,6.610254,-254.9971
22.43,4.311035,5.613926,-244.9369
22.45,5.173243,4.579278,-245.4279
22.46,10.289,5.479805,-263.7223
22.471,5.460645,4.943321,-263.9696
22.481,9.982442,6.476133,-265.9841
22.49,9.982442,6.495293,-251.1073
22.5,6.495293,5.154082,-263.1218
22.51,8.641231,8.066426,-262.9412
22.52,5.039121,10.1932,-260.261
22.531,7.146739,9.407638,-266.2408
22.541,4.675078,8.698711,-263.0728
22.562,4.92416,10.289,-256.9802
22.571,4.790039,7.587422,-262.2262
22.581,2.739902,11.76434,-263.2039
22.59,4.330195,9.675879,-255.705
22.6,4.042793,8.372989,-260.0365
22.611,4.023633,9.848321,-254.2469
22.621,0.7664063,9.407638,-257.7246
22.63,0.7664063,9.426797,-253.5793
22.64,3.372188,9.043594,-253.0326
22.652,1.801055,10.11656,-250.2309
22.67,-2.356699,10.61473,-260.2331
22.682,1.149609,10.51893,-260.7227
22.692,-4.157754,10.17404,-250.419
22.702,-1.781895,10.55725,-242.3714
22.712,-4.751719,8.832832,-240.9086
22.72,2.605781,9.7142,-246.2746
22.73,-4.905,12.03258,-235.787
22.74,-3.793711,5.824688,-235.2994
22.752,-4.84752,12.5499,-233.9582
22.76,-3.506309,6.03545,-248.7754
22.771,-2.720742,10.34649,-241.3364
22.782,-3.812871,7.37666,-238.8365
22.792,-5.000801,9.656719,-234.934
22.804,-5.096602,7.721543,-230.2999
22.812,-6.725215,8.200547,-228.2877
22.82,-6.725215,8.219707,-226.9463
22.831,-5.901329,7.223379,-227.9219
22.84,-7.951465,8.43047,-224.8122
22.852,-8.392149,6.955137,-217.6171
22.862,-7.913145,7.568262,-222.0073
22.882,-11.15121,5.575606,-222.6777
22.89,-6.725215,6.303692,-215.2386
22.9,-4.196074,7.012618,-225.2385
22.911,-5.709727,6.188731,-207.0068
22.922,-5.134922,6.591094,-219.0803
22.931,-3.946992,4.713398,-221.6416
22.942,-6.418653,4.981641,-208.4102
22.95,-14.236,4.215235,-210.7884
22.961,-3.755391,3.582949,-191.761
22.971,-13.92943,3.563789,-201.7542
22.991,-10.76801,4.176914,-212.1674
23.007,-4.023633,1.666934,-208.563
23.01,-12.6457,4.272715,-184.4133
23.021,-11.09373,-0.05748047,-185.8771
23.031,-4.464316,0.6706055,-199.5969
23.041,-9.733359,-1.034649,-206.6094
23.05,-9.733359,-1.015488,-180.5729
23.06,-5.460645,0.3065625,-190.3293
23.071,-8.52627,-2.356699,-175.6991
23.082,-10.92129,1.20709,-181.1286
23.102,-8.794512,1.092129,-179.9143
23.11,-9.522598,-0.1149609,-172.1717
23.121,-10.289,-0.1724414,-162.298
23.131,-8.468789,-1.609453,-160.5325
23.141,-8.392149,-3.69791,-161.0841
23.15,-10.69137,0.1724414,-150.3539
23.161,-9.330997,-3.832031,-144.5667
23.171,-9.829161,-1.20709,-139.3282
23.18,-5.901329,-4.88584,-142.2577
23.191,-11.24701,-3.218906,-141.595
23.21,-12.49242,-3.065625,-120.9328
23.221,-5.422325,-3.429668,-115.0277
23.231,-13.23967,-3.333867,-122.8389
23.24,-13.23967,-3.314707,-109.3055
23.252,-7.951465,-3.908672,-117.9126
23.26,-12.41578,-3.69791,-110.4767
23.27,-3.429668,-6.418653,-119.9939
23.281,-10.15488,-5.690567,-100.3672
23.291,-4.617598,-6.974297,-109.7624
23.302,-9.656719,-2.931504,-107.0234
23.321,-9.254355,-3.889512,-86.97151
23.33,-7.683223,-7.549102,-102.3395
23.341,-5.192402,-6.16957,-94.66317
23.35,-9.139395,-4.617598,-87.34829
23.361,-5.288203,-5.518125,-96.31957
23.371,-9.445957,-4.655918,-88.88756
23.381,-5.997129,-8.258028,-83.46774
23.391,-10.42313,-5.211563,-85.36499
23.402,-5.345684,-8.238868,-94.09151
23.411,-4.905,-6.207891,-101.2326
23.431,-5.441484,-6.16957,-86.00258
23.441,-10.94045,-6.246211,-79.42413
23.45,-1.494492,-7.644903,-102.0495
23.461,-10.76801,-6.342012,-99.07114
23.471,-0.5748047,-7.798184,-105.4785
23.482,-7.434141,-8.411309,-94.14201
23.491,-8.851993,-7.242539,-78.41525
23.503,-9.196876,-8.143066,-78.23727
23.512,-6.13125,-7.3575,-84.33961
23.522,0.9963282,-8.602911,-97.69791
23.54,-4.272715,-8.143066,-62.8878
23.552,-11.38113,-6.859336,-59.35818
23.561,-2.356699,-8.890313,-59.54499
23.571,-0.8238868,-8.162227,-72.90176
23.581,-1.532813,-11.07457,-78.57562
23.591,-2.337539,-6.456973,-63.33485
23.6,-7.740704,-6.974297,-56.14129
23.611,-4.157754,-5.249883,-36.94069
23.622,-3.870352,-9.158555,-31.52104
23.631,-3.870352,-9.637559,-39.39407
23.652,-5.115762,-8.890313,-16.05477
23.66,-5.115762,-8.871153,-19.83885
23.671,-0.4215235,-9.886642,-9.358844
23.681,-7.031778,-7.989786,-3.510387
23.692,-0.249082,-8.372989,13.31368
23.7,-0.249082,-8.353828,5.994005
23.71,-2.509981,-11.57273,15.56197
23.722,-2.280059,-6.03545,27.14198
23.73,-4.464316,-8.50711,41.59142
23.742,-5.115762,-6.591094,51.76898
23.761,-5.537285,-9.292676,59.19694
23.771,-0.5556446,-9.560919,65.287
23.781,-7.587422,-7.185059,79.79169
23.791,-3.180586,-8.966953,90.45493
23.8,-1.16877,-8.449629,78.92679
23.81,-8.468789,-6.821016,86.96806
23.821,-3.353028,-6.16957,96.04787
23.831,-5.441484,-7.874825,108.91
23.841,-5.671406,-5.997129,112.6868
23.852,-3.218906,-8.219707,113.2929
23.871,-6.150411,-5.690567,124.6828
23.881,-8.372989,-7.089258,131.688
23.891,-6.07377,-5.958809,131.6199
23.903,-3.506309,-8.392149,136.186
23.912,-10.07824,-6.13125,134.4104
23.922,-4.962481,-7.165899,148.4882
23.932,-11.28533,-5.652246,155.005
23.942,-2.011817,-7.30002,148.595
23.952,-11.20869,-6.09293,140.8436
23.962,-2.222578,-7.165899,144.6792
23.98,-9.005274,-7.625742,169.5552
23.99,-5.211563,-5.709727,154.3662
24.007,-7.587422,-7.491621,172.9557
24.01,-7.721543,-4.234395,164.3561
24.021,-8.085587,-3.429668,174.1638
24.031,-9.254355,-3.123106,177.9381
24.041,-7.414981,-3.161426,177.4441
24.052,-7.932305,-5.690567,178.2306
24.062,-10.15488,-1.322051,180.5411
24.072,-8.986114,-4.751719,187.3026
24.09,-6.552774,-3.314707,185.402
24.1,-10.13572,-3.276387,194.5415
24.111,-6.150411,-4.272715,192.8262
24.121,-11.63022,-1.666934,201.9703
24.13,-8.62207,-0.5748047,192.213
24.142,-13.02891,-0.4981641,199.0389
24.15,-13.02891,-0.4790039,198.1231
24.16,-7.050938,-0.7472461,209.2183
24.17,-13.00975,0.3065625,212.0838
24.18,-5.249883,0.249082,204.8882
24.192,-12.79898,1.513652,216.0465
24.2,-3.812871,0.07664063,197.7532
24.21,-12.12838,0.8430469,209.2771
24.22,-11.53441,2.375859,218.5401
24.23,-4.119434,1.341211,210.8518
24.24,-8.660391,2.203418,199.2001
24.25,-5.288203,3.046465,194.1338
24.26,-14.84912,2.682422,202.2381
24.27,-6.418653,2.4525,216.197
24.28,-15.0982,3.372188,214.0584
24.291,-5.077442,3.774551,214.6658
24.3,-7.874825,3.448828,192.2201
24.31,-13.18219,3.774551,194.2277
24.32,-10.05908,4.82836,208.1285
24.33,-12.01342,4.176914,216.2366
24.34,-1.992656,5.039121,207.6984
24.35,-10.05908,5.652246,195.1967
24.36,-2.050137,6.322852,190.8658
24.37,-11.5919,6.418653,199.3415
24.38,-6.935977,5.824688,213.6709
24.392,-13.18219,6.667735,195.8051
24.4,-4.540957,5.288203,199.4028
24.41,-3.755391,8.238868,191.537
24.422,-2.567461,5.556446,204.7656
24.43,-5.326524,10.30816,211.5328
24.44,-10.48061,6.648574,219.3356
24.45,-2.011817,5.997129,212.3823
24.462,-7.395821,6.744375,216.1598
24.47,-3.065625,7.913145,208.7199
24.48,-5.403164,11.51525,219.0231
24.492,-3.736231,9.292676,222.3759
24.504,-4.042793,10.72969,225.6651
24.51,-3.314707,7.510782,224.4447
24.52,-3.870352,9.599238,224.3824
24.53,-2.797383,10.57641,229.5031
24.54,-4.253555,10.26984,233.1603
24.55,-1.111289,10.74885,230.1102
24.56,-2.126777,9.024434,229.2553
24.57,-3.927832,11.41945,228.8893
24.58,-1.111289,8.737032,231.2673
24.592,-2.931504,10.92129,230.5355
24.6,1.015488,10.30816,234.1329
24.61,-1.053809,9.369317,225.5962
24.62,2.318379,9.924961,225.4743
24.63,-0.9963282,9.924961,225.1086
24.64,-0.2299219,11.01709,227.7306
24.65,3.717071,9.733359,228.0356
24.66,1.053809,11.45777,221.999
24.67,4.042793,9.196876,217.9749
24.68,0.5748047,9.637559,215.8409
24.69,4.291875,8.602911,214.2556
24.7,1.24541,10.02076,217.2437
24.71,2.797383,10.80633,217.3049
24.72,4.138594,8.238868,212.6102
24.73,2.260899,10.34649,209.8056
24.74,4.540957,7.855664,207.6719
24.75,3.774551,11.09373,208.5869
24.76,5.211563,9.369317,213.0385
24.77,4.445157,10.84465,213.3431
24.78,6.476133,8.315508,210.8428
24.792,5.173243,10.0974,214.9889
24.8,5.173243,10.11656,210.0496
24.81,4.943321,7.893985,214.5
24.82,6.667735,8.928633,219.0721
24.83,8.947793,6.437813,216.754
24.84,4.291875,7.434141,217.0578
24.85,9.848321,5.115762,221.1421
24.86,4.311035,7.970625,228.641
24.87,8.947793,7.31918,235.8356
24.88,9.426797,6.456973,234.9203
24.891,11.76434,5.498965,240.8956
24.9,9.733359,7.031778,234.4314
24.91,3.487149,4.617598,245.7722
24.92,9.273516,7.2617,262.6016
24.93,4.502637,2.988985,261.626
24.94,12.33914,3.103945,254.7358
24.95,8.986114,6.763535,253.9432
24.96,9.273516,2.969824,265.4676
24.97,9.024434,4.272715,275.5276
24.98,10.61473,1.475332,273.2705
24.992,9.944121,3.65959,273.6968
25,11.76434,0.8430469,270.7075
25.01,7.242539,1.590293,269.9748
25.02,9.254355,1.877695,277.4135
25.03,11.72602,-1.072969,274.9742
25.042,9.599238,0.9963282,272.3519
25.05,10.48061,-1.18793,266.5591
25.06,6.935977,-0.8238868,263.2661
25.07,9.69504,0.1916016,263.7534
25.08,6.916817,-1.149609,266.3139
25.092,9.177715,-1.513652,260.521
25.1,7.280859,-1.839375,257.7153
25.11,8.353828,-1.24541,248.3856
25.12,9.77168,-3.180586,242.959
25.13,7.989786,-2.644102,240.2763
25.14,7.108418,-3.333867,238.7522
25.15,8.200547,-2.280059,240.5816
25.16,4.560117,-5.384004,235.8258
25.17,11.09373,-5.326524,223.1434
25.18,7.127578,-4.675078,209.6683
25.192,11.13205,-3.64043,203.6929
25.2,6.571934,-7.33834,198.023
25.21,2.567461,-5.154082,210.4626
25.22,9.350157,-4.425996,204.6037
25.23,3.295547,-5.211563,194.5376
25.24,7.3575,-6.09293,186.2397
25.25,6.418653,-8.813672,183.0029
25.26,3.199746,-5.805528,179.0343
25.27,6.188731,-9.139395,173.5452
25.28,3.812871,-7.185059,171.044
25.291,6.284532,-9.580078,164.519
25.3,4.061953,-5.805528,170.0659
25.31,1.647774,-9.273516,164.089
25.32,8.008945,-8.353828,154.6991
25.33,2.605781,-7.31918,146.2848
25.34,9.330997,-7.951465,145.3705
25.35,1.16877,-8.756192,153.6635
25.362,7.932305,-7.664063,149.5159
25.37,7.932305,-7.644903,147.502
25.38,0.5939649,-7.664063,137.4378
25.392,5.096602,-8.047266,142.3141
25.401,0.4215235,-7.070098,133.0409
25.41,4.291875,-9.944121,135.4766
25.42,1.22625,-10.65305,131.5688
25.43,-0.364043,-7.414981,131.5024
25.44,2.969824,-10.46145,128.0214
25.45,2.030977,-10.67221,124.4794
25.46,0.9963282,-9.599238,120.3887
25.47,3.276387,-10.0016,115.2027
25.48,-1.302891,-8.047266,113.0045
25.491,4.521797,-8.832832,108.1859
25.504,-4.042793,-8.372989,103.0578
25.51,1.18793,-9.848321,116.227
25.52,4.061953,-8.54543,102.8108
25.53,1.666934,-7.491621,96.89447
25.54,2.567461,-9.388477,102.0148
25.55,-5.039121,-10.3848,108.7814
25.56,1.437012,-7.127578,106.8285
25.57,-4.253555,-9.388477,99.44458
25.58,0.6322852,-8.487949,93.95084
25.6,0.2682422,-8.660391,91.32594
25.611,-0.1149609,-11.30449,91.43864
25.622,-3.832031,-8.56459,91.12047
25.63,-0.2682422,-9.062755,92.76016
25.64,-1.26457,-10.44229,88.66814
25.65,-0.3832031,-9.484278,85.79565
25.66,-2.030977,-9.69504,84.75242
25.67,-3.563789,-8.028106,86.14801
25.68,-0.3832031,-9.656719,88.8241
25.69,-3.65959,-7.606582,87.35384
25.701,-0.8047266,-9.484278,86.98457
25.71,-3.812871,-8.947793,80.14846
25.72,-1.379531,-9.982442,79.89798
25.73,-4.291875,-8.660391,82.3326
25.74,-3.448828,-8.392149,83.18187
25.75,-1.839375,-10.40396,80.1287
25.76,-3.717071,-8.468789,75.18529
25.77,-2.43334,-10.63389,72.37591
25.78,-4.732559,-7.893985,71.76167
25.79,-3.218906,-9.024434,73.52546
25.801,-4.387676,-7.050938,69.74273
25.81,-4.100274,-9.235196,71.50652
25.82,-2.529141,-9.503438,68.69328
25.83,-4.770879,-6.399492,58.44381
25.84,-1.992656,-8.56459,58.01142
25.85,-6.03545,-6.05461,61.23755
25.86,-4.790039,-10.30816,64.89053
25.87,-1.130449,-7.721543,59.88533
25.882,-4.502637,-9.79084,59.14585
25.89,-0.6322852,-7.529942,38.96033
25.901,-2.509981,-9.024434,34.3236
25.912,-1.341211,-8.123906,36.93766
25.92,-11.05541,-9.311836,53.02982
25.93,-0.9005274,-7.529942,40.34148
25.94,-3.065625,-8.717872,27.95803
25.95,-0.4023633,-6.897656,27.34287
25.96,-4.157754,-9.369317,36.05698
