Time - Temperature	Amplitude - Temperature	
0	50.3484	
0.071429	50.3853	
0.142857	50.4463	
0.214286	50.5539	
0.285714	50.6677	
0.357143	50.7226	
0.428571	50.6677	
0.5	50.6424	
0.571429	50.6637	
0.642857	50.6605	
0.714286	50.7031	
0.785714	50.7684	
0.857143	50.8471	
0.928571	50.8663	
1	50.9377	
1.071428	51.0659	
1.142857	51.1233	
1.214286	51.22	
1.285714	51.281	
1.357143	51.3395	
1.428571	51.4348	
1.5	51.5705	
1.571428	51.7213	
1.642857	51.7945	
1.714285	51.7895	
1.785714	51.81	
1.857143	51.8544	
1.928571	51.832	
2	51.8274	
2.071428	51.9197	
2.142857	51.998	
2.214285	52.0554	
2.285714	52.0655	
2.357143	52.0705	
2.428571	52.1048	
2.5	52.1975	
2.571428	52.4972	
2.642857	52.4034	
2.714285	52.446	
2.785714	52.416	
2.857143	52.4406	
2.928571	52.4889	
