Time - Temperature	Amplitude - Temperature	
0	31.7374	
0.071429	31.9717	
0.142857	32.0721	
0.214286	32.1006	
0.285714	32.0384	
0.357143	32.071	
0.428571	32.1314	
0.5	32.2182	
0.571429	32.3175	
0.642857	32.387	
0.714286	32.4916	
0.785714	32.6558	
0.857143	32.7964	
0.928571	32.9234	
1	33.0283	
1.071428	33.0817	
1.142857	33.272	
1.214286	33.3917	
1.285714	33.3979	
1.357143	33.4464	
1.428571	33.6304	
1.5	34.0469	
1.571428	34.242	
1.642857	34.2701	
1.714285	34.342	
1.785714	34.4253	
1.857143	34.3782	
1.928571	34.3754	
2	34.2994	
2.071428	34.3431	
2.142857	34.3902	
2.214285	34.3253	
2.285714	34.5721	
2.357143	34.6575	
2.428571	34.8075	
2.5	35.008	
2.571428	35.1381	
2.642857	35.2206	
2.714285	35.1046	
2.785714	34.9696	
2.857143	34.9701	
2.928571	35.0297	
