Time - Temperature	Amplitude - Temperature	
0	40.8159	
0.071429	40.8952	
0.142857	41.3458	
0.214286	41.3429	
0.285714	41.4094	
0.357143	41.4531	
0.428571	41.5738	
0.5	41.7399	
0.571429	41.9042	
0.642857	42.0543	
0.714286	42.2411	
0.785714	42.4296	
0.857143	42.5753	
0.928571	42.8125	
1	42.8699	
1.071428	42.9708	
1.142857	43.1433	
1.214286	43.205	
1.285714	43.233	
1.357143	43.314	
1.428571	43.3869	
1.5	43.4671	
1.571428	43.5684	
1.642857	43.6849	
1.714285	43.7223	
1.785714	43.743	
1.857143	43.8265	
1.928571	43.8976	
2	43.9695	
2.071428	44.0747	
2.142857	44.3395	
2.214285	44.4886	
2.285714	44.6685	
2.357143	44.8712	
2.428571	44.9728	
2.5	45.0968	
2.571428	45.0924	
2.642857	45.1269	
2.714285	45.2469	
2.785714	45.3429	
2.857143	45.4495	
2.928571	45.5622	
