Time - Temperature	Amplitude - Temperature	
0	61.0011	
0.071429	60.9339	
0.142857	60.862	
0.214286	60.6813	
0.285714	60.0724	
0.357143	59.3669	
0.428571	59.0676	
0.5	58.8606	
0.571429	58.9392	
0.642857	58.9231	
0.714286	58.4227	
0.785714	57.7518	
0.857143	57.2171	
0.928571	56.8155	
1	56.4164	
1.071428	55.8581	
1.142857	55.4006	
1.214286	54.9375	
1.285714	54.2539	
1.357143	53.6211	
1.428571	53.7674	
1.5	53.3667	
1.571428	52.8087	
1.642857	52.3087	
1.714285	51.9044	
1.785714	51.9278	
1.857143	53.5101	
1.928571	54.4734	
2	54.6247	
2.071428	54.4518	
2.142857	54.2262	
2.214285	54.3191	
2.285714	54.372	
2.357143	54.291	
2.428571	54.1021	
2.5	54.2208	
2.571428	54.7134	
2.642857	55.696	
2.714285	57.2127	
2.785714	58.3146	
2.857143	58.3016	
2.928571	58.0692	
