Time - Temperature	Amplitude - Temperature	
0	36.3219	
0.071429	35.6858	
0.142857	35.1331	
0.214286	34.9683	
0.285714	34.3846	
0.357143	33.8752	
0.428571	33.9823	
0.5	33.6357	
0.571429	33.3844	
0.642857	32.8705	
0.714286	32.682	
0.785714	33.2484	
0.857143	33.1657	
0.928571	32.74	
1	32.4553	
1.071428	32.9231	
1.142857	33.2355	
1.214286	33.1703	
1.285714	33.3288	
1.357143	33.7839	
1.428571	33.9783	
1.5	34.0849	
1.571428	34.0279	
1.642857	34.0072	
1.714285	34.3853	
1.785714	34.6823	
1.857143	34.6268	
1.928571	34.5297	
2	34.6043	
2.071428	34.7081	
2.142857	34.8006	
2.214285	34.9314	
2.285714	35.0204	
2.357143	35.0869	
2.428571	35.0761	
2.5	34.9332	
2.571428	34.7911	
2.642857	34.6388	
2.714285	34.5303	
2.785714	34.5136	
2.857143	34.4378	
2.928571	34.4683	
