Time - Temperature	Amplitude - Temperature	
0	86.5985	
0.071429	85.9288	
0.142857	85.2803	
0.214286	88.2367	
0.285714	91.4607	
0.357143	91.8363	
0.428571	91.303	
0.5	90.7248	
0.571429	91.0506	
0.642857	90.9111	
0.714286	92.3687	
0.785714	91.7833	
0.857143	91.7093	
0.928571	91.5729	
1	91.8974	
1.071428	91.7713	
1.142857	91.3412	
1.214286	90.2342	
1.285714	88.6247	
1.357143	87.9765	
1.428571	89.6816	
1.5	89.1798	
1.571428	91.3601	
1.642857	91.7836	
1.714285	92.573	
1.785714	91.8951	
1.857143	91.1056	
1.928571	90.9525	
2	90.0258	
2.071428	90.843	
2.142857	92.0616	
2.214285	92.1542	
2.285714	92.097	
2.357143	92.2555	
2.428571	92.6213	
2.5	92.7127	
2.571428	92.7551	
2.642857	92.5651	
2.714285	92.3812	
2.785714	92.5008	
2.857143	92.5109	
2.928571	92.4027	
