Time - Temperature	Amplitude - Temperature	
0	33.9256	
0.071429	34.114	
0.142857	34.2668	
0.214286	34.431	
0.285714	34.4975	
0.357143	34.5904	
0.428571	34.6566	
0.5	34.7121	
0.571429	34.7476	
0.642857	34.8101	
0.714286	34.8963	
0.785714	34.9552	
0.857143	35.1072	
0.928571	35.486	
1	35.7479	
1.071428	35.7297	
1.142857	35.6946	
1.214286	35.7319	
1.285714	35.756	
1.357143	36.0134	
1.428571	36.2482	
1.5	36.2759	
1.571428	36.2679	
1.642857	36.2734	
1.714285	36.281	
1.785714	36.2949	
1.857143	36.4008	
1.928571	36.5902	
2	36.7008	
2.071428	36.7154	
2.142857	36.7683	
2.214285	37.0033	
2.285714	37.3049	
2.357143	37.1707	
2.428571	37.926	
2.5	38.464	Time - Temperature	Amplitude - Temperature	
0	38.8819	
0.071429	38.9748	
0.142857	39.087	
0.214286	39.1704	
0.285714	39.3011	
0.357143	39.437	
0.428571	39.5389	
0.5	39.7279	
0.571429	39.9332	
0.642857	40.2032	
0.714286	40.3597	
0.785714	40.4922	
0.857143	40.6366	
0.928571	40.7428	
1	40.8614	
1.071428	40.9232	
1.142857	41.0375	
1.214286	41.2007	
1.285714	41.3527	
1.357143	41.4582	
1.428571	41.5665	
1.5	41.6621	
1.571428	41.7915	
1.642857	41.8388	
1.714285	41.8624	
1.785714	41.8755	
1.857143	41.8537	
1.928571	41.8722	
2	41.9794	
2.071428	42.119	
2.142857	42.2647	
2.214285	42.4692	
2.285714	42.6265	
2.357143	42.7569	
2.428571	42.8848	
2.5	43.0721	
2.571428	43.0769	
2.642857	42.9145	
2.714285	42.6385	
2.785714	42.5095	
2.857143	42.3301	
2.928571	42.111	

2.571428	38.2154	
2.642857	38.0277	
2.714285	38.0306	
2.785714	38.1097	
2.857143	38.1123	
2.928571	38.1578	
