Time - Temperature	Amplitude - Temperature	
0	27.9706	
0.071429	28.1244	
0.142857	28.1834	
0.214286	28.2641	
0.285714	28.3004	
0.357143	28.2933	
0.428571	28.4028	
0.5	28.4673	
0.571429	28.5305	
0.642857	28.6056	
0.714286	28.6375	
0.785714	28.6651	
0.857143	28.741	
0.928571	28.8168	
1	28.8616	
1.071428	28.9722	
1.142857	29.0322	
1.214286	29.062	
1.285714	29.2301	
1.357143	29.272	
1.428571	29.3531	
1.5	29.3735	
1.571428	29.3963	
1.642857	29.4444	
1.714285	29.5092	
1.785714	29.6002	
1.857143	29.5905	
1.928571	29.5791	
2	29.5846	
2.071428	29.6318	
2.142857	29.6672	
2.214285	29.6964	
2.285714	29.7498	
2.357143	29.7819	
2.428571	29.8311	
2.5	29.8239	
2.571428	29.8414	
2.642857	29.8869	
2.714285	29.9058	
2.785714	29.879	
2.857143	29.9371	
2.928571	29.9729	
